title_i,title_j,cosine_similarity
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Real-time scaling of micro-objects by multiplexed holographic recording on photo-thermoplastic structure,0.016618
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,"Carbazole Containing Copolymers: Synthesis, Characterization, and Applications in Reversible Holographic Recording",0.042783
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Recording holograms of micro-scale objects in real time,0.112202
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Holographic imaging and interferometry with non-Bragg diffraction orders on volume and surface-relief gratings in lithium niobate and photo-thermoplastic materials,-0.062704
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Сhalcogenide glassy semiconductors of the system As-Se-S doped by Te for X-ray imaging,0.046413
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Chalcogenide glassy semiconductors of the system As-Ss-S-Sn for X-ray imaging,0.056874
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Remote sensing and characterization of oil on water using coherent fringe projection and holographic in-line interferometry,0.170755
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Airborne pollutants collection and analysis based on their fluorescence spectral measurements: a case study on diesel exhaust combustion particles,0.648519
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Holographically amplified interferometry with coherent fringe projection for the oil on the water remote sensing and characterization,0.083813
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Thermal lens effect and fluorescence of motor oil investigated by holographic method,0.086897
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Luminescence of β-Ga2O3 Nanoforms Obtained by Oxidation of GaSe Doped with Eu,0.110332
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Detection of thin oil films on water surface from a remote distance when fluorescence is excited by 447nm laser light,0.258177
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Reflectance spectra of plant leaves obtained by remote sensing,0.286726
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Oil on the water characterization with coherent fringe projection and digital holographic in-line interferometry,0.077975
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Influence of fine-grained vanadium-based layers on the photoresponse multiplicity in structures with amorphous As2Se3 films,0.092523
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,"Crude oil remote sensing, characterization, and cleaning with continuous wave and pulsed lasers",0.212152
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Holographic imaging and interferometry with non-Bragg diffraction orders in lithium niobate and photothermoplastic materials,-0.067394
UAV-Based Monitoring and AFM Analysis of Airborne Pollutants,Polymeric Recording Media Based on Carbazole Containing Copolymers and Benzoxyphthalocyanines of Transition Metals,0.072708
