abstract_i,abstract_j,cosine_similarity
0,1,0.652908
0,2,0.553668
0,3,0.501306
0,4,0.585514
0,5,0.471772
0,6,0.71178
0,7,0.826248
0,8,0.79165
0,9,0.653412
0,10,0.601969
0,11,0.473294
0,12,0.395079
0,13,0.400113
0,14,0.69351
0,15,0.43087
1,2,0.666823
1,3,0.500124
1,4,0.559573
1,5,0.772801
1,6,0.658503
1,7,0.695673
1,8,0.664481
1,9,0.568636
1,10,0.537496
1,11,0.699842
1,12,0.396063
1,13,0.47198
1,14,0.727147
1,15,0.440131
2,3,0.467065
2,4,0.552395
2,5,0.639192
2,6,0.49029
2,7,0.611517
2,8,0.521261
2,9,0.361589
2,10,0.486921
2,11,0.424287
2,12,0.524824
2,13,0.559858
2,14,0.530937
2,15,0.573388
3,4,0.705679
3,5,0.470557
3,6,0.501401
3,7,0.595615
3,8,0.569239
3,9,0.472803
3,10,0.805162
3,11,0.525353
3,12,0.418692
3,13,0.342095
3,14,0.572053
3,15,0.461509
4,5,0.453223
4,6,0.605281
4,7,0.620658
4,8,0.660559
4,9,0.474828
4,10,0.720397
4,11,0.436866
4,12,0.469712
4,13,0.444642
4,14,0.539434
4,15,0.485178
5,6,0.504833
5,7,0.50854
5,8,0.441548
5,9,0.433569
5,10,0.460994
5,11,0.732616
5,12,0.398285
5,13,0.456746
5,14,0.563747
5,15,0.399259
6,7,0.688873
6,8,0.698657
6,9,0.505115
6,10,0.553171
6,11,0.551902
6,12,0.295956
6,13,0.317132
6,14,0.66839
6,15,0.320355
7,8,0.857831
7,9,0.567527
7,10,0.682078
7,11,0.5232
7,12,0.507682
7,13,0.431214
7,14,0.741721
7,15,0.512812
8,9,0.638385
8,10,0.618099
8,11,0.491695
8,12,0.423212
8,13,0.422687
8,14,0.698024
8,15,0.447198
9,10,0.488055
9,11,0.592977
9,12,0.2313
9,13,0.366268
9,14,0.65539
9,15,0.312721
10,11,0.544991
10,12,0.394684
10,13,0.365506
10,14,0.603577
10,15,0.493448
11,12,0.227914
11,13,0.382282
11,14,0.649784
11,15,0.294364
12,13,0.411454
12,14,0.384195
12,15,0.798727
13,14,0.439763
13,15,0.508465
14,15,0.419745
