abstract_i,abstract_j,cosine_similarity
0,1,0.538362
0,2,0.418135
0,3,0.061934
0,4,0.351892
0,5,0.409565
0,6,0.50059
0,7,0.590493
0,8,0.446297
0,9,0.584735
0,10,0.472413
0,11,0.376554
0,12,0.269048
0,13,0.436951
0,14,-0.03148
0,15,-0.028183
0,16,0.559654
0,17,0.467805
0,18,0.543804
0,19,0.451834
0,20,-0.05339
0,21,0.431659
0,22,0.384704
0,23,0.580567
0,24,0.370791
0,25,0.259279
0,26,-0.083789
0,27,-0.040437
0,28,0.552155
0,29,0.380994
0,30,0.633487
0,31,-0.038432
0,32,-0.024864
0,33,-0.021503
0,34,0.332675
0,35,0.559826
0,36,0.389813
0,37,0.621454
0,38,-0.033469
0,39,-0.087534
0,40,0.580555
0,41,-0.064327
0,42,0.434517
0,43,0.155529
0,44,0.582106
0,45,0.290607
0,46,0.447718
0,47,0.116771
0,48,0.353085
0,49,0.576057
0,50,0.378271
0,51,0.451834
0,52,0.384096
0,53,0.386594
0,54,0.017647
0,55,0.319196
0,56,0.5556
0,57,0.475156
0,58,0.615204
0,59,0.474966
0,60,0.304832
0,61,0.628842
0,62,-0.034618
0,63,0.305112
0,64,0.333998
0,65,0.483713
0,66,0.260598
0,67,0.438492
0,68,0.534302
0,69,-0.060673
0,70,0.297615
0,71,0.313603
0,72,0.576766
0,73,0.018584
0,74,0.47178
0,75,0.529323
0,76,0.55893
0,77,0.389779
0,78,0.448157
0,79,0.638094
0,80,0.414335
0,81,0.580602
0,82,0.463315
0,83,0.595906
0,84,0.581608
0,85,0.459837
0,86,0.445388
0,87,0.318191
0,88,0.544132
1,2,0.293191
1,3,-0.00374
1,4,0.227731
1,5,0.390602
1,6,0.334304
1,7,0.782847
1,8,0.387424
1,9,0.68404
1,10,0.662927
1,11,0.321516
1,12,0.288841
1,13,0.375732
1,14,-0.010223
1,15,0.026848
1,16,0.685306
1,17,0.4205
1,18,0.461107
1,19,0.397803
1,20,-0.097697
1,21,0.543881
1,22,0.25598
1,23,0.479437
1,24,0.207094
1,25,0.243615
1,26,0.015179
1,27,-0.05056
1,28,0.713736
1,29,0.324997
1,30,0.559025
1,31,-0.083541
1,32,-0.001663
1,33,0.008178
1,34,0.285084
1,35,0.417373
1,36,0.180109
1,37,0.776333
1,38,0.026292
1,39,-0.075167
1,40,0.456433
1,41,-0.056037
1,42,0.328762
1,43,0.10347
1,44,0.635397
1,45,0.285488
1,46,0.311991
1,47,0.148485
1,48,0.155844
1,49,0.436313
1,50,0.463703
1,51,0.397803
1,52,0.22546
1,53,0.280366
1,54,-0.042378
1,55,0.272318
1,56,0.528396
1,57,0.331312
1,58,0.636609
1,59,0.322675
1,60,0.172418
1,61,0.501042
1,62,0.025747
1,63,0.217418
1,64,0.211725
1,65,0.574738
1,66,0.233428
1,67,0.640955
1,68,0.338202
1,69,0.033809
1,70,0.337061
1,71,0.215305
1,72,0.434392
1,73,-0.042672
1,74,0.564542
1,75,0.424589
1,76,0.441399
1,77,0.345168
1,78,0.334415
1,79,0.508691
1,80,0.351673
1,81,0.438629
1,82,0.388716
1,83,0.445677
1,84,0.510553
1,85,0.572029
1,86,0.308248
1,87,0.188726
1,88,0.403596
2,3,0.319834
2,4,0.55867
2,5,0.360446
2,6,0.476473
2,7,0.392645
2,8,0.279532
2,9,0.329001
2,10,0.275528
2,11,0.663266
2,12,0.210994
2,13,0.283815
2,14,-0.0238
2,15,-0.082234
2,16,0.367853
