title_i,title_j,cosine_similarity
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Multifunctional Triboelectric Metamaterials with Unidirectional Charge Transfer Channels for Linear Mechanical Motion Energy Harvesting,0.660619
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Conformally Perforated Shellular Metamaterials with Tunable Thermomechanical and Acoustic Properties,0.505092
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Elastic‐Wave Propagation in Chiral Metamaterials: A Couple‐Stress Theory Perspective,0.453914
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Piezoelectric tuning of thermal conductivity in nano-architected gallium nitride metamaterials,0.436932
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Topology-Dependent Enhancement of Pyroelectric Property in Nanoarchitected GaN Metamaterials,0.508144
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Highly extendable triboelectric nanogenerators with sustainable electrical output for deployable multifunctional metamaterials,0.618444
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Multifunctional and Reprogrammable Magnetoactive Graphene Oxide Origami,0.442557
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Strong and flexible graphene oxide paper for humidity responsive origami metamaterials,0.421752
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Nano-architected GaN spinodoid metamaterials with tailorable anisotropic piezoelectric properties,0.603563
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Exposed-area dependent forced convective heat transfer in periodic lattice structures,0.209926
Ultrahigh Piezoelectricity in Truss‐Based Ferroelectric Ceramics Metamaterials,Material Extrusion of <scp>PLA</scp> /Recycled Short Flax Fiber Biocomposites,0.229761
