abstract_i,abstract_j,cosine_similarity
0,1,0.701301
0,2,0.690502
0,3,0.590444
0,4,0.58917
0,5,0.702149
0,6,0.999686
0,7,-0.021668
0,8,-0.014124
0,9,0.432161
0,10,0.601227
1,2,0.971827
1,3,0.673477
1,4,0.673393
1,5,0.88483
1,6,0.697779
1,7,-0.066964
1,8,-0.0394
1,9,0.586897
1,10,0.748741
2,3,0.691241
2,4,0.691737
2,5,0.885082
2,6,0.687388
2,7,-0.070534
2,8,-0.049827
2,9,0.608017
2,10,0.739063
3,4,0.999781
3,5,0.698291
3,6,0.584151
3,7,-0.029761
3,8,-0.060233
3,9,0.547447
3,10,0.609239
4,5,0.700017
4,6,0.58291
4,7,-0.030651
4,8,-0.062727
4,9,0.546758
4,10,0.610869
5,6,0.698595
5,7,-0.031272
5,8,-0.04601
5,9,0.598347
5,10,0.766883
6,7,-0.020907
6,8,-0.012823
6,9,0.428195
6,10,0.598118
7,8,-0.072624
7,9,-0.106171
7,10,0.013193
8,9,-0.04935
8,10,-0.055396
9,10,0.529566
