title_i,title_j,cosine_similarity
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Endocytic proteins with prion-like domains form viscoelastic condensates that enable membrane remodeling,0.566853
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Tau directs intracellular trafficking by regulating the forces exerted by kinesin and dynein teams,0.570726
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,MAP7 regulates organelle transport by recruiting kinesin-1 to microtubules,0.705207
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Tau differentially regulates the transport of early endosomes and lysosomes,0.5086
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,The pathogenic R5L mutation disrupts formation of Tau complexes on the microtubule by altering local N-terminal structure,0.387617
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,"Optogenetic control of kinesin-1, -2, -3 and dynein reveals their specific roles in vesicular transport",0.686484
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Dynamic actin cross-linking governs the cytoplasm’s transition to fluid-like behavior,0.694233
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Small‐molecule stabilization of the p53 – 14‐3‐3 protein‐protein interaction,0.153227
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Dynein Interacts with the Neural Cell Adhesion Molecule (NCAM180) to Tether Dynamic Microtubules and Maintain Synaptic Density in Cortical Neurons,0.603304
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Collective dynamics of kinesin,0.690432
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Local inhibition of microtubule dynamics by dynein is required for neuronal cargo distribution,0.537981
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Fragment-based screening: A new paradigm for ligand and target discovery,0.20616
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,The types and numbers of kinesins and dyneins transporting endocytic cargoes modulate their motility and response to tau,0.631057
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Doublecortin restricts neuronal branching by regulating tubulin polyglutamylation,0.385089
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Bacterial biofilm-derived H-NS protein acts as a defense against Neutrophil Extracellular Traps (NETs),0.289811
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Two dominant timescales of cytoskeletal crosslinking in the viscoelastic response of the cytoplasm,0.668583
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,pH-Sulfate Synergy Regulates Processing and Mechanics of Mussel Byssus Protein Condensates,0.371341
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,A dynamic biointerface in mussels mediated by a mechanoresponsive intermediate filament-based biopolymer,0.500116
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Traffic control inside the cell: microtubule-based regulation of cargo transport,0.713543
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,The kinesin-5 tail and bipolar minifilament domains are the origin of its microtubule crosslinking and sliding activity,0.621835
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Research Collaborations With Water and Wastewater Utilities,-0.106683
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,The use of tunable diode laser absorption spectroscopy for the measurement of flame dynamics,0.050013
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,The Huntingtin Transport Complex,0.461994
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Measurements of neurite extension and nucleokinesis in an iPSC-derived model system following microtubule perturbation,0.412026
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Increase in glyoxylate shunt enzymes during cellular morphogenesis in <i>Myxococcus xanthus</i>,0.192812
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Low Efficiency Spotted in a Molecular Motor,0.569418
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Viewpoint: Low Efficiency Spotted in a Molecular Motor,0.577908
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Proteins with prion-like domains can form viscoelastic condensates that enable membrane remodeling and endocytosis,0.550801
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Determination of Flame Dynamics for Unsteady Combustion Systems using Tunable Diode Laser Absorption Spectroscopy,-0.002085
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,The mechanochemical origins of the microtubule sliding motility within the kinesin-5 domain organization,0.605906
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Synchronization of Motor Proteins Coupled Through a Shared Load,0.661408
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,The sets of kinesins and dynein transporting endocytic cargoes determine the effect of tau on their motility,0.604102
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Competition for microtubule lattice spacing between a microtubule expander and compactor,0.566382
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,"Optogenetic control of kinesins -1, -2, -3 and dynein reveals their specific roles in vesicular transport",0.674471
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Huntingtin polyglutamine expansions misdirect axonal transport by perturbing motor and adaptor recruitment,0.444689
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Collective Dynamics of Kinesin-1 Motor Proteins Transporting a Common Load,0.694913
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,MAP7 recruits kinesin-1 to microtubules to direct organelle transport,0.722953
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Abstract PR11: Understanding the role of myddosome dynamics in melanoma using live cell imaging,0.401848
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,"Abstract 21: LiP-MS, a machine learning-based chemoproteomic approach to identify drug targets in complex proteomes",0.209012
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Huntingtin S421 phosphorylation increases kinesin and dynein engagement on early endosomes and lysosomes,0.643329
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,"Abstract 2924: Target identification, selectivity profiling and mechanistic insights of a Cdk9 inhibitor using complementary proteomics methods",0.250545
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Collective Dynamics of Kinesin-1.,0.692122
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Axonal Mechanotransduction Drives Cytoskeletal Responses to Physiological Mechanical Forces,0.597115
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Using Chlorine Dioxide to Limit Formation of Organic Disinfection Byproducts,0.021357
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Tau hyperphosphorylation impairs cooperative binding to microtubules and perturbs organelle trafficking in neurons,0.394066
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Many dynein teams collectively generate high forces during the transport of large organelles,0.735034
Force measurements on cargoes in living cells reveal collective dynamics of microtubule motors,Mobile organic biofilm process for ammonia removal under low solids retention time and low operating temperature conditions,0.042456
