title_i,title_j,cosine_similarity
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,Composite alginate gels for tunable cellular microenvironment mechanics,0.380586
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,0.097914
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,Nuclei deformation reveals pressure distributions in 3D cell clusters,0.196997
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",0.313305
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,-0.034786
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,Preparation and Characterization of Novel Microcapsules,0.105909
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,0.167995
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,Active cellular forces in variable mechanical microenvironments,0.32757
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,A bioinspired optically transparent tough glass composite,0.895487
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,"Pattern- based Contractility Screening (PaCS), a reference-free traction force microscopy methodology, reveals contractile differences in breast cancer cells",0.315352
Centrifugation and index matching yield a strong and transparent bioinspired nacreous composite,MAP4K4 regulates biomechanical forces at adherens junctions and focal adhesions to promote collective cell migration,0.101431
Composite alginate gels for tunable cellular microenvironment mechanics,MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,0.488731
Composite alginate gels for tunable cellular microenvironment mechanics,Nuclei deformation reveals pressure distributions in 3D cell clusters,0.579008
Composite alginate gels for tunable cellular microenvironment mechanics,"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",0.622953
Composite alginate gels for tunable cellular microenvironment mechanics,Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,-0.080058
Composite alginate gels for tunable cellular microenvironment mechanics,Preparation and Characterization of Novel Microcapsules,0.272537
Composite alginate gels for tunable cellular microenvironment mechanics,Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,0.227046
Composite alginate gels for tunable cellular microenvironment mechanics,Active cellular forces in variable mechanical microenvironments,0.841114
Composite alginate gels for tunable cellular microenvironment mechanics,A bioinspired optically transparent tough glass composite,0.327376
Composite alginate gels for tunable cellular microenvironment mechanics,"Pattern- based Contractility Screening (PaCS), a reference-free traction force microscopy methodology, reveals contractile differences in breast cancer cells",0.625687
Composite alginate gels for tunable cellular microenvironment mechanics,MAP4K4 regulates biomechanical forces at adherens junctions and focal adhesions to promote collective cell migration,0.491004
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,Nuclei deformation reveals pressure distributions in 3D cell clusters,0.448381
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",0.61608
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,0.003884
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,Preparation and Characterization of Novel Microcapsules,0.106053
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,0.193232
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,Active cellular forces in variable mechanical microenvironments,0.467496
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,A bioinspired optically transparent tough glass composite,0.073929
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,"Pattern- based Contractility Screening (PaCS), a reference-free traction force microscopy methodology, reveals contractile differences in breast cancer cells",0.611972
MAP4K4 regulates forces at cell–cell and cell–matrix adhesions to promote collective cell migration,MAP4K4 regulates biomechanical forces at adherens junctions and focal adhesions to promote collective cell migration,0.99587
Nuclei deformation reveals pressure distributions in 3D cell clusters,"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",0.619767
Nuclei deformation reveals pressure distributions in 3D cell clusters,Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,-0.089333
Nuclei deformation reveals pressure distributions in 3D cell clusters,Preparation and Characterization of Novel Microcapsules,0.172193
Nuclei deformation reveals pressure distributions in 3D cell clusters,Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,0.242472
Nuclei deformation reveals pressure distributions in 3D cell clusters,Active cellular forces in variable mechanical microenvironments,0.711859
Nuclei deformation reveals pressure distributions in 3D cell clusters,A bioinspired optically transparent tough glass composite,0.202139
Nuclei deformation reveals pressure distributions in 3D cell clusters,"Pattern- based Contractility Screening (PaCS), a reference-free traction force microscopy methodology, reveals contractile differences in breast cancer cells",0.621433
Nuclei deformation reveals pressure distributions in 3D cell clusters,MAP4K4 regulates biomechanical forces at adherens junctions and focal adhesions to promote collective cell migration,0.454924
"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,-0.021423
"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",Preparation and Characterization of Novel Microcapsules,0.149249
"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,0.201084
"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",Active cellular forces in variable mechanical microenvironments,0.59753
"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",A bioinspired optically transparent tough glass composite,0.258389
"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology","Pattern- based Contractility Screening (PaCS), a reference-free traction force microscopy methodology, reveals contractile differences in breast cancer cells",0.998836
"Pattern-Based Contractility Screening, a Reference-Free Alternative to Traction Force Microscopy Methodology",MAP4K4 regulates biomechanical forces at adherens junctions and focal adhesions to promote collective cell migration,0.610956
Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,Preparation and Characterization of Novel Microcapsules,-0.019845
Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,0.013883
Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,Active cellular forces in variable mechanical microenvironments,-0.073408
Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,A bioinspired optically transparent tough glass composite,-0.044018
Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,"Pattern- based Contractility Screening (PaCS), a reference-free traction force microscopy methodology, reveals contractile differences in breast cancer cells",-0.02427
Tunable viscoelastic polydimethylsiloxane substrates for cell mechanics and mechanobiology applications,MAP4K4 regulates biomechanical forces at adherens junctions and focal adhesions to promote collective cell migration,0.003576
Preparation and Characterization of Novel Microcapsules,Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,0.089978
Preparation and Characterization of Novel Microcapsules,Active cellular forces in variable mechanical microenvironments,0.309085
Preparation and Characterization of Novel Microcapsules,A bioinspired optically transparent tough glass composite,0.090802
Preparation and Characterization of Novel Microcapsules,"Pattern- based Contractility Screening (PaCS), a reference-free traction force microscopy methodology, reveals contractile differences in breast cancer cells",0.148959
Preparation and Characterization of Novel Microcapsules,MAP4K4 regulates biomechanical forces at adherens junctions and focal adhesions to promote collective cell migration,0.108197
Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,Active cellular forces in variable mechanical microenvironments,0.310557
Correction: Corrigendum: Composite alginate gels for tunable cellular microenvironment mechanics,A bioinspired optically transparent tough glass composite,0.150178
