abstract_i,abstract_j,cosine_similarity
0,1,0.000633
0,2,0.411473
0,3,0.016715
0,4,0.079364
0,5,0.492961
0,6,0.397674
0,7,0.549917
0,8,0.608793
0,9,0.051741
0,10,8.2e-05
0,11,0.427895
0,12,-0.009382
0,13,-0.020478
0,14,0.048932
0,15,0.592532
0,16,0.453162
0,17,0.546287
0,18,0.311776
0,19,0.430743
0,20,0.550389
0,21,-0.000582
0,22,0.339513
0,23,0.463832
0,24,0.019098
0,25,0.013844
0,26,0.014004
0,27,0.550637
0,28,0.095711
0,29,0.639439
0,30,0.462224
0,31,0.733319
0,32,0.013453
0,33,0.737781
0,34,0.084262
0,35,0.104037
0,36,0.255352
0,37,0.030151
0,38,0.549917
0,39,0.539055
0,40,0.737781
0,41,0.131524
0,42,0.066576
0,43,0.044899
0,44,0.722474
0,45,0.029478
0,46,0.052346
0,47,0.222953
0,48,0.080638
0,49,0.405409
0,50,0.314966
0,51,0.037155
0,52,0.311952
0,53,0.032508
0,54,-0.011882
0,55,0.42637
0,56,-0.019157
0,57,-0.033946
0,58,0.037109
0,59,0.660215
0,60,0.047239
0,61,0.526851
0,62,-0.003859
0,63,0.34555
0,64,0.030661
0,65,0.011381
0,66,0.06535
0,67,0.448445
0,68,0.010905
0,69,0.567323
0,70,0.001708
0,71,0.098629
0,72,0.031065
0,73,0.455011
0,74,0.311776
0,75,0.020099
0,76,0.00576
0,77,0.427895
0,78,0.470337
0,79,0.102962
0,80,0.611976
0,81,0.470337
0,82,0.133451
0,83,-0.005365
0,84,-0.030685
0,85,0.28001
0,86,0.463209
0,87,-0.013408
0,88,0.045592
0,89,0.09201
0,90,0.463832
0,91,0.446381
0,92,0.309823
0,93,0.043017
0,94,0.354875
0,95,-0.011688
0,96,0.463517
0,97,0.60393
0,98,0.026729
0,99,0.453162
0,100,0.064836
0,101,0.027419
0,102,-0.00516
0,103,0.693429
0,104,0.107501
0,105,0.037046
0,106,0.022928
0,107,0.094721
0,108,-0.035254
0,109,0.093226
0,110,0.085896
0,111,0.578796
0,112,0.009783
0,113,0.027097
0,114,0.053931
0,115,0.2906
0,116,0.091516
1,2,0.004518
1,3,0.541294
1,4,0.120082
1,5,-0.010433
1,6,0.036241
1,7,0.042379
1,8,-0.051908
1,9,0.027485
1,10,0.365986
1,11,0.026009
1,12,0.032137
1,13,0.23923
1,14,0.108887
1,15,0.0293
1,16,-0.011603
1,17,0.047338
1,18,0.01824
1,19,0.020972
1,20,0.006638
1,21,-0.0632
1,22,0.011721
1,23,0.022491
1,24,0.05656
1,25,0.036407
1,26,0.032208
1,27,-0.051349
1,28,0.05602
1,29,-0.011965
1,30,0.033685
1,31,-0.086985
1,32,0.053182
1,33,-0.046241
1,34,-0.044868
1,35,0.170159
1,36,0.08241
1,37,0.120597
1,38,0.042379
1,39,0.039685
1,40,-0.046241
1,41,0.040414
1,42,0.067089
1,43,0.043748
1,44,-0.013677
1,45,0.058515
1,46,0.07267
1,47,0.03491
1,48,0.074942
1,49,0.010272
1,50,-0.023371
1,51,0.116544
1,52,0.161738
1,53,0.074654
1,54,-0.007595
1,55,0.054745
1,56,0.142931
1,57,0.04566
1,58,0.047621
1,59,0.018889
1,60,0.076051
1,61,0.028758
1,62,0.103463
1,63,0.028666
1,64,0.030938
1,65,0.081807
1,66,0.012695
1,67,-0.015847
1,68,0.021056
1,69,0.001891
1,70,0.017313
1,71,0.061343
1,72,0.080643
1,73,-0.016906
1,74,0.01824
1,75,0.077336
1,76,0.040576
1,77,0.026009
1,78,0.028169
1,79,-0.086452
1,80,0.062169
1,81,0.028169
1,82,0.028761
1,83,0.083885
1,84,0.110859
1,85,0.041219
1,86,-0.012068
1,87,0.04517
1,88,0.092392
1,89,0.053331
1,90,0.022491
1,91,-0.044556
1,92,0.094535
1,93,0.01886
1,94,0.078769
1,95,0.120451
1,96,-0.003666
1,97,-0.021215
1,98,-0.001989
1,99,-0.011603
1,100,0.157698
1,101,0.083018
1,102,-0.020642
1,103,-0.023241
1,104,0.112085
1,105,0.071049
1,106,0.050141
1,107,0.212373
1,108,0.046149
1,109,0.118285
1,110,0.066412
1,111,0.011135
1,112,0.089685
1,113,0.026492
1,114,0.072441
1,115,0.044847
1,116,0.146282
2,3,0.026433
2,4,0.137435
2,5,0.605609
2,6,0.595768
2,7,0.609427
2,8,0.539586
2,9,0.028451
2,10,0.100673
2,11,0.488498
2,12,0.047056
2,13,-0.012473
2,14,0.164224
2,15,0.544603
2,16,0.397632
2,17,0.486839
2,18,0.421485
2,19,0.383557
2,20,0.520898
2,21,-0.010104
2,22,0.449054
2,23,0.391409
2,24,0.014435
2,25,-0.015266
2,26,0.139025
2,27,0.508763
2,28,0.018874
2,29,0.579807
2,30,0.591228
2,31,0.574988
2,32,0.066191
2,33,0.625404
2,34,0.162396
2,35,0.126068
2,36,0.536629
2,37,-0.033378
2,38,0.609427
2,39,0.494805
2,40,0.625404
2,41,0.156285
2,42,0.067915
2,43,0.042628
2,44,0.584983
2,45,0.098955
2,46,0.020737
2,47,0.215663
2,48,0.139344
2,49,0.571573
2,50,0.484037
2,51,0.075367
2,52,0.36113
2,53,0.113052
2,54,-0.056107
2,55,0.608213
2,56,0.001841
2,57,0.028295
2,58,-0.007248
2,59,0.53166
2,60,0.092953
2,61,0.436072
2,62,0.066053
2,63,0.526443
2,64,0.100892
2,65,0.110288
2,66,0.015302
2,67,0.585686
2,68,0.128177
2,69,0.502012
2,70,0.108049
2,71,0.025894
2,72,0.132603
2,73,0.562543
2,74,0.421485
2,75,0.079323
2,76,-0.066905
2,77,0.488498
2,78,0.603294
2,79,-0.021597
2,80,0.658554
2,81,0.603294
2,82,0.171664
2,83,0.038854
2,84,-0.015764
2,85,0.283525
2,86,0.343192
2,87,0.031631
2,88,0.079356
2,89,0.115142
2,90,0.391409
2,91,0.405665
2,92,0.302358
2,93,0.031495
2,94,0.444333
2,95,0.038051
2,96,0.506492
2,97,0.511768
2,98,0.015257
2,99,0.397632
2,100,0.122552
