title_i,title_j,cosine_similarity
Mindfulness Meditation According to the Satipatthana Sutta: A Single-Case Study With Participants as Collaborators,Digital assistance systems in the field of incontinence care for individuals in need of long-term care (EASY): study protocol of a stratified randomised controlled trial,0.165742
Mindfulness Meditation According to the Satipatthana Sutta: A Single-Case Study With Participants as Collaborators,Military Sexual Trauma’s Association with Lower Urinary Tract Symptoms (LUTS) and Fecal Incontinence (FI) Among U.S. Female Veterans,-0.001017
Mindfulness Meditation According to the Satipatthana Sutta: A Single-Case Study With Participants as Collaborators,"Electronic structure and structural stability of the ternary<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">AuCo</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn><mml:mo>(</mml:mo><mml:mn>1</mml:mn><mml:mi>−</mml:mi><mml:mi>u</mml:mi><mml:mo>)</mml:mo></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Sn</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>and<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">AuNi</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Sn</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>phases",0.215037
Mindfulness Meditation According to the Satipatthana Sutta: A Single-Case Study With Participants as Collaborators,ChemInform Abstract: The Ternary System Au‐Co‐Sn and the Crystal Structure of AuCo2(1‐x)Sn4.,0.430819
Mindfulness Meditation According to the Satipatthana Sutta: A Single-Case Study With Participants as Collaborators,ChemInform Abstract: The Crystal Structure of AuMnSn.,0.430819
Digital assistance systems in the field of incontinence care for individuals in need of long-term care (EASY): study protocol of a stratified randomised controlled trial,Military Sexual Trauma’s Association with Lower Urinary Tract Symptoms (LUTS) and Fecal Incontinence (FI) Among U.S. Female Veterans,0.23831
Digital assistance systems in the field of incontinence care for individuals in need of long-term care (EASY): study protocol of a stratified randomised controlled trial,"Electronic structure and structural stability of the ternary<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">AuCo</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn><mml:mo>(</mml:mo><mml:mn>1</mml:mn><mml:mi>−</mml:mi><mml:mi>u</mml:mi><mml:mo>)</mml:mo></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Sn</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>and<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">AuNi</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Sn</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>phases",-0.068769
Digital assistance systems in the field of incontinence care for individuals in need of long-term care (EASY): study protocol of a stratified randomised controlled trial,ChemInform Abstract: The Ternary System Au‐Co‐Sn and the Crystal Structure of AuCo2(1‐x)Sn4.,0.374477
Digital assistance systems in the field of incontinence care for individuals in need of long-term care (EASY): study protocol of a stratified randomised controlled trial,ChemInform Abstract: The Crystal Structure of AuMnSn.,0.374477
Military Sexual Trauma’s Association with Lower Urinary Tract Symptoms (LUTS) and Fecal Incontinence (FI) Among U.S. Female Veterans,"Electronic structure and structural stability of the ternary<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">AuCo</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn><mml:mo>(</mml:mo><mml:mn>1</mml:mn><mml:mi>−</mml:mi><mml:mi>u</mml:mi><mml:mo>)</mml:mo></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Sn</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>and<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">AuNi</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Sn</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>phases",0.035484
Military Sexual Trauma’s Association with Lower Urinary Tract Symptoms (LUTS) and Fecal Incontinence (FI) Among U.S. Female Veterans,ChemInform Abstract: The Ternary System Au‐Co‐Sn and the Crystal Structure of AuCo2(1‐x)Sn4.,0.067145
Military Sexual Trauma’s Association with Lower Urinary Tract Symptoms (LUTS) and Fecal Incontinence (FI) Among U.S. Female Veterans,ChemInform Abstract: The Crystal Structure of AuMnSn.,0.067145
