abstract_i,abstract_j,cosine_similarity
0,1,0.719783
0,2,0.762841
0,3,0.809063
0,4,0.75837
0,5,0.736685
0,6,0.671356
0,7,0.770694
0,8,0.603133
0,9,0.719044
0,10,0.754191
0,11,0.839418
0,12,0.702389
0,13,0.413269
0,14,0.780143
0,15,0.804272
0,16,0.749475
0,17,0.764729
0,18,0.987087
0,19,0.832615
0,20,0.651019
0,21,0.832863
0,22,0.662462
0,23,0.67436
0,24,0.696438
0,25,0.536396
0,26,0.818164
0,27,0.667824
0,28,0.719491
0,29,0.694435
0,30,0.858624
0,31,0.673782
0,32,0.742335
0,33,0.740169
0,34,0.805929
0,35,0.739582
0,36,0.692011
0,37,0.786472
0,38,0.851074
0,39,0.692364
0,40,0.804524
0,41,0.814072
0,42,0.711104
0,43,0.651166
0,44,0.78547
0,45,0.807676
0,46,0.456401
0,47,0.413959
0,48,0.705679
0,49,0.812476
0,50,0.763849
0,51,0.695249
0,52,0.77376
0,53,0.679582
0,54,0.765585
0,55,0.789085
0,56,0.796109
1,2,0.691422
1,3,0.751393
1,4,0.773277
1,5,0.547287
1,6,0.641825
1,7,0.676431
1,8,0.640201
1,9,0.997385
1,10,0.738239
1,11,0.700382
1,12,0.638552
1,13,0.347526
1,14,0.789124
1,15,0.736548
1,16,0.752777
1,17,0.66584
1,18,0.729288
1,19,0.599283
1,20,0.584648
1,21,0.695826
1,22,0.753174
1,23,0.767233
1,24,0.72606
1,25,0.606707
1,26,0.728114
1,27,0.757158
1,28,0.727199
1,29,0.562407
1,30,0.739072
1,31,0.681161
1,32,0.752267
1,33,0.722398
1,34,0.667729
1,35,0.530879
1,36,0.561957
1,37,0.788455
1,38,0.728221
1,39,0.682949
1,40,0.664054
1,41,0.65302
1,42,0.693018
1,43,0.567162
1,44,0.745798
1,45,0.6026
1,46,0.474598
1,47,0.352846
1,48,0.729993
1,49,0.722296
1,50,0.687751
1,51,0.725389
1,52,0.861557
1,53,0.584768
1,54,0.567545
1,55,0.650533
1,56,0.727629
2,3,0.609986
2,4,0.796193
2,5,0.566204
2,6,0.690416
2,7,0.779734
2,8,0.57111
2,9,0.690756
2,10,0.603028
2,11,0.812021
2,12,0.659609
2,13,0.430752
2,14,0.719907
2,15,0.606999
2,16,0.807645
2,17,0.771092
2,18,0.768041
2,19,0.711957
2,20,0.716355
2,21,0.741145
2,22,0.663946
2,23,0.631296
2,24,0.775337
2,25,0.559434
2,26,0.742382
2,27,0.62043
2,28,0.709338
2,29,0.689244
2,30,0.64019
2,31,0.646578
2,32,0.670146
2,33,0.577642
2,34,0.609188
2,35,0.568971
2,36,0.691792
2,37,0.732972
2,38,0.619688
2,39,0.808203
2,40,0.60069
2,41,0.713595
2,42,0.822264
2,43,0.712703
2,44,0.836034
2,45,0.621405
2,46,0.494221
2,47,0.430018
2,48,0.6908
2,49,0.748279
2,50,0.990831
2,51,0.774609
2,52,0.724657
2,53,0.726898
2,54,0.725778
2,55,0.758895
2,56,0.718776
3,4,0.727407
3,5,0.693447
3,6,0.579506
3,7,0.687536
3,8,0.556072
3,9,0.756455
3,10,0.843924
3,11,0.742542
3,12,0.576271
3,13,0.234548
3,14,0.730824
3,15,0.989552
3,16,0.704544
3,17,0.682868
3,18,0.825885
3,19,0.740384
3,20,0.511961
3,21,0.795621
3,22,0.650336
3,23,0.748448
3,24,0.625698
3,25,0.48585
3,26,0.755417
3,27,0.743321
3,28,0.670043
3,29,0.578664
3,30,0.860959
3,31,0.651298
3,32,0.74824
3,33,0.85303
3,34,0.840149
3,35,0.714763
3,36,0.5762
3,37,0.71895
3,38,0.887819
3,39,0.597578
3,40,0.846322
3,41,0.72444
3,42,0.553726
3,43,0.504652
3,44,0.6632
3,45,0.690586
3,46,0.39435
3,47,0.245569
3,48,0.649238
3,49,0.746364
3,50,0.620015
3,51,0.624501
3,52,0.797338
3,53,0.541916
3,54,0.647619
3,55,0.623167
3,56,0.759858
4,5,0.68569
4,6,0.619528
4,7,0.773259
4,8,0.590223
4,9,0.772772
4,10,0.678086
4,11,0.805416
4,12,0.62005
4,13,0.37454
4,14,0.750189
4,15,0.716961
4,16,0.981699
4,17,0.766428
4,18,0.770063
4,19,0.745527
4,20,0.659011
4,21,0.767175
4,22,0.720441
4,23,0.700517
4,24,0.764627
4,25,0.568179
4,26,0.721424
4,27,0.687593
4,28,0.751077
4,29,0.641968
4,30,0.729809
4,31,0.681366
4,32,0.719965
4,33,0.640071
4,34,0.687588
4,35,0.682105
4,36,0.642523
4,37,0.758378
4,38,0.711325
4,39,0.78065
4,40,0.680804
4,41,0.663588
4,42,0.791879
4,43,0.639497
4,44,0.815589
4,45,0.600709
4,46,0.491639
4,47,0.376188
4,48,0.706755
4,49,0.731668
4,50,0.799545
4,51,0.765314
4,52,0.781615
4,53,0.737798
4,54,0.736717
4,55,0.67964
4,56,0.707183
5,6,0.518413
5,7,0.629265
5,8,0.486717
5,9,0.550863
5,10,0.631411
5,11,0.715176
5,12,0.521895
5,13,0.349465
5,14,0.548381
5,15,0.691013
5,16,0.688209
5,17,0.62672
5,18,0.726124
5,19,0.843427
5,20,0.474941
5,21,0.661507
5,22,0.529732
5,23,0.566568
5,24,0.492846
5,25,0.45773
5,26,0.646134
5,27,0.569437
5,28,0.523188
5,29,0.522277
5,30,0.717131
5,31,0.527439
5,32,0.600178
5,33,0.652019
5,34,0.802917
5,35,0.958319
5,36,0.516133
5,37,0.55406
5,38,0.726273
5,39,0.532515
5,40,0.804692
5,41,0.6615
5,42,0.569114
5,43,0.458992
5,44,0.655244
5,45,0.62122
5,46,0.424414
5,47,0.347904
5,48,0.575317
5,49,0.646705
5,50,0.586564
5,51,0.492375
5,52,0.628462
5,53,0.75201
5,54,0.797416
5,55,0.572066
5,56,0.64591
6,7,0.621604
6,8,0.560439
6,9,0.642024
6,10,0.716145
6,11,0.668177
