abstract_i,abstract_j,cosine_similarity
0,1,0.336264
0,2,0.371937
0,3,0.291237
0,4,0.376549
0,5,0.565974
0,6,0.28849
0,7,0.317608
0,8,0.289712
0,9,0.346084
0,10,0.562605
0,11,0.532301
0,12,0.437782
0,13,0.429058
0,14,0.267385
0,15,0.257706
0,16,0.33439
0,17,0.396416
0,18,0.152524
0,19,0.457803
0,20,0.273956
0,21,0.338003
0,22,0.346835
0,23,0.283035
0,24,0.203578
0,25,0.285778
0,26,0.420178
0,27,0.522671
0,28,0.433998
0,29,0.319689
0,30,0.390324
0,31,0.290702
0,32,0.318281
0,33,0.176695
0,34,0.314553
0,35,0.406741
0,36,0.375771
0,37,0.418728
0,38,0.278091
0,39,0.283271
0,40,0.318924
0,41,0.432664
0,42,0.282613
0,43,0.291463
0,44,0.271408
0,45,0.450158
0,46,0.508824
0,47,0.428619
0,48,0.292999
0,49,0.264435
0,50,0.359942
0,51,0.248484
0,52,0.076459
0,53,0.281607
0,54,0.52564
0,55,0.249975
1,2,0.467305
1,3,0.420553
1,4,0.370728
1,5,0.442584
1,6,0.420446
1,7,0.213836
1,8,0.506993
1,9,0.449217
1,10,0.466077
1,11,0.42052
1,12,0.285362
1,13,0.516703
1,14,0.138477
1,15,0.212396
1,16,0.450377
1,17,0.516771
1,18,0.090557
1,19,0.407105
1,20,0.417164
1,21,0.982246
1,22,0.390264
1,23,0.159321
1,24,0.104635
1,25,0.475967
1,26,0.601717
1,27,0.420947
1,28,0.623451
1,29,0.40476
1,30,0.262959
1,31,0.513834
1,32,0.167857
1,33,0.202889
1,34,0.498088
1,35,0.460085
1,36,0.445541
1,37,0.576863
1,38,0.40459
1,39,0.159143
1,40,0.35921
1,41,0.710268
1,42,0.428942
1,43,0.447028
1,44,0.393866
1,45,0.523027
1,46,0.368056
1,47,0.61034
1,48,0.245504
1,49,0.420406
1,50,0.288271
1,51,0.179052
1,52,0.091221
1,53,0.14467
1,54,0.509966
1,55,0.103297
2,3,0.361062
2,4,0.385505
2,5,0.471111
2,6,0.358639
2,7,0.197955
2,8,0.35439
2,9,0.403834
2,10,0.49807
2,11,0.489659
2,12,0.381855
2,13,0.852137
