abstract_i,abstract_j,cosine_similarity
0,1,0.167783
0,2,0.16102
0,3,0.121401
0,4,0.072496
0,5,0.063819
0,6,0.154574
0,7,0.152411
0,8,0.15438
0,9,0.085609
0,10,0.142032
0,11,0.040819
0,12,-0.014101
0,13,0.042473
0,14,0.172499
0,15,0.121887
0,16,0.158159
0,17,0.021472
0,18,0.01983
0,19,0.09378
0,20,0.10431
0,21,0.145178
0,22,0.062626
0,23,0.012023
0,24,0.099335
0,25,0.113958
0,26,0.212601
0,27,0.09405
0,28,0.022721
0,29,0.058409
0,30,0.054832
0,31,0.065865
0,32,0.66773
0,33,0.08112
0,34,0.053259
0,35,0.012196
0,36,0.1124
0,37,0.086907
0,38,0.145149
0,39,0.053447
0,40,-0.01706
0,41,0.091173
0,42,-0.007563
0,43,0.045987
0,44,-0.024473
0,45,0.074445
0,46,0.012257
0,47,0.070835
0,48,0.143535
0,49,0.117284
0,50,0.050905
0,51,0.116812
0,52,0.044407
0,53,0.075914
0,54,0.282376
0,55,0.141298
0,56,0.119897
0,57,0.097286
0,58,0.042771
0,59,-0.028988
0,60,0.078597
0,61,0.074112
0,62,0.058738
0,63,0.541349
0,64,0.226967
0,65,0.068449
0,66,0.058752
0,67,0.084292
0,68,0.110905
0,69,0.039114
0,70,0.043084
0,71,0.141001
0,72,0.054472
0,73,0.135921
0,74,0.145699
0,75,0.067053
0,76,0.072947
0,77,0.072535
0,78,0.027396
0,79,0.019486
0,80,0.048363
0,81,0.07613
0,82,0.102739
0,83,0.097094
0,84,0.115516
0,85,0.059433
0,86,0.090656
0,87,0.094523
0,88,0.125541
0,89,0.045051
0,90,0.098873
0,91,0.093194
0,92,0.120857
0,93,0.133549
0,94,0.023891
0,95,0.108026
0,96,0.169895
0,97,0.068148
0,98,-0.0088
0,99,0.077663
0,100,0.080916
0,101,0.097311
0,102,0.102614
0,103,0.14658
0,104,0.155363
0,105,0.024368
0,106,0.105193
0,107,0.083654
0,108,0.12276
0,109,0.073892
0,110,-0.007396
0,111,0.052992
0,112,0.081529
0,113,-0.025516
0,114,0.049124
0,115,0.265244
1,2,0.225587
1,3,0.131397
1,4,0.139305
1,5,0.2816
1,6,0.626759
1,7,0.251923
1,8,0.331
1,9,0.222388
