abstract_i,abstract_j,cosine_similarity
0,1,0.773553
0,2,0.190516
0,3,0.558159
0,4,0.686671
0,5,0.75828
0,6,-0.006212
0,7,0.668878
0,8,0.609735
0,9,0.006486
0,10,0.7335
0,11,0.450139
0,12,0.730693
0,13,0.81006
0,14,0.800671
0,15,0.900191
0,16,0.695251
0,17,0.785491
0,18,0.806639
0,19,-0.07804
0,20,0.74401
0,21,0.685013
0,22,0.708771
0,23,0.685061
0,24,0.615154
0,25,0.743767
0,26,0.813309
0,27,0.769278
0,28,0.94617
0,29,0.619296
0,30,0.757184
0,31,0.718874
0,32,0.07559
0,33,0.638664
0,34,0.790605
0,35,0.841845
0,36,0.722971
0,37,0.611798
0,38,0.729994
0,39,0.721416
0,40,0.831433
0,41,0.694166
0,42,0.62807
0,43,0.739229
0,44,0.632193
0,45,0.563197
0,46,0.772961
0,47,0.516007
0,48,0.75401
0,49,-0.005749
0,50,0.603466
0,51,0.096495
1,2,0.179252
1,3,0.651738
1,4,0.722643
1,5,0.668608
1,6,-0.022396
1,7,0.615921
1,8,0.642238
1,9,0.019181
1,10,0.699173
1,11,0.350287
1,12,0.729548
1,13,0.823623
1,14,0.832587
1,15,0.74169
1,16,0.617566
1,17,0.761636
1,18,0.696075
1,19,-0.09337
1,20,0.666445
1,21,0.755086
1,22,0.687122
1,23,0.637869
1,24,0.527906
1,25,0.768046
1,26,0.903942
1,27,0.728273
1,28,0.779304
1,29,0.656511
1,30,0.687407
1,31,0.742075
1,32,0.107157
1,33,0.671854
1,34,0.744849
1,35,0.821644
1,36,0.634382
1,37,0.702878
1,38,0.728949
1,39,0.633454
1,40,0.725678
1,41,0.648873
1,42,0.709659
1,43,0.700087
1,44,0.768707
1,45,0.414161
1,46,0.685165
1,47,0.561257
1,48,0.681571
1,49,-0.050364
1,50,0.692992
1,51,0.101377
2,3,0.259073
2,4,0.272452
2,5,0.182825
2,6,0.002033
2,7,0.267893
2,8,0.089334
2,9,0.088583
2,10,0.125806
2,11,0.139359
2,12,0.206232
2,13,0.220912
2,14,0.213517
2,15,0.150944
2,16,0.145874
2,17,0.173369
2,18,0.097265
2,19,-0.057425
2,20,0.091339
2,21,0.088246
2,22,0.133472
2,23,0.104046
2,24,0.182787
2,25,0.230146
2,26,0.159804
2,27,0.13006
2,28,0.170224
2,29,0.093444
2,30,0.139057
2,31,0.181572
2,32,0.22448
2,33,0.246935
2,34,0.176315
2,35,0.15575
2,36,0.058397
2,37,0.244993
2,38,0.203032
2,39,0.062732
2,40,0.159315
2,41,0.20535
2,42,0.199719
2,43,0.164008
2,44,0.273515
2,45,0.167533
2,46,0.137808
2,47,0.236056
2,48,0.13708
2,49,-0.018233
2,50,0.312793
2,51,0.246842
3,4,0.665409
3,5,0.611383
3,6,0.007183
3,7,0.676613
3,8,0.407936
3,9,-0.048171
3,10,0.679888
3,11,0.362703
3,12,0.744028
3,13,0.633639
3,14,0.641091
3,15,0.590501
3,16,0.638375
3,17,0.738035
3,18,0.540229
3,19,-0.028978
3,20,0.519255
3,21,0.685589
3,22,0.424301
3,23,0.437372
3,24,0.594962
3,25,0.684498
3,26,0.619571
3,27,0.514847
3,28,0.585441
3,29,0.415906
3,30,0.510285
3,31,0.696588
3,32,0.031198
3,33,0.591362
3,34,0.565216
3,35,0.628021
3,36,0.505025
3,37,0.683408
3,38,0.743635
3,39,0.505541
3,40,0.551652
3,41,0.605431
3,42,0.71937
3,43,0.572264
3,44,0.905118
3,45,0.474491
3,46,0.538384
3,47,0.552357
3,48,0.503665
3,49,-0.047158
3,50,0.676668
3,51,-0.016833
4,5,0.6995
4,6,0.010061
4,7,0.712295
4,8,0.493599
4,9,0.032305
4,10,0.722425
4,11,0.360142
4,12,0.783465
4,13,0.7061
4,14,0.73946
4,15,0.709337
4,16,0.620297
4,17,0.82081
4,18,0.675596
4,19,-0.069134
4,20,0.625022
4,21,0.722772
4,22,0.559177
4,23,0.548989
4,24,0.536304
4,25,0.867262
4,26,0.732142
4,27,0.660966
4,28,0.712761
4,29,0.511214
4,30,0.654501
4,31,0.787004
4,32,0.165122
4,33,0.842201
4,34,0.713396
4,35,0.711558
4,36,0.5859
4,37,0.782499
4,38,0.781136
4,39,0.587285
4,40,0.692692
4,41,0.693727
4,42,0.724826
4,43,0.663945
4,44,0.721097
4,45,0.379731
4,46,0.611655
4,47,0.591145
4,48,0.652243
4,49,-0.023268
4,50,0.684455
4,51,0.030587
5,6,-0.113935
5,7,0.693093
5,8,0.560887
5,9,0.001944
5,10,0.823299
5,11,0.449051
5,12,0.749367
5,13,0.684833
5,14,0.663503
5,15,0.8257
5,16,0.758929
5,17,0.756553
5,18,0.709287
5,19,-0.123159
5,20,0.69908
5,21,0.695198
5,22,0.52666
5,23,0.67699
5,24,0.707721
5,25,0.7455
5,26,0.702608
5,27,0.642023
5,28,0.78647
5,29,0.580304
5,30,0.662074
5,31,0.760174
5,32,0.044985
5,33,0.693601
5,34,0.675359
5,35,0.714894
5,36,0.695532
5,37,0.635522
5,38,0.74957
5,39,0.697359
5,40,0.754736
5,41,0.720065
5,42,0.609174
5,43,0.569131
5,44,0.625287
5,45,0.501856
5,46,0.725583
5,47,0.454822
5,48,0.656636
5,49,0.002915
5,50,0.573103
5,51,0.06601
6,7,0.00793
6,8,-0.047724
6,9,0.109532
6,10,-0.086721
6,11,-0.038798
6,12,-0.053137
6,13,-0.009063
6,14,0.008552
6,15,-0.067725
6,16,-0.057457
6,17,-0.052453
6,18,-0.017449
6,19,0.437719
6,20,-0.034753
6,21,-0.072033
6,22,-0.031107
6,23,-0.087862
6,24,-0.039469
6,25,-0.049234
6,26,-0.04877
6,27,0.015194
6,28,-0.029499
6,29,-0.049915
6,30,-0.005929
6,31,-0.080093
6,32,-0.007248
6,33,-0.05961
6,34,0.012337
6,35,-0.02235
6,36,-0.055399
6,37,-0.03658
6,38,-0.054021
6,39,-0.055922
6,40,-0.039593
6,41,-0.051499
6,42,-0.016251
6,43,-0.022255
6,44,0.000699
6,45,0.010339
6,46,-0.034886
6,47,-0.00191
6,48,-0.010177
6,49,0.083559
6,50,-0.005247
6,51,0.008947
7,8,0.443735
7,9,0.048544
7,10,0.708718
7,11,0.55408
7,12,0.779902
7,13,0.614939
7,14,0.640193
7,15,0.704197
7,16,0.614185
7,17,0.738006
7,18,0.617981
7,19,-0.073764
7,20,0.599281
7,21,0.576288
7,22,0.475684
7,23,0.502159
7,24,0.641578
7,25,0.745462
7,26,0.606324
7,27,0.582548
7,28,0.686064
7,29,0.449452
7,30,0.577197
7,31,0.675767
7,32,0.082331
7,33,0.678925
7,34,0.651684
7,35,0.650556
7,36,0.631941
7,37,0.651022
7,38,0.77905
7,39,0.632955
