abstract_i,abstract_j,cosine_similarity
0,1,0.425296
0,2,0.089814
0,3,0.688259
0,4,0.034942
0,5,0.805498
0,6,0.738269
0,7,0.032001
0,8,0.86603
0,9,0.645256
0,10,0.176467
0,11,0.001655
0,12,0.960719
0,13,-0.047512
0,14,0.843743
0,15,0.723254
0,16,0.645881
0,17,0.417515
0,18,0.634493
0,19,0.744581
0,20,0.729943
0,21,0.013196
0,22,0.873846
0,23,0.658522
0,24,0.766978
0,25,0.695979
1,2,0.095427
1,3,0.537961
1,4,0.101577
1,5,0.425906
1,6,0.403938
1,7,0.053653
1,8,0.396979
1,9,0.501288
1,10,-0.013119
1,11,-0.068523
1,12,0.402256
1,13,0.098258
1,14,0.394105
1,15,0.444961
1,16,0.498975
1,17,0.978807
1,18,0.430457
1,19,0.412463
1,20,0.46304
1,21,0.162023
1,22,0.39659
1,23,0.540001
1,24,0.447888
1,25,0.523684
2,3,0.088675
2,4,0.03237
2,5,0.075409
2,6,0.023632
2,7,-0.020624
2,8,0.058496
2,9,0.065528
2,10,0.067272
2,11,0.137289
2,12,0.08392
2,13,0.01025
2,14,0.052228
2,15,0.067525
2,16,0.067556
2,17,0.112785
2,18,0.03406
2,19,0.123948
2,20,0.065643
2,21,0.015869
2,22,0.060297
2,23,0.074768
2,24,0.076621
2,25,0.086362
3,4,-0.023272
3,5,0.732236
3,6,0.719879
3,7,0.044549
3,8,0.698449
3,9,0.774871
3,10,0.012749
3,11,-0.060449
3,12,0.695022
3,13,-0.075789
3,14,0.680732
3,15,0.746116
3,16,0.773881
3,17,0.547821
3,18,0.656217
3,19,0.679258
3,20,0.762077
3,21,-0.029462
3,22,0.696627
3,23,0.833546
3,24,0.715731
3,25,0.99512
4,5,0.03928
4,6,0.115683
4,7,0.097571
4,8,0.017379
4,9,0.008879
4,10,0.070412
4,11,0.010318
4,12,0.015748
4,13,0.875759
4,14,0.062182
4,15,0.102422
4,16,0.005272
4,17,0.099494
4,18,-0.012919
4,19,0.110994
4,20,0.090539
4,21,0.895547
4,22,0.01469
4,23,0.03649
4,24,0.048155
4,25,-0.019285
5,6,0.782764
5,7,0.020016
5,8,0.780055
5,9,0.705766
5,10,0.078128
5,11,0.024171
5,12,0.80079
5,13,-0.059537
5,14,0.721907
5,15,0.746514
5,16,0.708657
5,17,0.428962
5,18,0.652706
5,19,0.792187
5,20,0.76919
5,21,-0.010639
5,22,0.785186
5,23,0.702739
5,24,0.97395
5,25,0.742345
6,7,0.016618
6,8,0.688635
6,9,0.652965
6,10,0.049917
6,11,-0.085014
6,12,0.712278
6,13,0.037141
6,14,0.715551
6,15,0.900434
6,16,0.649488
6,17,0.406845
6,18,0.55317
6,19,0.856268
6,20,0.89707
6,21,0.120449
6,22,0.686393
6,23,0.646073
6,24,0.745279
6,25,0.731461
7,8,0.019458
7,9,0.014375
7,10,0.19283
7,11,0.215411
7,12,0.002373
7,13,0.125368
7,14,0.004473
7,15,0.024931
7,16,0.012843
7,17,0.078154
7,18,0.041779
7,19,0.01265
7,20,0.008036
7,21,0.100164
7,22,0.028383
7,23,0.055612
7,24,0.005001
7,25,0.045322
8,9,0.679606
8,10,0.108622
8,11,-0.026601
8,12,0.877167
8,13,-0.068066
8,14,0.843096
8,15,0.670747
8,16,0.676321
8,17,0.392407
8,18,0.648654
8,19,0.659517
8,20,0.680421
8,21,-0.013417
8,22,0.992318
8,23,0.648451
8,24,0.740255
8,25,0.702085
9,10,0.03828
9,11,-0.052232
9,12,0.661931
9,13,-0.083199
9,14,0.684308
9,15,0.704228
9,16,0.998337
9,17,0.506365
9,18,0.625803
9,19,0.619516
9,20,0.729197
9,21,-0.020484
9,22,0.676196
9,23,0.683562
9,24,0.687928
9,25,0.768412
10,11,0.393357
10,12,0.160754
10,13,0.092241
10,14,0.113481
10,15,0.026332
10,16,0.043563
10,17,-0.020154
10,18,0.065712
10,19,0.088192
10,20,0.024105
10,21,0.044772
10,22,0.119845
10,23,0.003819
10,24,0.077664
10,25,0.013592
11,12,-0.008343
11,13,0.031086
11,14,-0.037543
11,15,-0.07623
11,16,-0.049381
11,17,-0.080176
11,18,0.00535
11,19,-0.013813
11,20,-0.059123
11,21,-0.030649
11,22,-0.033375
11,23,-0.109301
11,24,0.0059
11,25,-0.061933
12,13,-0.070779
12,14,0.844393
12,15,0.695557
12,16,0.664945
12,17,0.388916
12,18,0.661401
12,19,0.74224
12,20,0.721701
12,21,-0.012685
12,22,0.884006
12,23,0.679001
12,24,0.773909
12,25,0.703738
13,14,-0.037996
13,15,0.010794
13,16,-0.086061
13,17,0.080839
13,18,-0.075055
13,19,0.044668
13,20,-0.00148
13,21,0.87666
13,22,-0.072433
13,23,-0.024986
13,24,-0.05058
13,25,-0.074947
14,15,0.743907
14,16,0.682485
14,17,0.384518
14,18,0.650728
14,19,0.667106
14,20,0.749889
14,21,0.02175
14,22,0.843494
14,23,0.630337
14,24,0.682023
14,25,0.68378
15,16,0.700511
15,17,0.457314
15,18,0.551819
15,19,0.800324
15,20,0.986854
15,21,0.078309
15,22,0.669501
15,23,0.67228
15,24,0.702644
15,25,0.75574
16,17,0.502099
16,18,0.633993
16,19,0.618797
16,20,0.72753
16,21,-0.02384
16,22,0.674126
16,23,0.68384
16,24,0.69318
16,25,0.7683
17,18,0.423239
17,19,0.41007
17,20,0.469077
17,21,0.148697
17,22,0.391578
17,23,0.55072
17,24,0.449606
17,25,0.533366
18,19,0.557793
18,20,0.57414
18,21,-0.028487
18,22,0.652614
18,23,0.65723
18,24,0.658285
18,25,0.649736
19,20,0.815486
19,21,0.091149
19,22,0.657771
19,23,0.640611
19,24,0.766435
19,25,0.687346
20,21,0.065333
20,22,0.677915
20,23,0.696037
20,24,0.73258
20,25,0.771791
21,22,-0.018537
21,23,0.017196
21,24,0.006348
21,25,-0.025395
22,23,0.653715
22,24,0.746229
22,25,0.701087
23,24,0.700954
23,25,0.821238
24,25,0.725875
