abstract_i,abstract_j,cosine_similarity
0,1,0.648748
0,2,0.204906
0,3,0.292652
0,4,0.509357
0,5,0.278803
0,6,0.402555
0,7,0.635446
0,8,0.401159
0,9,0.27217
0,10,0.69012
0,11,0.153363
0,12,0.509895
0,13,0.310881
0,14,0.647493
0,15,0.715816
0,16,0.567376
0,17,0.191344
0,18,0.745105
0,19,0.462578
0,20,0.50292
0,21,0.613308
0,22,0.189102
0,23,0.74665
0,24,0.52346
0,25,0.582038
0,26,0.501221
0,27,0.480886
0,28,0.071507
0,29,0.477954
0,30,0.429199
0,31,0.101729
0,32,0.455905
0,33,0.895787
0,34,0.3651
0,35,0.477314
0,36,0.438586
0,37,0.54632
0,38,0.415269
0,39,0.126797
0,40,0.365182
0,41,0.671283
0,42,0.136116
0,43,0.638793
0,44,0.228747
0,45,0.617807
0,46,0.723699
0,47,0.183348
0,48,0.47107
0,49,0.310683
0,50,0.510362
0,51,0.237615
0,52,0.664661
0,53,0.264298
0,54,0.375052
0,55,0.210681
0,56,0.518194
0,57,0.44433
0,58,0.446996
0,59,0.448867
0,60,0.421335
0,61,0.573685
0,62,0.164175
0,63,0.365366
0,64,0.342025
0,65,0.083229
0,66,0.462576
0,67,0.274448
0,68,0.569378
0,69,0.297395
0,70,0.413748
0,71,0.430999
0,72,0.204395
0,73,0.19274
0,74,0.262349
0,75,0.576836
0,76,0.443898
0,77,0.418089
0,78,0.422097
0,79,0.450752
0,80,0.434752
0,81,0.15746
0,82,0.367574
0,83,0.017038
0,84,0.494553
0,85,0.564613
0,86,0.377765
0,87,0.604313
0,88,0.529052
0,89,0.461978
0,90,0.005015
0,91,0.306517
0,92,0.562784
0,93,0.037147
0,94,0.564934
0,95,0.430565
0,96,0.456734
0,97,0.504126
0,98,0.647276
0,99,0.555118
1,2,0.373237
1,3,0.152458
1,4,0.551776
1,5,0.210442
1,6,0.32207
1,7,0.41463
1,8,0.271933
1,9,0.229478
1,10,0.478241
1,11,0.073936
1,12,0.56159
1,13,0.158612
1,14,0.558863
1,15,0.563581
