title_i,title_j,cosine_similarity
A categorical approach to dynamical quantum groups,"Yangians, Mirabolic Subalgebras, and Whittaker Vectors",0.564181
A categorical approach to dynamical quantum groups,Intertwining operators between subregular Whittaker modules for $\mathfrak{gl}_N$ and non-standard quantizations,0.64528
A categorical approach to dynamical quantum groups,Orthogonal Howe duality and dynamical (split) symmetric pairs,0.598832
A categorical approach to dynamical quantum groups,"Shuffle Products, Degenerate Affine Hecke Algebras, and Quantum Toda Lattice",0.556605
"Yangians, Mirabolic Subalgebras, and Whittaker Vectors",Intertwining operators between subregular Whittaker modules for $\mathfrak{gl}_N$ and non-standard quantizations,0.732319
"Yangians, Mirabolic Subalgebras, and Whittaker Vectors",Orthogonal Howe duality and dynamical (split) symmetric pairs,0.539295
"Yangians, Mirabolic Subalgebras, and Whittaker Vectors","Shuffle Products, Degenerate Affine Hecke Algebras, and Quantum Toda Lattice",0.613459
Intertwining operators between subregular Whittaker modules for $\mathfrak{gl}_N$ and non-standard quantizations,Orthogonal Howe duality and dynamical (split) symmetric pairs,0.574728
Intertwining operators between subregular Whittaker modules for $\mathfrak{gl}_N$ and non-standard quantizations,"Shuffle Products, Degenerate Affine Hecke Algebras, and Quantum Toda Lattice",0.595362
Orthogonal Howe duality and dynamical (split) symmetric pairs,"Shuffle Products, Degenerate Affine Hecke Algebras, and Quantum Toda Lattice",0.563488
