title_i,title_j,cosine_similarity
Modeling the dynamics of cerebrovascular reactivity to carbon dioxide in fMRI under task and resting-state conditions,E‐Brachy: New dosimetry package for electronic brachytherapy sources,0.169324
Modeling the dynamics of cerebrovascular reactivity to carbon dioxide in fMRI under task and resting-state conditions,An Investigation of Carbon Dioxide Response Function Modelling in Functional Magnetic Resonance Imaging,0.878641
Modeling the dynamics of cerebrovascular reactivity to carbon dioxide in fMRI under task and resting-state conditions,Modeling the carbon-dioxide response function in fMRI under task and resting-state conditions,0.977017
Modeling the dynamics of cerebrovascular reactivity to carbon dioxide in fMRI under task and resting-state conditions,Investigation of inter‐source and intra‐source spectral variations in an electronic brachytherapy source using spectral measurements and Monte Carlo simulations,0.182044
E‐Brachy: New dosimetry package for electronic brachytherapy sources,An Investigation of Carbon Dioxide Response Function Modelling in Functional Magnetic Resonance Imaging,0.135058
E‐Brachy: New dosimetry package for electronic brachytherapy sources,Modeling the carbon-dioxide response function in fMRI under task and resting-state conditions,0.180055
E‐Brachy: New dosimetry package for electronic brachytherapy sources,Investigation of inter‐source and intra‐source spectral variations in an electronic brachytherapy source using spectral measurements and Monte Carlo simulations,0.741361
An Investigation of Carbon Dioxide Response Function Modelling in Functional Magnetic Resonance Imaging,Modeling the carbon-dioxide response function in fMRI under task and resting-state conditions,0.870868
An Investigation of Carbon Dioxide Response Function Modelling in Functional Magnetic Resonance Imaging,Investigation of inter‐source and intra‐source spectral variations in an electronic brachytherapy source using spectral measurements and Monte Carlo simulations,0.133639
Modeling the carbon-dioxide response function in fMRI under task and resting-state conditions,Investigation of inter‐source and intra‐source spectral variations in an electronic brachytherapy source using spectral measurements and Monte Carlo simulations,0.176573
