abstract_i,abstract_j,cosine_similarity
0,1,0.0797
0,2,0.066198
0,3,0.202065
0,4,0.462099
0,5,0.219487
0,6,0.13831
0,7,0.166939
0,8,0.079916
0,9,0.440057
0,10,0.382825
0,11,0.374239
0,12,0.179756
0,13,0.123814
0,14,0.042727
0,15,0.160046
0,16,0.076616
0,17,0.061348
0,18,0.052193
0,19,0.143263
0,20,0.073541
0,21,0.156146
0,22,0.138782
0,23,0.094417
0,24,0.117031
0,25,0.211633
0,26,0.116141
0,27,0.332242
0,28,0.339376
0,29,0.324998
0,30,0.1342
0,31,0.355705
0,32,0.208139
0,33,0.437401
0,34,0.09279
0,35,0.313608
0,36,0.416647
0,37,0.056733
0,38,0.230424
0,39,0.118682
0,40,0.160911
0,41,0.298077
0,42,0.176723
0,43,0.13626
0,44,0.191898
0,45,0.327443
0,46,0.256026
0,47,0.208089
0,48,0.356512
0,49,0.025289
0,50,0.276626
0,51,0.202879
0,52,0.314899
0,53,0.23258
0,54,0.390889
0,55,0.232342
0,56,0.261843
0,57,0.193262
0,58,0.396652
0,59,0.1446
0,60,0.146448
0,61,0.18994
0,62,0.262616
0,63,0.215251
0,64,0.014456
0,65,0.202042
0,66,0.139063
0,67,0.465659
0,68,0.123654
0,69,0.417645
0,70,0.297905
0,71,0.402885
0,72,0.154142
0,73,0.434996
0,74,0.053217
0,75,0.091585
0,76,0.350192
0,77,0.114456
0,78,0.372415
0,79,0.35135
0,80,0.168494
0,81,0.119552
0,82,0.341472
0,83,0.480815
0,84,0.317258
0,85,0.254837
0,86,0.224791
0,87,0.160314
0,88,0.417139
1,2,0.793499
1,3,0.422639
1,4,0.176127
1,5,0.049879
1,6,0.315416
1,7,0.429075
1,8,0.626059
1,9,0.167676
1,10,0.352431
1,11,0.285232
1,12,0.141688
1,13,0.318524
1,14,0.35914
1,15,0.195119
1,16,0.32521
1,17,0.754227
1,18,0.791687
1,19,0.375675
1,20,0.138404
1,21,0.349021
1,22,0.425863
1,23,0.356002
1,24,0.768291
1,25,0.343412
1,26,0.64551
1,27,0.38346
1,28,0.264582
1,29,0.170377
1,30,0.375178
1,31,0.278055
1,32,0.286403
1,33,0.309658
1,34,0.793678
1,35,0.181542
1,36,0.305813
1,37,0.399698
1,38,-0.080704
1,39,0.268295
1,40,0.391998
1,41,0.156672
1,42,0.273502
1,43,0.724254
1,44,0.299542
1,45,0.446698
1,46,0.358883
1,47,0.31079
1,48,0.191065
1,49,0.007957
1,50,0.146729
1,51,0.462124
1,52,0.278525
1,53,0.292456
1,54,0.345394
1,55,0.407792
1,56,0.144126
1,57,0.286478
1,58,0.282166
1,59,0.403023
1,60,0.158493
1,61,0.21524
1,62,0.175321
1,63,0.366198
1,64,0.690425
1,65,0.436303
1,66,0.383682
1,67,0.364383
1,68,0.340425
1,69,0.23028
1,70,0.189974
1,71,0.343995
1,72,0.444568
1,73,0.209108
1,74,0.758405
1,75,0.424178
1,76,0.155996
1,77,0.681357
1,78,0.316198
1,79,0.175529
