abstract_i,abstract_j,cosine_similarity
0,1,0.459446
0,2,0.341333
0,3,0.439835
0,4,0.386703
0,5,-0.048879
0,6,0.622886
0,7,0.524837
0,8,0.055463
0,9,0.666317
0,10,0.388587
0,11,0.401558
1,2,0.405742
1,3,0.395689
1,4,0.570469
1,5,-0.086256
1,6,0.57249
1,7,0.527499
1,8,0.043683
1,9,0.594132
1,10,0.479443
1,11,0.601755
2,3,0.626873
2,4,0.626768
2,5,0.020354
2,6,0.516831
2,7,0.639623
2,8,0.131398
2,9,0.531851
2,10,0.731373
2,11,0.686789
3,4,0.529858
3,5,0.025617
3,6,0.49898
3,7,0.556155
3,8,0.181611
3,9,0.648284
3,10,0.629731
3,11,0.574912
4,5,0.01156
4,6,0.49388
4,7,0.645796
4,8,0.094131
4,9,0.603817
4,10,0.594611
4,11,0.861408
5,6,-0.069947
5,7,-0.027238
5,8,0.375664
5,9,0.001276
5,10,-0.017651
5,11,0.016918
6,7,0.716764
6,8,0.041452
6,9,0.688817
6,10,0.602674
6,11,0.571145
7,8,0.101746
7,9,0.6106
7,10,0.653787
7,11,0.669125
8,9,0.063226
8,10,0.090963
8,11,0.101494
9,10,0.636713
9,11,0.603956
10,11,0.664524
