abstract_i,abstract_j,cosine_similarity
0,1,0.332192
0,2,0.320578
0,3,0.432159
0,4,0.497307
0,5,0.419329
0,6,0.283293
0,7,0.33364
0,8,0.335463
0,9,0.488237
0,10,0.373009
0,11,0.497388
0,12,-0.061251
0,13,0.287708
0,14,0.044441
0,15,0.666258
0,16,0.348771
0,17,0.54736
0,18,0.5166
0,19,0.533372
0,20,0.226121
0,21,0.535336
0,22,0.467177
0,23,0.829613
0,24,0.459162
0,25,0.577312
0,26,0.137392
0,27,0.238167
0,28,0.422903
0,29,0.52719
0,30,0.383386
0,31,0.201641
0,32,0.140439
0,33,0.494347
0,34,0.609327
0,35,0.540556
0,36,0.203617
0,37,0.274647
0,38,0.243583
0,39,0.802027
0,40,0.189782
0,41,0.215635
0,42,0.80665
0,43,0.069946
0,44,0.266513
0,45,0.606305
0,46,0.608718
0,47,0.511696
0,48,0.141435
0,49,0.533824
0,50,0.356594
0,51,0.328644
0,52,0.339699
0,53,0.60298
0,54,0.265569
0,55,0.14648
0,56,0.54979
0,57,0.347083
0,58,0.521208
0,59,0.307315
0,60,0.225232
0,61,0.408364
0,62,0.426763
0,63,0.832345
0,64,0.799241
0,65,0.07901
0,66,0.493215
0,67,0.505639
0,68,0.553099
0,69,0.448344
0,70,0.471564
0,71,0.436091
0,72,0.414523
0,73,0.368619
0,74,0.356837
0,75,0.364287
0,76,0.387619
0,77,0.591427
0,78,0.497764
0,79,0.286213
0,80,0.402278
0,81,0.323372
0,82,0.508138
0,83,0.470809
0,84,0.429954
0,85,0.591182
0,86,0.190876
0,87,0.506885
0,88,0.284845
0,89,0.206106
0,90,0.36843
0,91,0.307065
0,92,0.382575
0,93,0.113989
0,94,0.466655
0,95,0.733386
0,96,0.31089
0,97,0.268837
0,98,0.355937
0,99,0.71475
0,100,0.490009
0,101,0.466897
0,102,0.346714
0,103,0.149463
0,104,0.352848
0,105,0.403853
0,106,0.313657
0,107,0.256415
0,108,0.319346
0,109,0.268609
1,2,0.327567
1,3,0.296735
1,4,0.376063
1,5,0.172589
1,6,0.126847
1,7,0.191279
1,8,0.315705
1,9,0.279248
1,10,0.280221
1,11,0.315227
1,12,0.012856
1,13,0.205963
1,14,0.069436
1,15,0.299979
1,16,0.300378
1,17,0.260922
1,18,0.346605
1,19,0.176828
1,20,0.087381
1,21,0.201681
1,22,0.277972
1,23,0.348611
1,24,0.200101
1,25,0.282641
1,26,0.369093
1,27,0.30844
1,28,0.204266
1,29,0.199425
1,30,0.419195
1,31,0.062201
1,32,0.048837
1,33,0.285321
1,34,0.249904
1,35,0.188592
1,36,0.319401
1,37,0.208688
1,38,0.284098
1,39,0.252901
1,40,0.38358
1,41,0.260533
1,42,0.260511
1,43,0.012478
1,44,0.446576
1,45,0.265846
1,46,0.248503
1,47,0.325464
1,48,0.101504
1,49,0.232974
1,50,0.350838
1,51,0.282832
1,52,0.417229
1,53,0.262878
1,54,0.271806
1,55,0.056948
1,56,0.316779
1,57,0.5349
1,58,0.303867
1,59,0.277856
1,60,0.399568
1,61,0.230988
1,62,0.237265
1,63,0.266179
1,64,0.27005
1,65,-0.013066
1,66,0.222846
1,67,0.360781
1,68,0.18115
1,69,0.224596
1,70,0.28986
1,71,0.4287
1,72,0.306139
1,73,0.320896
1,74,0.174361
1,75,0.279027
1,76,0.303392
1,77,0.237024
1,78,0.645076
1,79,0.293708
1,80,0.139464
1,81,0.310751
1,82,0.293108
1,83,0.225491
1,84,0.160664
1,85,0.207088
1,86,0.247166
1,87,0.188503
1,88,0.478098
1,89,0.342544
1,90,0.20968
1,91,0.276565
1,92,0.5628
1,93,0.097126
1,94,0.297366
1,95,0.21845
1,96,0.271306
1,97,0.18513
1,98,0.476338
1,99,0.323014
1,100,0.32133
1,101,0.42276
1,102,0.530541
1,103,0.117739
1,104,0.192269
1,105,0.509575
1,106,0.369822
1,107,0.167807
1,108,0.18995
1,109,0.160102
2,3,0.26715
2,4,0.329044
2,5,0.268584
2,6,0.163342
2,7,0.532425
2,8,0.593228
2,9,0.392116
2,10,0.351934
2,11,0.310715
2,12,0.034364
2,13,0.612884
2,14,0.077919
2,15,0.39244
2,16,0.57836
2,17,0.391368
2,18,0.346022
2,19,0.302571
2,20,0.150429
2,21,0.318825
2,22,0.49256
2,23,0.366754
2,24,0.28306
2,25,0.405418
2,26,0.178883
2,27,0.258423
2,28,0.322713
2,29,0.360881
2,30,0.596977
2,31,0.096948
2,32,0.066233
2,33,0.390123
2,34,0.347578
2,35,0.310478
2,36,0.163008
2,37,0.122023
2,38,0.11923
2,39,0.395726
2,40,0.204222
2,41,0.53553
2,42,0.405259
2,43,0.131018
