abstract_i,abstract_j,cosine_similarity
0,1,-0.049812
0,2,0.212264
0,3,0.170822
0,4,0.215281
0,5,0.355992
0,6,0.269968
0,7,0.107285
0,8,0.497676
0,9,0.159854
0,10,0.2417
0,11,0.186298
0,12,0.254739
0,13,0.315966
0,14,0.191225
0,15,0.271656
0,16,-0.083066
0,17,0.258052
0,18,0.276156
0,19,0.105991
0,20,0.332365
0,21,0.109849
0,22,0.26513
0,23,0.795908
0,24,0.127938
0,25,-0.015238
0,26,-0.001513
0,27,-0.026512
0,28,0.362383
0,29,0.181554
0,30,0.192432
0,31,0.125741
0,32,-0.019281
0,33,0.181908
0,34,0.236551
0,35,0.268221
0,36,0.078756
0,37,0.175867
0,38,-0.014135
0,39,0.124688
0,40,0.170386
0,41,0.151373
0,42,0.133847
0,43,0.708104
0,44,0.235885
0,45,0.23359
0,46,0.060129
0,47,0.08301
0,48,0.222919
0,49,0.219955
0,50,0.174211
0,51,0.177968
0,52,0.119476
0,53,0.061075
1,2,0.141829
1,3,0.040977
1,4,0.341663
1,5,0.148804
1,6,0.214082
1,7,0.171188
1,8,0.042315
1,9,0.063626
1,10,0.227423
1,11,0.101282
1,12,0.218713
1,13,0.161944
1,14,0.434128
1,15,0.196097
1,16,0.696639
1,17,0.164699
1,18,0.289452
1,19,0.068843
1,20,-0.001865
1,21,0.33759
1,22,0.172519
1,23,-0.031086
1,24,0.019486
1,25,0.67998
1,26,0.667773
1,27,0.70855
1,28,0.266359
1,29,0.136689
1,30,0.266633
1,31,0.109754
1,32,0.682055
1,33,0.410654
1,34,0.253992
1,35,0.350272
1,36,0.594365
1,37,0.156077
1,38,0.760676
1,39,0.165503
1,40,0.044086
1,41,0.267863
1,42,0.07353
1,43,0.082164
1,44,0.152802
1,45,0.228705
1,46,-0.02062
1,47,0.210279
1,48,0.203995
1,49,0.040695
1,50,-0.034747
1,51,0.035648
1,52,0.078577
1,53,0.580403
2,3,0.721922
2,4,0.599145
2,5,0.438507
2,6,0.63609
2,7,0.636603
2,8,0.241019
2,9,0.556798
2,10,0.473062
2,11,0.466384
2,12,0.576685
2,13,0.380458
2,14,0.448059
2,15,0.385116
2,16,0.000894
2,17,0.440984
2,18,0.564077
2,19,0.518581
2,20,0.283939
2,21,0.167446
2,22,0.507895
2,23,0.219006
2,24,0.42348
2,25,0.106916
2,26,0.086449
2,27,0.073378
2,28,0.490113
2,29,0.801605
2,30,0.366501
2,31,0.639241
2,32,0.073467
2,33,0.458081
2,34,0.574759
2,35,0.415527
2,36,0.139637
2,37,0.377575
2,38,0.05454
2,39,0.374533
2,40,0.723862
2,41,0.547342
2,42,0.659966
2,43,0.361423
2,44,0.563745
2,45,0.410831
2,46,0.590852
2,47,0.389211
2,48,0.432303
2,49,0.488733
2,50,0.234344
2,51,0.6143
2,52,0.676891
2,53,0.085655
3,4,0.446476
3,5,0.412306
3,6,0.473622
3,7,0.443533
3,8,0.217482
3,9,0.547841
3,10,0.371874
3,11,0.414869
3,12,0.501741
3,13,0.293476
3,14,0.293432
3,15,0.283347
3,16,-0.080243
3,17,0.379747
3,18,0.425162
3,19,0.41763
3,20,0.231956
3,21,0.096663
3,22,0.458902
3,23,0.141215
3,24,0.324736
3,25,-0.017644
3,26,-0.00709
3,27,0.000666
3,28,0.412195
3,29,0.568954
3,30,0.315703
3,31,0.580713
3,32,-0.027251
3,33,0.341753
3,34,0.539471
3,35,0.294459
3,36,0.036645
3,37,0.237326
3,38,-0.008159
3,39,0.23592
3,40,0.998964
3,41,0.471115
3,42,0.70077
3,43,0.223255
3,44,0.395117
3,45,0.283253
3,46,0.733731
3,47,0.292835
3,48,0.31943
3,49,0.423899
3,50,0.224909
3,51,0.52737
3,52,0.735377
3,53,0.015623
4,5,0.452533
4,6,0.734096
4,7,0.649287
4,8,0.200275
4,9,0.553285
4,10,0.498802
4,11,0.442161
4,12,0.724045
4,13,0.47626
4,14,0.723984
4,15,0.474279
4,16,0.199566
4,17,0.541269
4,18,0.679533
4,19,0.505896
4,20,0.200784
4,21,0.374595
4,22,0.48748
4,23,0.214916
4,24,0.412079
4,25,0.316241
4,26,0.239303
4,27,0.255941
4,28,0.616718
4,29,0.574743
4,30,0.428274
4,31,0.52462
4,32,0.252166
4,33,0.676015
4,34,0.531108
4,35,0.578757
4,36,0.340268
4,37,0.369974
4,38,0.225363
4,39,0.416897
4,40,0.454236
4,41,0.620451
4,42,0.532194
4,43,0.313866
4,44,0.631373
4,45,0.518653
4,46,0.271482
4,47,0.39757
4,48,0.544201
4,49,0.490442
4,50,0.159478
4,51,0.474727
4,52,0.452935
4,53,0.259241
5,6,0.646218
5,7,0.402585
5,8,0.196026
5,9,0.38489
5,10,0.6947
5,11,0.258453
5,12,0.475544
5,13,0.462973
5,14,0.379686
5,15,0.451668
5,16,0.042052
5,17,0.678166
5,18,0.544346
5,19,0.289888
5,20,0.260394
5,21,0.323292
5,22,0.485935
5,23,0.368532
5,24,0.323082
5,25,0.103357
5,26,0.131095
5,27,0.094066
5,28,0.54163
5,29,0.364494
5,30,0.414634
5,31,0.486673
5,32,0.120072
5,33,0.440777
5,34,0.571364
5,35,0.483314
5,36,0.1841
5,37,0.204811
5,38,0.090523
5,39,0.3013
5,40,0.417306
5,41,0.449804
5,42,0.344661
5,43,0.324824
5,44,0.567131
5,45,0.403757
5,46,0.255025
5,47,0.218655
5,48,0.421107
5,49,0.266387
5,50,0.177304
5,51,0.308529
5,52,0.267072
5,53,0.188482
6,7,0.642285
6,8,0.250509
6,9,0.513991
6,10,0.603934
6,11,0.442555
6,12,0.687861
6,13,0.551556
6,14,0.527362
6,15,0.592649
6,16,0.10967
6,17,0.648513
6,18,0.710636
6,19,0.505925
6,20,0.238611
6,21,0.320409
6,22,0.62041
6,23,0.298548
6,24,0.43213
6,25,0.247588
6,26,0.201497
6,27,0.181043
6,28,0.640868
6,29,0.617174
6,30,0.519992
6,31,0.607332
6,32,0.191118
6,33,0.584272
6,34,0.61538
6,35,0.629615
6,36,0.284355
6,37,0.3927
6,38,0.126273
6,39,0.466941
6,40,0.480862
6,41,0.615954
6,42,0.572483
6,43,0.393478
6,44,0.742193
6,45,0.530078
6,46,0.304649
6,47,0.424628
6,48,0.5532
6,49,0.451808
6,50,0.200497
6,51,0.503644
6,52,0.454669
6,53,0.227504
7,8,0.136985
7,9,0.647341
7,10,0.426958
7,11,0.508757
7,12,0.661922
7,13,0.423686
7,14,0.435081
7,15,0.390657
7,16,0.045864
7,17,0.46465
7,18,0.548237
7,19,0.560178
7,20,0.147045
7,21,0.236907
7,22,0.43835
7,23,0.143398
7,24,0.484114
7,25,0.178828
7,26,0.16589
7,27,0.157736
7,28,0.472185
7,29,0.631276
7,30,0.337922
7,31,0.618913
7,32,0.135663
7,33,0.477274
7,34,0.513688
7,35,0.422894
7,36,0.220312
7,37,0.332517
7,38,0.099857
7,39,0.354662
7,40,0.449388
7,41,0.620182
7,42,0.618157
7,43,0.258905
7,44,0.6394
7,45,0.391517
7,46,0.353371
7,47,0.334526
7,48,0.401646
7,49,0.618417
7,50,0.195455
7,51,0.556065
7,52,0.507945
7,53,0.18678
8,9,0.172841
8,10,0.118774
8,11,0.14323
8,12,0.234237
8,13,0.259833
8,14,0.250278
8,15,0.258309
8,16,0.048398
8,17,0.156472
8,18,0.337584
8,19,0.156496
8,20,0.371615
8,21,0.09115
8,22,0.325107
8,23,0.34574
8,24,0.177594
8,25,0.060063
8,26,0.074798
8,27,0.066396
8,28,0.389343
8,29,0.215561
8,30,0.246864
8,31,0.169307
8,32,0.130162
8,33,0.224051
8,34,0.295395
8,35,0.350941
8,36,0.077048
8,37,0.231388
8,38,0.05121
8,39,0.186979
8,40,0.216868
8,41,0.132417
8,42,0.165732
8,43,0.549478
8,44,0.223941
8,45,0.22437
8,46,0.110419
8,47,0.277091
8,48,0.254661
8,49,0.210533
8,50,0.082449
8,51,0.162548
8,52,0.211854
8,53,0.153372
9,10,0.374572
9,11,0.579323
9,12,0.682335
9,13,0.373856
9,14,0.379785
9,15,0.344533
9,16,0.021994
9,17,0.37343
9,18,0.451137
9,19,0.574897
9,20,0.083679
9,21,0.131927
9,22,0.346324
9,23,0.199368
9,24,0.384802
9,25,0.087635
9,26,0.041926
9,27,0.12057
9,28,0.385471
9,29,0.546686
9,30,0.204272
9,31,0.646095
9,32,0.067854
9,33,0.406524
9,34,0.408718
9,35,0.370732
9,36,0.055283
9,37,0.251282
9,38,0.051359
9,39,0.344467
9,40,0.553214
9,41,0.490472
9,42,0.643976
9,43,0.235912
9,44,0.507858
9,45,0.375187
9,46,0.390104
9,47,0.262313
9,48,0.378591
9,49,0.638894
9,50,0.191096
9,51,0.404295
9,52,0.505111
9,53,0.126796
10,11,0.284957
10,12,0.555807
10,13,0.359135
10,14,0.449484
10,15,0.443125
10,16,0.056622
10,17,0.611444
10,18,0.503023
10,19,0.223869
10,20,0.22353
10,21,0.439917
10,22,0.488295
10,23,0.184954
10,24,0.39435
10,25,0.204084
10,26,0.202994
10,27,0.112092
10,28,0.45337
10,29,0.431865
10,30,0.41531
10,31,0.458976
10,32,0.143279
10,33,0.503531
10,34,0.550165
10,35,0.450147
10,36,0.255193
10,37,0.18618
10,38,0.14554
10,39,0.275475
10,40,0.382053
10,41,0.502965
10,42,0.409519
10,43,0.255344
10,44,0.559677
10,45,0.335951
10,46,0.185302
10,47,0.258019
10,48,0.36531
10,49,0.319142
10,50,0.112686
10,51,0.272206
10,52,0.309888
10,53,0.180921
11,12,0.540807
11,13,0.295354
11,14,0.298412
11,15,0.421503
11,16,0.016169
11,17,0.374779
11,18,0.310961
11,19,0.467855
11,20,0.08553
11,21,0.095156
11,22,0.244245
11,23,0.209674
11,24,0.340888
11,25,0.064987
11,26,0.018111
11,27,0.151296
11,28,0.283491
11,29,0.530962
11,30,0.172913
11,31,0.464968
11,32,0.043135
11,33,0.341757
11,34,0.272616
11,35,0.234176
11,36,0.042713
11,37,0.243345
11,38,0.076459
11,39,0.331283
11,40,0.424055
11,41,0.403814
11,42,0.524446
11,43,0.161729
11,44,0.417666
11,45,0.251531
11,46,0.259906
11,47,0.285357
11,48,0.262416
11,49,0.528585
11,50,0.223965
