title_i,title_j,cosine_similarity
Electron microscopy characterization of king scallop (Pecten maximus) shells from low-voltage SEM to 3D-EBSD reconstruction,Investigating temperature influences on shell growth and microstructural variations in bay scallops: insights from multiscale microscopy,0.701355
Electron microscopy characterization of king scallop (Pecten maximus) shells from low-voltage SEM to 3D-EBSD reconstruction,Interfaces at the micron scale: general discussion,0.10937
Electron microscopy characterization of king scallop (Pecten maximus) shells from low-voltage SEM to 3D-EBSD reconstruction,Connecting length scales: general discussion,0.454748
Electron microscopy characterization of king scallop (Pecten maximus) shells from low-voltage SEM to 3D-EBSD reconstruction,Interfaces at the nano scale: general discussion,0.296708
Investigating temperature influences on shell growth and microstructural variations in bay scallops: insights from multiscale microscopy,Interfaces at the micron scale: general discussion,0.09033
Investigating temperature influences on shell growth and microstructural variations in bay scallops: insights from multiscale microscopy,Connecting length scales: general discussion,0.294482
Investigating temperature influences on shell growth and microstructural variations in bay scallops: insights from multiscale microscopy,Interfaces at the nano scale: general discussion,0.143052
Interfaces at the micron scale: general discussion,Connecting length scales: general discussion,0.262713
Interfaces at the micron scale: general discussion,Interfaces at the nano scale: general discussion,0.243457
Connecting length scales: general discussion,Interfaces at the nano scale: general discussion,0.330501
