abstract_i,abstract_j,cosine_similarity
0,1,0.293049
0,2,0.281796
0,3,0.213171
0,4,0.150414
0,5,0.072276
0,6,0.151165
0,7,0.513901
0,8,0.337665
0,9,0.217838
0,10,0.249389
0,11,0.091922
0,12,0.268304
0,13,0.222218
0,14,0.216014
0,15,0.237911
0,16,0.243193
0,17,0.464157
0,18,0.627295
0,19,0.205721
0,20,0.479831
0,21,-0.022921
1,2,0.467703
1,3,0.389071
1,4,0.351799
1,5,0.151901
1,6,0.341509
1,7,0.452359
1,8,0.39168
1,9,0.290957
1,10,0.402196
1,11,0.289632
1,12,0.824335
1,13,0.285095
1,14,0.435535
1,15,0.786017
1,16,0.2654
1,17,0.222816
1,18,0.387347
1,19,0.383627
1,20,0.435088
1,21,0.175153
2,3,0.353596
2,4,0.627384
2,5,0.217322
2,6,0.604459
2,7,0.272449
2,8,0.408915
2,9,0.460078
2,10,0.421031
2,11,0.296296
2,12,0.413496
2,13,0.279441
2,14,0.393091
2,15,0.518646
2,16,0.230011
2,17,0.247605
2,18,0.243743
2,19,0.34716
2,20,0.254928
2,21,0.041817
3,4,0.352408
3,5,-0.002351
3,6,0.246865
3,7,0.286741
3,8,0.39649
3,9,0.196471
3,10,0.401576
3,11,0.423498
3,12,0.409746
3,13,0.324193
3,14,0.348101
3,15,0.341743
3,16,0.157845
3,17,0.208464
3,18,0.212677
3,19,0.998642
3,20,0.141539
3,21,0.015493
4,5,0.159837
4,6,0.698553
4,7,0.183909
4,8,0.264843
4,9,0.601441
4,10,0.274106
4,11,0.291341
4,12,0.284633
4,13,0.132132
4,14,0.323342
4,15,0.339626
4,16,0.146577
4,17,0.152678
4,18,0.123363
4,19,0.347184
4,20,0.188018
4,21,0.14992
5,6,0.184277
5,7,-0.00296
5,8,0.07539
5,9,0.15473
5,10,0.066666
5,11,0.001137
5,12,0.126327
5,13,0.05065
5,14,0.088574
5,15,0.125526
5,16,0.035195
5,17,0.055719
5,18,0.058713
5,19,-0.002012
5,20,0.087293
5,21,0.116031
6,7,0.151934
6,8,0.221941
6,9,0.568262
6,10,0.230007
6,11,0.186507
6,12,0.226979
6,13,0.039815
6,14,0.250453
6,15,0.326131
6,16,0.134595
6,17,0.085563
6,18,0.17003
6,19,0.246333
6,20,0.190597
6,21,0.194942
7,8,0.399322
7,9,0.250666
7,10,0.3749
7,11,0.180468
7,12,0.423676
7,13,0.183247
7,14,0.379173
7,15,0.357623
7,16,0.328949
7,17,0.489523
7,18,0.702515
7,19,0.2812
7,20,0.600935
7,21,0.033349
8,9,0.152253
8,10,0.753496
8,11,0.292146
8,12,0.38179
8,13,0.382853
8,14,0.600501
8,15,0.365532
8,16,0.495084
8,17,0.416679
8,18,0.357565
8,19,0.387421
8,20,0.343153
8,21,-0.016633
9,10,0.158064
9,11,0.153171
9,12,0.217631
9,13,0.039875
9,14,0.211168
9,15,0.321328
9,16,0.077706
9,17,0.092308
9,18,0.253394
9,19,0.195763
9,20,0.294949
9,21,0.179997
10,11,0.388171
10,12,0.421071
10,13,0.378724
10,14,0.633433
10,15,0.425299
10,16,0.345083
10,17,0.256889
10,18,0.275984
10,19,0.397204
10,20,0.291709
10,21,-0.000649
11,12,0.300043
11,13,0.277748
11,14,0.288797
11,15,0.383044
11,16,0.023748
11,17,0.133656
11,18,0.045668
11,19,0.419835
11,20,0.088552
11,21,-0.012718
12,13,0.298903
12,14,0.455158
12,15,0.725267
12,16,0.232025
12,17,0.231533
12,18,0.362013
12,19,0.405092
12,20,0.372537
12,21,0.139142
13,14,0.298699
13,15,0.265394
13,16,0.328761
13,17,0.318758
13,18,0.219608
13,19,0.312804
13,20,0.159862
13,21,-0.033076
14,15,0.443056
14,16,0.341643
14,17,0.228313
14,18,0.300924
14,19,0.343563
14,20,0.364048
14,21,0.114145
15,16,0.223331
15,17,0.185273
15,18,0.289616
15,19,0.333837
15,20,0.371357
15,21,0.111598
16,17,0.427414
16,18,0.354649
16,19,0.145713
16,20,0.290852
16,21,0.00551
17,18,0.43795
17,19,0.200065
17,20,0.31954
17,21,-0.039366
18,19,0.208448
18,20,0.669096
18,21,0.074333
19,20,0.134098
19,21,0.021673
20,21,0.21506
