abstract_i,abstract_j,cosine_similarity
0,1,-0.114248
0,2,-0.044055
0,3,-0.082309
0,4,-0.05751
0,5,0.66428
0,6,-0.02414
0,7,-0.047557
0,8,0.535597
0,9,-0.103064
0,10,0.724363
0,11,-0.038682
0,12,-0.102418
0,13,-0.116767
0,14,-0.067886
0,15,-0.053414
0,16,-0.105656
0,17,-0.008479
0,18,0.079652
0,19,-0.102735
0,20,-0.05099
0,21,-0.063865
0,22,-0.127933
0,23,-0.144629
0,24,-0.069037
0,25,0.021226
0,26,0.048005
0,27,-0.012999
0,28,-0.042815
0,29,0.00801
0,30,-0.062721
0,31,-0.105388
0,32,-0.139522
0,33,0.722988
0,34,-0.089666
0,35,-0.046728
0,36,-0.112813
0,37,0.019065
0,38,-0.133745
0,39,-0.024063
0,40,-0.070958
0,41,-0.037142
0,42,-0.107257
0,43,0.873827
0,44,-0.16829
0,45,-0.135689
0,46,-0.078209
0,47,-0.046266
0,48,0.061007
0,49,0.047804
0,50,0.600242
0,51,-0.05573
0,52,0.242056
0,53,-0.119013
0,54,-0.056611
0,55,-0.048079
0,56,0.727312
0,57,-0.093356
0,58,0.119374
0,59,-0.099794
0,60,-0.042632
0,61,-0.107893
0,62,-0.118876
0,63,-0.075768
0,64,-0.069565
0,65,0.061979
0,66,-0.127552
0,67,-0.103744
0,68,-0.064477
0,69,0.063161
0,70,-0.110869
0,71,-0.158806
0,72,-0.031891
0,73,-0.081917
0,74,0.025393
0,75,0.518083
0,76,-0.004319
0,77,-0.128343
0,78,-0.006812
0,79,-0.008565
0,80,-0.113563
0,81,-0.030673
0,82,-0.051251
0,83,-0.046849
0,84,0.046686
0,85,-0.127241
0,86,0.854284
0,87,-0.072455
0,88,-0.052639
1,2,0.025349
1,3,0.017882
1,4,-0.105569
1,5,-0.125722
1,6,0.297015
1,7,0.570322
1,8,0.024979
1,9,0.242592
1,10,-0.056381
1,11,0.229995
1,12,0.11223
1,13,0.651067
1,14,0.187304
1,15,0.120684
1,16,0.171992
1,17,0.274578
1,18,0.184204
1,19,0.369176
1,20,0.331734
1,21,0.001064
1,22,0.180751
1,23,0.113405
1,24,0.428272
1,25,0.165121
1,26,0.280396
1,27,0.237399
1,28,0.279739
1,29,0.456747
1,30,0.532759
1,31,0.320071
1,32,0.172052
1,33,-0.054792
1,34,0.297642
1,35,0.128741
1,36,0.137385
1,37,0.158112
1,38,0.198592
1,39,0.250309
1,40,0.239795
1,41,0.239883
1,42,0.095237
1,43,-0.109821
1,44,0.253781
1,45,0.151473
1,46,0.265972
1,47,0.344201
1,48,0.046537
1,49,0.216375
1,50,-0.017013
1,51,0.70531
1,52,0.000186
1,53,0.342157
1,54,0.029216
1,55,0.22211
1,56,-0.073663
1,57,0.163935
1,58,0.604222
1,59,0.332395
1,60,0.131363
1,61,0.4018
1,62,0.056375
1,63,0.074916
1,64,0.209053
1,65,0.100151
1,66,0.141083
1,67,0.37413
1,68,0.394492
1,69,-0.054352
1,70,0.392742
1,71,-0.007622
1,72,0.216094
1,73,0.427686
1,74,0.205228
1,75,0.024566
1,76,0.000842
1,77,0.057874
1,78,0.344354
1,79,-0.037539
1,80,0.441987
1,81,0.006905
1,82,0.139309
1,83,0.165882
1,84,0.136518
1,85,0.310083
1,86,-0.119668
1,87,0.294303
1,88,0.258209
2,3,-0.020561
2,4,-0.007356
2,5,-0.124453
2,6,0.042468
2,7,-0.066805
2,8,-0.042615
2,9,0.031944
2,10,-0.049309
2,11,0.014236
2,12,0.001034
2,13,-0.018703
2,14,-0.061793
2,15,0.2744
2,16,-0.063441
2,17,-0.018846
2,18,-0.134551
2,19,-0.011278
2,20,-0.046614
2,21,-0.049274
2,22,-0.077973
2,23,0.001277
2,24,-0.03303
2,25,-0.045301
2,26,-0.039559
2,27,-0.090613
2,28,-0.048318
2,29,-0.138487
2,30,-0.071489
2,31,-0.010577
2,32,-0.095295
2,33,-0.043393
2,34,-0.082161
2,35,-0.007028
2,36,-0.069707
2,37,-0.118439
2,38,-0.051043
2,39,-0.042275
2,40,-0.110205
2,41,-0.132388
2,42,-0.100368
2,43,-0.067338
2,44,0.003757
2,45,-0.08398
2,46,-0.031963
2,47,-0.100816
2,48,0.402728
2,49,-0.079535
2,50,-0.031966
2,51,0.006919
2,52,0.006275
2,53,-0.025054
2,54,0.027519
2,55,-0.118377
2,56,-0.068777
2,57,0.028978
2,58,-0.049153
2,59,-0.113999
2,60,-0.074286
2,61,-0.067258
2,62,0.125084
2,63,0.148237
2,64,-0.043387
2,65,-0.042899
2,66,-0.001585
2,67,-0.078782
2,68,-0.038688
2,69,-0.007585
2,70,0.08833
2,71,0.187238
2,72,-0.067844
2,73,-0.096706
2,74,-0.083211
2,75,-0.032674
2,76,0.076318
2,77,0.500107
2,78,-0.051766
2,79,0.04517
2,80,-0.039429
2,81,-0.086543
2,82,-0.037473
2,83,0.002293
2,84,-0.007755
2,85,-0.008561
2,86,-0.07052
2,87,-0.009771
2,88,-0.040175
3,4,0.023961
3,5,-0.014346
3,6,-0.006174
3,7,0.220565
3,8,-0.048464
3,9,-0.040633
3,10,-0.089682
3,11,-0.099592
3,12,0.328538
3,13,0.012254
3,14,0.049227
3,15,-0.023867
3,16,-0.037008
3,17,-0.112014
3,18,-0.041032
3,19,0.152964
3,20,0.181716
3,21,0.792966
3,22,-0.107223
3,23,0.357994
3,24,0.162814
3,25,-0.082603
3,26,-0.023859
3,27,-0.038079
3,28,-0.129891
3,29,0.133756
3,30,0.045886
3,31,-0.059874
3,32,-0.060187
3,33,-0.058219
3,34,0.036826
3,35,0.313876
3,36,-0.046488
3,37,-0.09292
3,38,0.312559
3,39,-0.065011
3,40,-0.051839
3,41,-0.040967
3,42,-0.02757
3,43,-0.085767
3,44,-0.045191
3,45,-0.024477
3,46,-0.090064
3,47,-0.000305
3,48,-0.028538
3,49,-0.08072
3,50,-0.026518
3,51,0.025429
3,52,-0.016474
3,53,0.098314
3,54,0.117331
3,55,-0.107305
3,56,-0.071429
3,57,0.285962
3,58,-0.003089
3,59,-0.037652
3,60,-0.071703
3,61,0.007272
3,62,0.07437
3,63,0.05742
3,64,-0.102242
3,65,-0.053493
3,66,-0.05937
3,67,-0.02319
3,68,0.02064
3,69,-0.01962
3,70,0.060443
3,71,0.022714
3,72,-0.086813
3,73,0.18353
3,74,-0.090427
3,75,-0.055247
3,76,0.049399
3,77,0.001705
3,78,-0.106291
3,79,-0.001849
3,80,0.006813
3,81,0.042972
3,82,-0.117206
3,83,-0.085298
3,84,-0.050369
3,85,-0.02125
3,86,-0.063747
3,87,0.152034
3,88,-0.054894
4,5,-0.021883
4,6,-0.050905
4,7,-0.09196
4,8,0.000789
4,9,0.013838
4,10,-0.039022
4,11,0.014035
4,12,0.173948
4,13,-0.152318
4,14,-0.034907
4,15,-0.036789
4,16,-0.000633
4,17,-0.027864
4,18,-0.069973
4,19,-0.038777
4,20,0.053703
4,21,-0.017961
4,22,-0.012802
4,23,0.151449
4,24,0.031065
4,25,-0.002299
4,26,-0.057994
4,27,-0.069212
4,28,-0.076485
4,29,-0.022843
4,30,-0.092688
4,31,0.005367
4,32,0.016874
4,33,0.00686
4,34,0.021043
4,35,0.232312
4,36,0.00459
4,37,-0.03662
4,38,0.099251
4,39,-0.029814
4,40,-0.080414
4,41,-0.072112
4,42,-0.038149
4,43,-0.01813
4,44,-0.050976
4,45,-0.01777
4,46,0.012072
4,47,-0.079433
4,48,0.113798
4,49,-0.049783
