title_i,title_j,cosine_similarity
Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",0.697181
Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,0.98987
Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,Wheeler-De Witt equation and the Canonical Construction of the Glauber-Sudarshan States in Quantum Gravity,0.640656
Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,de Sitter Excited State in Heterotic E_8 x E_8 Theory,0.537381
Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,de Sitter Excited State in Heterotic E8×E8${\rm E}_8 \times {\rm E}_8$ Theory,0.53914
Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,Transient de Sitter and Quasi de Sitter States in SO(32) and E_8 x E_8 Heterotic String Theories,0.771883
"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,0.704571
"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",Wheeler-De Witt equation and the Canonical Construction of the Glauber-Sudarshan States in Quantum Gravity,0.716957
"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",de Sitter Excited State in Heterotic E_8 x E_8 Theory,0.518806
"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",de Sitter Excited State in Heterotic E8×E8${\rm E}_8 \times {\rm E}_8$ Theory,0.512069
"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",Transient de Sitter and Quasi de Sitter States in SO(32) and E_8 x E_8 Heterotic String Theories,0.642079
Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,Wheeler-De Witt equation and the Canonical Construction of the Glauber-Sudarshan States in Quantum Gravity,0.659628
Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,de Sitter Excited State in Heterotic E_8 x E_8 Theory,0.546002
Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,de Sitter Excited State in Heterotic E8×E8${\rm E}_8 \times {\rm E}_8$ Theory,0.535515
Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,Transient de Sitter and Quasi de Sitter States in SO(32) and E_8 x E_8 Heterotic String Theories,0.773962
Wheeler-De Witt equation and the Canonical Construction of the Glauber-Sudarshan States in Quantum Gravity,de Sitter Excited State in Heterotic E_8 x E_8 Theory,0.447157
Wheeler-De Witt equation and the Canonical Construction of the Glauber-Sudarshan States in Quantum Gravity,de Sitter Excited State in Heterotic E8×E8${\rm E}_8 \times {\rm E}_8$ Theory,0.435302
Wheeler-De Witt equation and the Canonical Construction of the Glauber-Sudarshan States in Quantum Gravity,Transient de Sitter and Quasi de Sitter States in SO(32) and E_8 x E_8 Heterotic String Theories,0.593232
de Sitter Excited State in Heterotic E_8 x E_8 Theory,de Sitter Excited State in Heterotic E8×E8${\rm E}_8 \times {\rm E}_8$ Theory,0.938406
de Sitter Excited State in Heterotic E_8 x E_8 Theory,Transient de Sitter and Quasi de Sitter States in SO(32) and E_8 x E_8 Heterotic String Theories,0.692675
de Sitter Excited State in Heterotic E8×E8${\rm E}_8 \times {\rm E}_8$ Theory,Transient de Sitter and Quasi de Sitter States in SO(32) and E_8 x E_8 Heterotic String Theories,0.650332
