title_i,title_j,cosine_similarity
Rigorous bounds on light-by-light scattering,Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,0.314171
Rigorous bounds on light-by-light scattering,Narain CFTs and quantum codes at higher genus,0.420435
Rigorous bounds on light-by-light scattering,Classical codes and chiral CFTs at higher genus,0.351919
Rigorous bounds on light-by-light scattering,Positivity bounds on massive vectors,0.668858
Rigorous bounds on light-by-light scattering,NUT charge weak gravity conjecture from dimensional reduction,0.392021
Rigorous bounds on light-by-light scattering,Higher-derivative corrections to black hole entropy at zero temperature,0.353346
Rigorous bounds on light-by-light scattering,Analytic bootstrap of mixed correlators in the O(n) CFT,0.430216
Rigorous bounds on light-by-light scattering,Averaging over codes and an SU(2) modular bootstrap,0.464717
Rigorous bounds on light-by-light scattering,Electric shocks: bounding Einstein-Maxwell theory with time delays on boosted RN backgrounds,0.449645
Rigorous bounds on light-by-light scattering,Causality bounds from charged shockwaves in 5d,0.551472
Rigorous bounds on light-by-light scattering,"Is it possible to embed a 4D, $ \mathcal{N} $ = 4 supersymmetric vector multiplet within a completely off-shell adinkra hologram?",0.411628
Rigorous bounds on light-by-light scattering,Interplay of the sign problem and the infinite volume limit: Gauge theories with a theta term,0.41937
Rigorous bounds on light-by-light scattering,Bounding violations of the weak gravity conjecture,0.631026
Rigorous bounds on light-by-light scattering,The Entropy Shift and Extremality Shift at Zero Temperature,0.366539
Rigorous bounds on light-by-light scattering,The Weyl Anomaly from the 6D Superconformal Index,0.371034
Rigorous bounds on light-by-light scattering,Averaging over codes and an $SU(2)$ modular bootstrap,0.458681
Rigorous bounds on light-by-light scattering,Bootstrapping time-evolution in quantum mechanics,0.34963
Rigorous bounds on light-by-light scattering,"Nucleon-antinucleon annihilation at large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mi>N</mml:mi><mml:mi>c</mml:mi></mml:msub></mml:math>",0.357912
Rigorous bounds on light-by-light scattering,"Is It Possible To Embed A 4D, N = 4 Supersymmetric Vector Multiplet",0.062394
Rigorous bounds on light-by-light scattering,"Holography, Supergravity, and the Weak Gravity Conjecture",0.405451
Rigorous bounds on light-by-light scattering,Repulsive black holes and higher-derivatives,0.316299
Rigorous bounds on light-by-light scattering,Analytic bootstrap of mixed correlators in the $\boldsymbol{O(n)}$ CFT,0.429456
Rigorous bounds on light-by-light scattering,Adding subtractions: Comparing the impact of different Regge behaviors,0.750605
Rigorous bounds on light-by-light scattering,Bootstrapping supersymmetric (matrix) quantum mechanics,0.459314
Rigorous bounds on light-by-light scattering,Holographic duality from Howe duality: Chern-Simons gravity as an ensemble of code CFTs,0.344424
Rigorous bounds on light-by-light scattering,Quantum bootstrap for central potentials,0.465266
Rigorous bounds on light-by-light scattering,Report on 2310.06888v1,0.710404
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Narain CFTs and quantum codes at higher genus,0.326028
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Classical codes and chiral CFTs at higher genus,0.319043
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Positivity bounds on massive vectors,0.350363
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,NUT charge weak gravity conjecture from dimensional reduction,0.618024
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Higher-derivative corrections to black hole entropy at zero temperature,0.749872
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Analytic bootstrap of mixed correlators in the O(n) CFT,0.340394
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Averaging over codes and an SU(2) modular bootstrap,0.365339
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Electric shocks: bounding Einstein-Maxwell theory with time delays on boosted RN backgrounds,0.473302
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Causality bounds from charged shockwaves in 5d,0.536426
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,"Is it possible to embed a 4D, $ \mathcal{N} $ = 4 supersymmetric vector multiplet within a completely off-shell adinkra hologram?",0.250796
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Interplay of the sign problem and the infinite volume limit: Gauge theories with a theta term,0.455576
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Bounding violations of the weak gravity conjecture,0.613803
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,The Entropy Shift and Extremality Shift at Zero Temperature,0.754388
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,The Weyl Anomaly from the 6D Superconformal Index,0.396574
