title_i,title_j,cosine_similarity
Sol-gel integrated optical coupler byultraviolet light imprinting,Room temperature spectral hole burning and elimination of photodarkening in sol-gel derived CdS quantum dots,0.371571
Sol-gel integrated optical coupler byultraviolet light imprinting,Gratings fabrication by ultraviolet light imprinting and embossing in a sol-gel silica glass,0.527053
Sol-gel integrated optical coupler byultraviolet light imprinting,&lt;title&gt;Integrated optics devices by ultraviolet light imprinting in sol-gel silica glass&lt;/title&gt;,0.851545
Sol-gel integrated optical coupler byultraviolet light imprinting,Er-doped sol-gel glasses for integrated optics,0.520601
Sol-gel integrated optical coupler byultraviolet light imprinting,Ultraviolet-light-imprinted sol-gel silica glass channel waveguides on silicon,0.668335
Sol-gel integrated optical coupler byultraviolet light imprinting,&lt;title&gt;Gain characteristics of a high-concentration Er&lt;formula&gt;&lt;sup&gt;&lt;roman&gt;3+&lt;/roman&gt;&lt;/sup&gt;&lt;/formula&gt; doped phosphate glass waveguide&lt;/title&gt;,0.399647
Sol-gel integrated optical coupler byultraviolet light imprinting,&lt;title&gt;Minimizing losses in silver ion-exchanged waveguides using a double ion-exchange process&lt;/title&gt;,0.425616
Room temperature spectral hole burning and elimination of photodarkening in sol-gel derived CdS quantum dots,Gratings fabrication by ultraviolet light imprinting and embossing in a sol-gel silica glass,0.336045
Room temperature spectral hole burning and elimination of photodarkening in sol-gel derived CdS quantum dots,&lt;title&gt;Integrated optics devices by ultraviolet light imprinting in sol-gel silica glass&lt;/title&gt;,0.424571
Room temperature spectral hole burning and elimination of photodarkening in sol-gel derived CdS quantum dots,Er-doped sol-gel glasses for integrated optics,0.446473
Room temperature spectral hole burning and elimination of photodarkening in sol-gel derived CdS quantum dots,Ultraviolet-light-imprinted sol-gel silica glass channel waveguides on silicon,0.337429
Room temperature spectral hole burning and elimination of photodarkening in sol-gel derived CdS quantum dots,&lt;title&gt;Gain characteristics of a high-concentration Er&lt;formula&gt;&lt;sup&gt;&lt;roman&gt;3+&lt;/roman&gt;&lt;/sup&gt;&lt;/formula&gt; doped phosphate glass waveguide&lt;/title&gt;,0.377293
Room temperature spectral hole burning and elimination of photodarkening in sol-gel derived CdS quantum dots,&lt;title&gt;Minimizing losses in silver ion-exchanged waveguides using a double ion-exchange process&lt;/title&gt;,0.197839
Gratings fabrication by ultraviolet light imprinting and embossing in a sol-gel silica glass,&lt;title&gt;Integrated optics devices by ultraviolet light imprinting in sol-gel silica glass&lt;/title&gt;,0.615598
Gratings fabrication by ultraviolet light imprinting and embossing in a sol-gel silica glass,Er-doped sol-gel glasses for integrated optics,0.414478
Gratings fabrication by ultraviolet light imprinting and embossing in a sol-gel silica glass,Ultraviolet-light-imprinted sol-gel silica glass channel waveguides on silicon,0.663659
Gratings fabrication by ultraviolet light imprinting and embossing in a sol-gel silica glass,&lt;title&gt;Gain characteristics of a high-concentration Er&lt;formula&gt;&lt;sup&gt;&lt;roman&gt;3+&lt;/roman&gt;&lt;/sup&gt;&lt;/formula&gt; doped phosphate glass waveguide&lt;/title&gt;,0.379806
Gratings fabrication by ultraviolet light imprinting and embossing in a sol-gel silica glass,&lt;title&gt;Minimizing losses in silver ion-exchanged waveguides using a double ion-exchange process&lt;/title&gt;,0.327534
&lt;title&gt;Integrated optics devices by ultraviolet light imprinting in sol-gel silica glass&lt;/title&gt;,Er-doped sol-gel glasses for integrated optics,0.611065
&lt;title&gt;Integrated optics devices by ultraviolet light imprinting in sol-gel silica glass&lt;/title&gt;,Ultraviolet-light-imprinted sol-gel silica glass channel waveguides on silicon,0.738712
&lt;title&gt;Integrated optics devices by ultraviolet light imprinting in sol-gel silica glass&lt;/title&gt;,&lt;title&gt;Gain characteristics of a high-concentration Er&lt;formula&gt;&lt;sup&gt;&lt;roman&gt;3+&lt;/roman&gt;&lt;/sup&gt;&lt;/formula&gt; doped phosphate glass waveguide&lt;/title&gt;,0.454003
&lt;title&gt;Integrated optics devices by ultraviolet light imprinting in sol-gel silica glass&lt;/title&gt;,&lt;title&gt;Minimizing losses in silver ion-exchanged waveguides using a double ion-exchange process&lt;/title&gt;,0.448527
Er-doped sol-gel glasses for integrated optics,Ultraviolet-light-imprinted sol-gel silica glass channel waveguides on silicon,0.503737
Er-doped sol-gel glasses for integrated optics,&lt;title&gt;Gain characteristics of a high-concentration Er&lt;formula&gt;&lt;sup&gt;&lt;roman&gt;3+&lt;/roman&gt;&lt;/sup&gt;&lt;/formula&gt; doped phosphate glass waveguide&lt;/title&gt;,0.655531
Er-doped sol-gel glasses for integrated optics,&lt;title&gt;Minimizing losses in silver ion-exchanged waveguides using a double ion-exchange process&lt;/title&gt;,0.467049
Ultraviolet-light-imprinted sol-gel silica glass channel waveguides on silicon,&lt;title&gt;Gain characteristics of a high-concentration Er&lt;formula&gt;&lt;sup&gt;&lt;roman&gt;3+&lt;/roman&gt;&lt;/sup&gt;&lt;/formula&gt; doped phosphate glass waveguide&lt;/title&gt;,0.448997
Ultraviolet-light-imprinted sol-gel silica glass channel waveguides on silicon,&lt;title&gt;Minimizing losses in silver ion-exchanged waveguides using a double ion-exchange process&lt;/title&gt;,0.500511
&lt;title&gt;Gain characteristics of a high-concentration Er&lt;formula&gt;&lt;sup&gt;&lt;roman&gt;3+&lt;/roman&gt;&lt;/sup&gt;&lt;/formula&gt; doped phosphate glass waveguide&lt;/title&gt;,&lt;title&gt;Minimizing losses in silver ion-exchanged waveguides using a double ion-exchange process&lt;/title&gt;,0.600549
