abstract_i,abstract_j,cosine_similarity
0,1,0.854003
0,2,0.85959
0,3,0.860212
0,4,0.826931
0,5,0.357392
0,6,0.567893
0,7,-0.046122
0,8,-0.117676
0,9,-0.020493
0,10,0.731714
0,11,0.734956
0,12,0.806679
0,13,0.913209
0,14,0.700695
0,15,0.742267
0,16,-0.05603
0,17,0.860262
0,18,0.814811
0,19,0.576288
0,20,0.846023
0,21,0.589378
0,22,0.806581
0,23,0.04293
0,24,0.744417
0,25,0.77683
0,26,0.700182
0,27,0.140632
0,28,-0.071266
0,29,0.758713
0,30,0.655932
0,31,0.208037
0,32,0.418768
0,33,0.877291
0,34,0.209021
0,35,0.743925
0,36,0.641305
0,37,0.874536
0,38,0.398627
0,39,0.829053
0,40,0.180241
0,41,0.66084
1,2,0.753837
1,3,0.765195
1,4,0.741688
1,5,0.33101
1,6,0.519433
1,7,-0.028692
1,8,-0.080474
1,9,-0.055191
1,10,0.704207
1,11,0.649706
1,12,0.650497
1,13,0.763763
1,14,0.593785
1,15,0.624203
1,16,-0.064311
1,17,0.721375
1,18,0.683917
1,19,0.542585
1,20,0.723514
1,21,0.525567
1,22,0.72342
1,23,0.045547
1,24,0.707885
1,25,0.699051
1,26,0.609189
1,27,0.145134
1,28,-0.080367
1,29,0.64429
1,30,0.598455
1,31,0.254221
1,32,0.412001
1,33,0.736073
1,34,0.215075
1,35,0.801387
1,36,0.580583
1,37,0.754869
1,38,0.395488
1,39,0.736964
1,40,0.157863
1,41,0.612285
2,3,0.881387
2,4,0.786309
2,5,0.439205
2,6,0.534672
2,7,-0.02941
2,8,-0.127703
2,9,-0.014458
2,10,0.644549
2,11,0.704922
2,12,0.809267
2,13,0.845767
2,14,0.720543
2,15,0.803631
2,16,-0.072605
2,17,0.858081
2,18,0.902476
2,19,0.589972
2,20,0.837999
2,21,0.56319
2,22,0.75593
2,23,0.062441
2,24,0.72092
2,25,0.757559
2,26,0.707571
2,27,0.16297
2,28,-0.083904
2,29,0.748679
2,30,0.610756
2,31,0.257828
2,32,0.535838
2,33,0.788803
2,34,0.256857
2,35,0.666089
2,36,0.694027
2,37,0.849021
2,38,0.367463
2,39,0.836893
2,40,0.164019
2,41,0.656731
3,4,0.814933
3,5,0.419363
3,6,0.509086
3,7,-0.009162
3,8,-0.118644
3,9,-0.030919
3,10,0.62188
3,11,0.701708
3,12,0.765286
3,13,0.848934
3,14,0.677813
3,15,0.734171
3,16,-0.057775
3,17,0.834674
3,18,0.823531
3,19,0.533128
3,20,0.906938
3,21,0.486976
3,22,0.760685
3,23,0.02283
3,24,0.718246
3,25,0.794985
3,26,0.705807
3,27,0.132975
3,28,-0.100636
3,29,0.702938
3,30,0.599587
3,31,0.194382
3,32,0.467625
3,33,0.771166
3,34,0.208343
3,35,0.629306
3,36,0.600989
3,37,0.792195
3,38,0.296957
3,39,0.801208
3,40,0.146971
3,41,0.583764
4,5,0.357095
4,6,0.536082
4,7,0.027467
4,8,-0.107036
4,9,0.000872
4,10,0.599202
4,11,0.647008
4,12,0.66402
4,13,0.778861
4,14,0.614279
4,15,0.62506
4,16,-0.032458
4,17,0.77427
4,18,0.74127
4,19,0.491686
4,20,0.790029
4,21,0.448633
4,22,0.798416
4,23,0.009989
4,24,0.735121
4,25,0.977232
4,26,0.608641
4,27,0.054365
4,28,-0.051505
4,29,0.644625
4,30,0.543706
4,31,0.14715
4,32,0.359388
4,33,0.89725
4,34,0.185822
4,35,0.707159
4,36,0.511277
4,37,0.751967
4,38,0.293049
4,39,0.723708
4,40,0.103673
4,41,0.525175
5,6,0.367388
5,7,-0.103885
5,8,-0.018516
5,9,-0.022503
5,10,0.310548
5,11,0.362168
5,12,0.404726
5,13,0.457341
5,14,0.356204
5,15,0.575165
5,16,0.01134
5,17,0.414932
5,18,0.380003
5,19,0.301559
5,20,0.521538
5,21,0.420195
5,22,0.279806
5,23,0.145059
5,24,0.37884
5,25,0.336361
5,26,0.353681
5,27,0.219712
5,28,-0.077723
5,29,0.489105
5,30,0.330166
5,31,0.272767
5,32,0.43853
5,33,0.369774
5,34,0.319451
5,35,0.304905
5,36,0.425772
5,37,0.39859
5,38,0.286844
5,39,0.370481
5,40,0.171481
5,41,0.281175
6,7,-0.024163
6,8,-0.084798
6,9,-0.027761
6,10,0.48691
6,11,0.499452
6,12,0.454751
6,13,0.55839
6,14,0.417325
6,15,0.499659
6,16,-0.048357
6,17,0.567645
6,18,0.5137
6,19,0.335041
6,20,0.520075
6,21,0.436002
6,22,0.543165
6,23,0.034755
6,24,0.577299
6,25,0.504192
6,26,0.572888
6,27,0.112441
6,28,-0.080487
6,29,0.660823
6,30,0.4187
6,31,0.177431
6,32,0.430977
6,33,0.558866
6,34,0.219669
6,35,0.517333
6,36,0.525345
6,37,0.556398
6,38,0.438807
