abstract_i,abstract_j,cosine_similarity
0,1,0.382969
0,2,0.679449
0,3,0.430552
0,4,0.678307
0,5,0.415112
0,6,0.432214
0,7,0.427858
0,8,0.366638
0,9,0.383402
0,10,0.508551
0,11,0.376323
0,12,0.820165
0,13,0.375676
0,14,0.351707
0,15,0.33478
0,16,0.281542
0,17,0.715226
0,18,0.333533
0,19,0.696917
0,20,-0.039257
0,21,0.397492
0,22,0.6469
0,23,0.386266
0,24,0.382715
0,25,0.764821
0,26,0.362384
0,27,0.516985
0,28,0.607999
0,29,0.367662
0,30,0.37639
0,31,0.892603
0,32,0.774191
0,33,0.385859
0,34,0.743867
0,35,0.728954
0,36,0.767983
0,37,0.531808
0,38,0.811197
0,39,0.332427
0,40,0.482422
0,41,0.896292
0,42,0.743466
0,43,0.716947
0,44,0.365699
0,45,0.430278
0,46,0.766751
0,47,0.411033
0,48,0.683506
0,49,0.660653
0,50,0.658441
0,51,0.34257
0,52,0.271552
0,53,0.363483
0,54,0.349708
0,55,0.298748
0,56,0.76003
0,57,0.248697
0,58,0.151585
0,59,0.674723
0,60,0.734286
0,61,0.832794
0,62,0.409707
0,63,0.812303
0,64,0.389418
0,65,0.353786
0,66,0.424352
0,67,0.373769
0,68,0.270889
0,69,0.730518
0,70,0.34741
0,71,0.762953
0,72,0.742837
0,73,0.865765
0,74,0.436625
0,75,0.275746
0,76,0.429187
0,77,0.612201
0,78,0.750427
0,79,0.473495
0,80,0.736663
0,81,0.778799
0,82,0.399809
0,83,0.41844
0,84,0.301716
0,85,0.721155
0,86,0.840762
0,87,0.77839
0,88,0.609527
0,89,0.42301
0,90,0.337039
0,91,0.651696
0,92,0.914422
0,93,0.378742
0,94,0.693985
0,95,0.74464
0,96,0.628007
0,97,0.737638
0,98,0.218964
0,99,0.369252
0,100,0.411794
0,101,0.765548
0,102,0.336212
0,103,0.775427
0,104,0.337034
0,105,0.423625
0,106,0.534032
0,107,0.725034
0,108,0.816928
0,109,0.50926
0,110,0.492201
0,111,0.30139
0,112,0.662293
0,113,0.775174
0,114,0.818894
0,115,0.616267
0,116,0.81229
0,117,0.373576
0,118,0.716901
0,119,0.501527
0,120,0.393614
0,121,0.839381
0,122,0.270204
0,123,0.330793
0,124,0.234315
0,125,0.647006
0,126,0.743178
0,127,0.670655
0,128,0.63317
0,129,0.79238
0,130,0.50738
0,131,0.746626
0,132,0.316097
0,133,0.7325
0,134,0.6967
0,135,0.876203
0,136,0.266439
0,137,0.686003
0,138,0.581274
0,139,0.605205
0,140,0.339129
0,141,0.851341
0,142,0.8143
0,143,0.40202
0,144,0.656509
0,145,0.383163
0,146,0.268485
0,147,0.776789
0,148,0.417528
0,149,0.58337
0,150,0.662828
0,151,0.747119
0,152,0.482757
0,153,0.682417
0,154,0.833791
0,155,0.766715
1,2,0.377657
1,3,0.351606
1,4,0.371211
1,5,0.796799
1,6,0.793151
1,7,0.829143
1,8,0.850626
1,9,0.411335
1,10,0.279332
1,11,0.416667
1,12,0.358327
1,13,0.35039
1,14,0.337104
1,15,0.347746
1,16,0.356718
1,17,0.358465
1,18,0.34999
1,19,0.374414
1,20,-0.017297
1,21,0.411689
1,22,0.36905
1,23,0.994662
1,24,0.362601
1,25,0.340104
1,26,0.387195
1,27,0.294128
1,28,0.291105
1,29,0.419804
1,30,0.387817
1,31,0.387968
1,32,0.297029
1,33,0.788235
1,34,0.36432
1,35,0.266441
1,36,0.35445
1,37,0.258965
1,38,0.400978
1,39,0.39704
1,40,0.24898
1,41,0.395876
1,42,0.259075
1,43,0.38468
1,44,0.850022
1,45,0.46538
1,46,0.365826
1,47,0.791317
1,48,0.150089
1,49,0.352554
1,50,0.356667
1,51,0.317834
1,52,0.752334
1,53,0.427261
1,54,0.806439
1,55,0.262048
1,56,0.427481
1,57,0.382902
1,58,0.225127
1,59,0.390054
1,60,0.287539
1,61,0.396289
1,62,0.305486
1,63,0.379533
1,64,0.775207
1,65,0.695638
1,66,0.249939
1,67,0.879453
1,68,0.303562
1,69,0.266022
1,70,0.384707
1,71,0.375084
1,72,0.349751
1,73,0.397973
1,74,0.786878
1,75,0.373106
1,76,0.461235
1,77,0.357574
1,78,0.424165
1,79,0.294882
1,80,0.395594
1,81,0.349122
1,82,0.704787
1,83,0.264637
1,84,0.360634
1,85,0.370148
1,86,0.376099
1,87,0.298245
1,88,0.325984
1,89,0.310496
1,90,0.393358
1,91,0.34615
1,92,0.436213
1,93,0.420245
1,94,0.492594
1,95,0.286209
1,96,0.286965
1,97,0.439999
1,98,0.3877
1,99,0.352789
1,100,0.439906
1,101,0.412415
1,102,0.412026
1,103,0.305772
1,104,0.370373
1,105,0.822202
1,106,0.251563
1,107,0.322571
1,108,0.367054
1,109,0.245807
1,110,0.238758
1,111,0.395648
1,112,0.335268
1,113,0.394163
1,114,0.413667
1,115,0.372034
1,116,0.30637
1,117,0.499464
1,118,0.318545
1,119,0.2668
1,120,0.478752
1,121,0.368479
1,122,0.759089
1,123,0.381559
1,124,0.388886
1,125,0.306203
1,126,0.340738
1,127,0.34518
1,128,0.352288
1,129,0.436758
1,130,0.299317
1,131,0.244583
1,132,0.426545
1,133,0.33171
1,134,0.329223
1,135,0.375289
1,136,0.300149
1,137,0.263986
1,138,0.194928
1,139,0.292639
1,140,0.432729
1,141,0.411577
1,142,0.346062
1,143,0.73018
1,144,0.361704
1,145,0.348013
1,146,0.759463
1,147,0.304759
1,148,0.337829
1,149,0.404058
1,150,0.340213
1,151,0.381337
1,152,0.322284
1,153,0.363704
1,154,0.477277
1,155,0.303852
2,3,0.338643
2,4,0.529976
2,5,0.36498
2,6,0.46062
2,7,0.438492
2,8,0.417447
2,9,0.363811
2,10,0.544307
2,11,0.33426
2,12,0.628797
2,13,0.319971
2,14,0.252947
2,15,0.282398
2,16,0.209278
2,17,0.581016
2,18,0.263474
2,19,0.724444
2,20,-0.00463
2,21,0.314729
2,22,0.435595
2,23,0.377275
2,24,0.31799
2,25,0.542919
2,26,0.278839
2,27,0.474289
2,28,0.450695
2,29,0.291207
2,30,0.384476
2,31,0.697051
2,32,0.423061
2,33,0.450863
2,34,0.498542
2,35,0.437042
2,36,0.47699
2,37,0.344858
2,38,0.679139
2,39,0.279022
2,40,0.255582
2,41,0.693905
2,42,0.585771
2,43,0.499585
2,44,0.418052
2,45,0.395151
2,46,0.473777
2,47,0.417424
2,48,0.328421
2,49,0.584639
2,50,0.586631
2,51,0.219197
2,52,0.286501
2,53,0.289472
2,54,0.333652
2,55,0.268325
2,56,0.700524
2,57,0.146893
2,58,0.255824
2,59,0.445484
2,60,0.448834
2,61,0.729088
2,62,0.437824
2,63,0.642134
2,64,0.462459
2,65,0.274335
2,66,0.357032
2,67,0.422238
2,68,0.354833
2,69,0.440128
2,70,0.300998
2,71,0.687491
2,72,0.529557
2,73,0.710467
2,74,0.465486
2,75,0.171661
2,76,0.404055
2,77,0.544415
2,78,0.531435
2,79,0.293015
2,80,0.693235
2,81,0.518729
2,82,0.445678
2,83,0.252012
2,84,0.237702
2,85,0.429978
2,86,0.574145
2,87,0.480842
2,88,0.471537
2,89,0.445553
2,90,0.291038
2,91,0.339289
2,92,0.734642
2,93,0.335484
2,94,0.612041
2,95,0.520451
2,96,0.439275
2,97,0.560442
2,98,0.300205
2,99,0.322248
2,100,0.401093
2,101,0.636856
2,102,0.278143
2,103,0.553055
2,104,0.209057
2,105,0.435335
2,106,0.341166
2,107,0.425135
2,108,0.646055
2,109,0.210288
2,110,0.278767
2,111,0.202891
2,112,0.350699
2,113,0.727541
2,114,0.556315
2,115,0.85191
2,116,0.469749
2,117,0.319392
2,118,0.512959
2,119,0.566346
2,120,0.327635
2,121,0.533334
2,122,0.282741
2,123,0.260962
2,124,0.283431
2,125,0.434517
2,126,0.4192
2,127,0.531357
2,128,0.635488
2,129,0.699701
2,130,0.422886
2,131,0.390175
2,132,0.222656
2,133,0.456407
2,134,0.398437
2,135,0.715688
2,136,0.367797
2,137,0.342155
2,138,0.529917
2,139,0.56807
2,140,0.261137
2,141,0.707737
2,142,0.57245
2,143,0.45102
2,144,0.488852
2,145,0.324767
2,146,0.283375
2,147,0.451859
2,148,0.326714
2,149,0.719857
2,150,0.445326
2,151,0.686045
