abstract_i,abstract_j,cosine_similarity
0,1,0.106149
0,2,0.169977
0,3,0.076188
0,4,0.191488
0,5,0.087772
0,6,0.09751
0,7,0.056718
0,8,0.085496
0,9,0.038782
1,2,0.137861
1,3,0.057395
1,4,0.060743
1,5,0.003944
1,6,0.288183
1,7,-0.064856
1,8,0.108948
1,9,0.303348
2,3,0.171671
2,4,0.255667
2,5,0.322087
2,6,0.501312
2,7,0.078141
2,8,0.206071
2,9,0.114928
3,4,0.091584
3,5,0.404112
3,6,0.185538
3,7,-0.05951
3,8,0.660089
3,9,-0.008885
4,5,0.176788
4,6,0.307621
4,7,0.011879
4,8,0.078044
4,9,0.298418
5,6,0.314553
5,7,-0.007567
5,8,0.381838
5,9,0.059808
6,7,-0.025173
6,8,0.176724
6,9,0.389936
7,8,-0.036172
7,9,-0.113679
8,9,0.021555
