title_i,title_j,cosine_similarity
Chern-Simons number diffusion with hard thermal loops,Thermalization and Lyapunov exponents in Yang-Mills-Higgs theory,0.555536
Chern-Simons number diffusion with hard thermal loops,Wave packet dynamics in Yang-Mills theory,0.453993
Chern-Simons number diffusion with hard thermal loops,Symmetry restoration in gauge boson wave packet collisions in Yang-Mills-Higgs theory,0.430902
Chern-Simons number diffusion with hard thermal loops,The Screening Length in Quark-Gluon Plasma and <i>J</i> / <i>ψ</i> Suppression,0.371459
Thermalization and Lyapunov exponents in Yang-Mills-Higgs theory,Wave packet dynamics in Yang-Mills theory,0.377269
Thermalization and Lyapunov exponents in Yang-Mills-Higgs theory,Symmetry restoration in gauge boson wave packet collisions in Yang-Mills-Higgs theory,0.531604
Thermalization and Lyapunov exponents in Yang-Mills-Higgs theory,The Screening Length in Quark-Gluon Plasma and <i>J</i> / <i>ψ</i> Suppression,0.424308
Wave packet dynamics in Yang-Mills theory,Symmetry restoration in gauge boson wave packet collisions in Yang-Mills-Higgs theory,0.582489
Wave packet dynamics in Yang-Mills theory,The Screening Length in Quark-Gluon Plasma and <i>J</i> / <i>ψ</i> Suppression,0.434281
Symmetry restoration in gauge boson wave packet collisions in Yang-Mills-Higgs theory,The Screening Length in Quark-Gluon Plasma and <i>J</i> / <i>ψ</i> Suppression,0.45385
