title_i,title_j,cosine_similarity
Non-equilibrium structural dynamics of supercoiled DNA plasmids exhibits asymmetrical relaxation,Demonstrating Stacked Services of a Battery in a Wind R&amp;D Park,0.03711
Non-equilibrium structural dynamics of supercoiled DNA plasmids exhibits asymmetrical relaxation,Comparing Different Regulation Offerings From a Battery in a Wind R&amp;D Park,0.036059
Non-equilibrium structural dynamics of supercoiled DNA plasmids exhibits asymmetrical relaxation,Free energy of a knotted polymer confined to narrow cylindrical and conical channels,0.409026
Non-equilibrium structural dynamics of supercoiled DNA plasmids exhibits asymmetrical relaxation,Spatial Photopatterning of Substrate Stiffness in Dual-Cure Silicones for Cardiac Mechano-Regulation,0.342098
Demonstrating Stacked Services of a Battery in a Wind R&amp;D Park,Comparing Different Regulation Offerings From a Battery in a Wind R&amp;D Park,0.787779
Demonstrating Stacked Services of a Battery in a Wind R&amp;D Park,Free energy of a knotted polymer confined to narrow cylindrical and conical channels,-0.025575
Demonstrating Stacked Services of a Battery in a Wind R&amp;D Park,Spatial Photopatterning of Substrate Stiffness in Dual-Cure Silicones for Cardiac Mechano-Regulation,-0.032668
Comparing Different Regulation Offerings From a Battery in a Wind R&amp;D Park,Free energy of a knotted polymer confined to narrow cylindrical and conical channels,0.039256
Comparing Different Regulation Offerings From a Battery in a Wind R&amp;D Park,Spatial Photopatterning of Substrate Stiffness in Dual-Cure Silicones for Cardiac Mechano-Regulation,-0.033815
Free energy of a knotted polymer confined to narrow cylindrical and conical channels,Spatial Photopatterning of Substrate Stiffness in Dual-Cure Silicones for Cardiac Mechano-Regulation,0.35638
