abstract_i,abstract_j,cosine_similarity
0,1,-0.047023
0,2,0.610633
0,3,0.303851
0,4,0.696501
0,5,0.770823
0,6,0.768377
0,7,0.665634
0,8,0.663157
0,9,0.545607
0,10,0.999788
0,11,0.07513
0,12,0.599523
0,13,0.122783
0,14,0.595075
0,15,0.165512
0,16,0.569606
0,17,0.567144
0,18,0.03629
0,19,0.548998
0,20,-0.071637
0,21,0.533318
1,2,-0.069744
1,3,0.031483
1,4,-0.039945
1,5,-0.047589
1,6,-0.043617
1,7,-0.046638
1,8,-0.04541
1,9,-0.079038
1,10,-0.047637
1,11,0.011307
1,12,-0.024557
1,13,-0.042275
1,14,0.0034
1,15,-0.02476
1,16,-0.026155
1,17,0.027984
1,18,0.049491
1,19,-0.080187
1,20,0.156543
1,21,-0.068806
2,3,0.422622
2,4,0.479276
2,5,0.830542
2,6,0.828724
2,7,0.833279
2,8,0.835853
2,9,0.702393
2,10,0.609745
2,11,0.032891
2,12,0.477246
2,13,0.184207
2,14,0.723076
2,15,0.270696
2,16,0.471314
2,17,0.574482
2,18,0.1272
2,19,0.695548
2,20,-0.007541
2,21,0.610236
3,4,0.196389
3,5,0.369
3,6,0.366422
3,7,0.425312
3,8,0.425429
3,9,0.362848
3,10,0.300652
3,11,0.005269
3,12,0.276132
3,13,0.311427
3,14,0.376167
3,15,0.372144
3,16,0.293281
3,17,0.340582
3,18,0.096439
3,19,0.356453
3,20,0.081324
3,21,0.441743
4,5,0.686729
4,6,0.687317
4,7,0.573413
4,8,0.568625
4,9,0.453687
4,10,0.697545
4,11,0.09787
4,12,0.71119
4,13,0.094355
4,14,0.439406
4,15,0.164483
4,16,0.699731
4,17,0.518668
4,18,0.121779
4,19,0.45318
4,20,-0.039944
4,21,0.532181
5,6,0.997095
5,7,0.754806
5,8,0.755675
5,9,0.627785
5,10,0.771919
5,11,0.060065
5,12,0.681136
5,13,0.221322
5,14,0.664093
5,15,0.318727
5,16,0.671769
5,17,0.716612
5,18,0.126513
5,19,0.622476
5,20,-0.037008
5,21,0.633859
6,7,0.75642
6,8,0.75483
6,9,0.623775
6,10,0.769932
6,11,0.063287
6,12,0.678718
6,13,0.214638
6,14,0.657141
6,15,0.313588
6,16,0.669789
6,17,0.71903
6,18,0.132639
6,19,0.618533
6,20,-0.03057
6,21,0.635148
7,8,0.997929
7,9,0.767912
7,10,0.665686
7,11,0.055228
7,12,0.518439
7,13,0.183782
7,14,0.755471
7,15,0.255552
7,16,0.505068
7,17,0.591881
7,18,0.084887
7,19,0.766693
7,20,-0.057589
7,21,0.690924
8,9,0.777249
8,10,0.662888
8,11,0.050503
8,12,0.51838
8,13,0.187533
8,14,0.761522
8,15,0.259139
8,16,0.505207
8,17,0.596845
8,18,0.075591
8,19,0.776268
8,20,-0.057651
8,21,0.689162
9,10,0.544628
9,11,0.014067
9,12,0.346261
9,13,0.235306
9,14,0.756025
9,15,0.250658
9,16,0.323825
9,17,0.461648
9,18,0.07672
9,19,0.997714
9,20,-0.054162
9,21,0.59963
10,11,0.077733
10,12,0.599902
10,13,0.122573
10,14,0.594022
10,15,0.165671
10,16,0.569925
10,17,0.566275
10,18,0.038509
10,19,0.548132
10,20,-0.069898
10,21,0.532377
11,12,0.085784
11,13,-0.026028
11,14,0.065835
11,15,-0.021761
11,16,0.081202
11,17,-0.020683
11,18,0.299909
11,19,0.017555
11,20,0.186501
11,21,0.130506
12,13,0.125878
12,14,0.37604
12,15,0.185823
12,16,0.988572
12,17,0.670119
12,18,0.106106
12,19,0.342546
12,20,-0.02896
12,21,0.509415
13,14,0.268271
13,15,0.850156
13,16,0.155222
13,17,0.212517
13,18,0.049561
13,19,0.232044
13,20,-0.012632
13,21,0.266824
14,15,0.326091
14,16,0.367297
14,17,0.490201
14,18,0.022967
14,19,0.751635
14,20,-0.02021
14,21,0.562886
15,16,0.232918
15,17,0.298896
15,18,0.062022
15,19,0.243094
15,20,-0.020826
15,21,0.340384
16,17,0.664733
16,18,0.103027
16,19,0.318609
16,20,-0.033362
16,21,0.50699
17,18,0.072263
17,19,0.457872
17,20,-0.061301
17,21,0.537071
18,19,0.073154
18,20,0.115574
18,21,0.156222
19,20,-0.049096
19,21,0.59895
20,21,-0.045214
