title_i,title_j,cosine_similarity
Finite-Temperature Field Theory,"Elliptic and Triangular Flow in Event-by-Event<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi mathvariant=""normal"">D</mml:mi><mml:mo>=</mml:mo><mml:mn>3</mml:mn><mml:mo>+</mml:mo><mml:mn>1</mml:mn></mml:math>Viscous Hydrodynamics",0.370501
Finite-Temperature Field Theory,Finite-Temperature Field Theory: Principles and Applications,1.0
Finite-Temperature Field Theory,Event-by-Event Anisotropic Flow in Heavy-ion Collisions from Combined Yang-Mills and Viscous Fluid Dynamics,0.559347
Finite-Temperature Field Theory,(3+1)D hydrodynamic simulation of relativistic heavy-ion collisions,0.503631
Finite-Temperature Field Theory,Extracting the jet transport coefficient from jet quenching in high-energy heavy-ion collisions,0.555662
Finite-Temperature Field Theory,Importance of the Bulk Viscosity of QCD in Ultrarelativistic Heavy-Ion Collisions,0.461793
Finite-Temperature Field Theory,Production of photons in relativistic heavy-ion collisions,0.465107
Finite-Temperature Field Theory,Hadronic production of thermal photons,0.684975
Finite-Temperature Field Theory,Heavy-ion collisions at the LHC—Last call for predictions,0.618685
Finite-Temperature Field Theory,Multisystem Bayesian constraints on the transport coefficients of QCD matter,0.580553
Finite-Temperature Field Theory,"Higher flow harmonics from<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mo>(</mml:mo><mml:mn>3</mml:mn><mml:mo>+</mml:mo><mml:mn>1</mml:mn><mml:mo>)</mml:mo></mml:mrow></mml:math>D event-by-event viscous hydrodynamics",0.479649
Finite-Temperature Field Theory,Momentum dependence of symmetry potential in asymmetric nuclear matter for transport model calculations,0.472421
Finite-Temperature Field Theory,MARTINI: An event generator for relativistic heavy-ion collisions,0.562357
Finite-Temperature Field Theory,Radiative and Collisional Jet Energy Loss in the Quark-Gluon Plasma at the BNL Relativistic Heavy Ion Collider,0.59576
Finite-Temperature Field Theory,Phenomenological Constraints on the Transport Properties of QCD Matter with Data-Driven Model Averaging,0.476074
