title_i,title_j,cosine_similarity
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",0.60419
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Net 1.6 Tbps (4×400Gbps/λ) O-Band IM/DD Transmission Over 2 km Using Uncooled DFB Lasers on the LAN-WDM grid and Sub-1V Drive TFLN Modulators,0.584169
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Net 3.2 Tbps 225 Gbaud PAM4 O-Band IM/DD 2 km Transmission Using FR8 and DR8 with a CMOS 3 nm SerDes and TFLN Modulators,0.397602
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,"Performance and Characterization Comparison of QD SOA, QW SOA, Bulk SOA and PDFA for Multi-Tbps O-Band WDM Links",0.601362
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Power-Efficient Silicon Photonic Thermo-Optic Switch Covering OESCLU-Bands Enabled by Mode-Looped Phase Shifters With Subwavelength Gratings,0.413944
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,"Performance comparison of QD-SOA, QW-SOA, Bulk-SOA and PDFA for multi-Tbps O-band WDM links",0.542127
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Physical Layer Service Fairness of 200-Gbps TDM-NOMA Coherent Passive Optical Networks Within Single Timeslot,0.361329
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Digital Vibration Detection and Localization using Carrier Laser Phase Noise Retrieval in a Conventional Coherent Transponder,0.425642
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,112 GBaud PAM4 Barium Titanate Coupling Modulated Ring Modulator Monolithically Integrated on a Silicon Substrate,0.34716
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,8.5 Tbps Net SiP O-band Coherent Transmission over 10 km Using a Quantum-Dot Mode-Locked Comb Laser,0.703861
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirectional Coherent Transmission Systems Enabled by Carrier Laser Phase Noise Retrieval,0.516657
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Non-Orthogonal Multiplexing Access (NOMA)-based Dense Passive Optical Networks Considering Fairness under Differential Split Ratios,0.361461
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Impact of the Gain Recovery Time of a QD-SOA on Transmission System Amplification,0.296332
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Spatial Diversity in Non-Orthogonal Multiplexing Access (NOMA)-based Coherent Optical Transmission under Differential Path Loss,0.457045
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,A WDM Capable SiP Polarization Compensator That Isolates the Carrier Laser,0.480576
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,First Net $800 \text{Gbps} / \lambda 120 \text{Gbaud}$ DP-16 QAM C-Band Coherent Transmission System Enabled by a BTO IQM with Linear DSP Under the SD-20 FEC Threshold,0.577179
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Polarization Agnostic Frequency-Comb WDM Transmission Enabling Net 800 Gbps OOK and 1.6 Tbps PAM4,0.426981
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,Net 512 Gbps 320 Gbaud PAM4 Faster-Than-Nyquist Transmission with a 3 nm SerDes and TFLN Modulators,0.399825
12.1 terabit/second data center interconnects using O-band coherent transmission with QD-MLL frequency combs,"Evaluating DSP algorithms, system architecture, and faster‑than‑Nyquist transmission for 3.2-Tb/s data center interconnects",0.452446
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",Net 1.6 Tbps (4×400Gbps/λ) O-Band IM/DD Transmission Over 2 km Using Uncooled DFB Lasers on the LAN-WDM grid and Sub-1V Drive TFLN Modulators,0.662038
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",Net 3.2 Tbps 225 Gbaud PAM4 O-Band IM/DD 2 km Transmission Using FR8 and DR8 with a CMOS 3 nm SerDes and TFLN Modulators,0.578256
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km","Performance and Characterization Comparison of QD SOA, QW SOA, Bulk SOA and PDFA for Multi-Tbps O-Band WDM Links",0.69574
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",Power-Efficient Silicon Photonic Thermo-Optic Switch Covering OESCLU-Bands Enabled by Mode-Looped Phase Shifters With Subwavelength Gratings,0.458377
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km","Performance comparison of QD-SOA, QW-SOA, Bulk-SOA and PDFA for multi-Tbps O-band WDM links",0.439454
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",Physical Layer Service Fairness of 200-Gbps TDM-NOMA Coherent Passive Optical Networks Within Single Timeslot,0.461717
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",Digital Vibration Detection and Localization using Carrier Laser Phase Noise Retrieval in a Conventional Coherent Transponder,0.30611
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",112 GBaud PAM4 Barium Titanate Coupling Modulated Ring Modulator Monolithically Integrated on a Silicon Substrate,0.431778
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",8.5 Tbps Net SiP O-band Coherent Transmission over 10 km Using a Quantum-Dot Mode-Locked Comb Laser,0.458713
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirectional Coherent Transmission Systems Enabled by Carrier Laser Phase Noise Retrieval,0.265362
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",Non-Orthogonal Multiplexing Access (NOMA)-based Dense Passive Optical Networks Considering Fairness under Differential Split Ratios,0.353227
"Practical Fiber Dispersion-Induced Limitations for 1.6 Tbps (4× 400 Gbps/$\lambda$) O-Band IM/DD Transmission Systems Over 2, 10, 20 and 40 km",Impact of the Gain Recovery Time of a QD-SOA on Transmission System Amplification,0.307459
