abstract_i,abstract_j,cosine_similarity
0,1,0.435573
0,2,0.801158
0,3,0.401876
0,4,0.618672
0,5,0.443677
0,6,0.45369
0,7,0.394045
0,8,0.180692
0,9,0.268765
0,10,0.461922
0,11,0.443154
0,12,0.60771
0,13,0.228149
0,14,0.388731
0,15,0.769429
0,16,0.397362
0,17,0.378699
0,18,0.440216
0,19,0.55287
0,20,0.248534
0,21,0.37343
0,22,0.660312
0,23,0.589884
0,24,0.506986
0,25,0.359338
0,26,0.424592
0,27,0.491834
0,28,0.462257
0,29,0.429459
0,30,0.778155
0,31,0.30488
0,32,0.283407
0,33,0.512883
0,34,0.811753
0,35,0.436754
0,36,0.563342
0,37,0.036067
0,38,0.516295
0,39,0.306464
0,40,0.465039
0,41,0.477041
0,42,0.328979
0,43,0.375205
0,44,0.448006
0,45,0.667078
0,46,0.441857
0,47,0.739646
0,48,0.421364
0,49,0.130474
0,50,0.470713
0,51,0.507166
0,52,0.594658
0,53,0.554315
0,54,0.360072
0,55,0.501795
1,2,0.337665
1,3,0.580002
1,4,0.445746
1,5,0.444219
1,6,0.379916
1,7,0.450526
1,8,0.233447
1,9,0.366614
1,10,0.373452
1,11,0.486205
1,12,0.488402
1,13,0.217294
1,14,0.451976
1,15,0.431905
1,16,0.343045
1,17,0.491703
1,18,0.545292
1,19,0.599577
1,20,0.33111
1,21,0.34149
1,22,0.399894
1,23,0.490879
1,24,0.517145
1,25,0.374036
1,26,0.350313
1,27,0.476718
1,28,0.44291
1,29,0.568759
1,30,0.521375
1,31,0.510975
1,32,0.16551
1,33,0.46403
1,34,0.532371
1,35,0.746831
1,36,0.602042
1,37,-0.060087
1,38,0.583722
1,39,0.212311
1,40,0.78442
1,41,0.429053
1,42,0.336537
1,43,0.288186
1,44,0.461479
1,45,0.362337
1,46,0.554582
1,47,0.62638
1,48,0.388981
1,49,0.130509
1,50,0.521163
1,51,0.776811
1,52,0.469259
1,53,0.409626
1,54,0.482911
1,55,0.529228
2,3,0.333135
2,4,0.53106
2,5,0.309893
2,6,0.438943
2,7,0.325133
2,8,0.185532
2,9,0.282053
2,10,0.366348
2,11,0.303424
2,12,0.533779
2,13,0.112023
2,14,0.298935
2,15,0.669488
2,16,0.287473
2,17,0.260337
2,18,0.343552
2,19,0.379423
2,20,0.255971
2,21,0.23514
2,22,0.667068
2,23,0.516102
2,24,0.440741
2,25,0.252174
2,26,0.258347
2,27,0.380883
2,28,0.459309
2,29,0.427461
2,30,0.635311
2,31,0.311403
2,32,0.191212
2,33,0.427095
2,34,0.619098
2,35,0.359855
2,36,0.437043
2,37,0.020052
2,38,0.356767
2,39,0.348605
2,40,0.328379
2,41,0.329922
2,42,0.256646
2,43,0.240165
2,44,0.451698
2,45,0.607806
2,46,0.384878
2,47,0.586516
2,48,0.284697
2,49,0.057403
2,50,0.355374
2,51,0.40084
2,52,0.540321
2,53,0.481134
2,54,0.308447
2,55,0.393971
3,4,0.477602
3,5,0.353886
3,6,0.462727
3,7,0.51375
3,8,0.176439
3,9,0.391014
3,10,0.413159
3,11,0.436246
3,12,0.434762
3,13,0.205894
3,14,0.532429
3,15,0.424536
3,16,0.404804
3,17,0.44874
3,18,0.521374
3,19,0.663864
3,20,0.368157
3,21,0.414811
3,22,0.367997
3,23,0.488674
3,24,0.568656
3,25,0.425989
3,26,0.439968
3,27,0.41382
3,28,0.624705
3,29,0.492427
3,30,0.458397
3,31,0.333131
3,32,0.260386
3,33,0.510251
3,34,0.425259
3,35,0.452089
3,36,0.565186
3,37,-0.055667
3,38,0.493486
3,39,0.309682
3,40,0.549324
3,41,0.537565
3,42,0.336748
3,43,0.283368
3,44,0.458556
3,45,0.389918
3,46,0.689336
3,47,0.417862
3,48,0.442488
3,49,0.111868
3,50,0.625477
3,51,0.600005
3,52,0.358483
3,53,0.314269
3,54,0.473923
3,55,0.45797
4,5,0.518786
4,6,0.378676
4,7,0.511236
4,8,0.185881
4,9,0.31192
4,10,0.645485
4,11,0.499051
4,12,0.741049
4,13,0.267132
4,14,0.498712
4,15,0.771928
4,16,0.358009
4,17,0.437217
4,18,0.512499
4,19,0.496661
4,20,0.323656
4,21,0.356761
4,22,0.522639
4,23,0.656401
4,24,0.482212
4,25,0.352594
4,26,0.406609
4,27,0.523927
4,28,0.494997
4,29,0.438581
4,30,0.734915
4,31,0.293038
4,32,0.296346
4,33,0.602667
4,34,0.648513
4,35,0.410734
4,36,0.413134
4,37,0.004495
4,38,0.484657
4,39,0.268202
4,40,0.446304
4,41,0.463392
4,42,0.340462
4,43,0.427514
4,44,0.412563
4,45,0.570646
4,46,0.422102
4,47,0.485527
4,48,0.644343
4,49,0.157359
4,50,0.44347
4,51,0.528773
4,52,0.399574
4,53,0.329175
4,54,0.39339
4,55,0.53914
5,6,0.427402
5,7,0.549504
5,8,0.372616
5,9,0.172414
5,10,0.533393
5,11,0.558215
5,12,0.631522
5,13,0.520728
5,14,0.474914
5,15,0.472752
