abstract_i,abstract_j,cosine_similarity
0,1,0.923197
0,2,0.561324
0,3,0.547652
0,4,0.669387
0,5,0.582694
0,6,0.308917
0,7,0.553054
0,8,0.681795
0,9,0.70178
0,10,0.580449
0,11,0.649693
0,12,0.502467
0,13,0.766581
0,14,0.360449
0,15,0.47487
0,16,0.761621
0,17,0.503921
0,18,0.539432
0,19,0.604809
0,20,0.674002
0,21,0.711222
0,22,0.484408
1,2,0.571957
1,3,0.507213
1,4,0.626979
1,5,0.558887
1,6,0.388119
1,7,0.502661
1,8,0.664777
1,9,0.6816
1,10,0.559722
1,11,0.635747
1,12,0.461683
1,13,0.751978
1,14,0.334212
1,15,0.44352
1,16,0.744541
1,17,0.485742
1,18,0.530964
1,19,0.58404
1,20,0.659694
1,21,0.686697
1,22,0.468931
2,3,0.486951
2,4,0.390583
2,5,0.679415
2,6,0.256041
2,7,0.448852
2,8,0.821527
2,9,0.476246
2,10,0.670446
2,11,0.716327
2,12,0.382896
2,13,0.573465
2,14,0.424095
2,15,0.300686
2,16,0.585546
2,17,0.533817
2,18,0.577503
2,19,0.410625
2,20,0.473267
2,21,0.484693
2,22,0.513499
3,4,0.575773
3,5,0.451104
3,6,0.144311
3,7,0.970209
3,8,0.464437
3,9,0.576437
3,10,0.45678
3,11,0.381203
3,12,0.499122
3,13,0.441922
3,14,0.275273
3,15,0.537855
3,16,0.434153
3,17,0.249783
3,18,0.407372
3,19,0.435929
3,20,0.595261
3,21,0.570922
3,22,0.240436
4,5,0.33936
4,6,0.218642
4,7,0.580994
4,8,0.46696
4,9,0.647972
4,10,0.349917
4,11,0.438836
4,12,0.400234
4,13,0.60767
4,14,0.220028
4,15,0.714848
4,16,0.601379
4,17,0.408384
4,18,0.383012
4,19,0.697606
4,20,0.726332
4,21,0.645634
4,22,0.408007
5,6,0.392285
5,7,0.462271
5,8,0.692158
5,9,0.471863
5,10,0.896158
5,11,0.726427
5,12,0.436868
5,13,0.5935
5,14,0.378628
5,15,0.236069
5,16,0.592411
5,17,0.553887
5,18,0.721587
5,19,0.37267
5,20,0.401436
5,21,0.475065
5,22,0.538448
6,7,0.154194
6,8,0.216462
6,9,0.289309
6,10,0.362993
6,11,0.396566
6,12,0.259073
6,13,0.335227
6,14,0.234442
6,15,0.234355
6,16,0.303697
6,17,0.397887
6,18,0.390095
6,19,0.333121
6,20,0.259089
6,21,0.285867
6,22,0.403286
7,8,0.456305
7,9,0.57744
7,10,0.469792
7,11,0.378052
7,12,0.508107
7,13,0.457431
7,14,0.269503
7,15,0.523357
7,16,0.447206
7,17,0.238052
7,18,0.414899
7,19,0.43249
7,20,0.616444
7,21,0.574479
7,22,0.228743
8,9,0.57835
8,10,0.728565
8,11,0.742382
8,12,0.396248
8,13,0.726294
8,14,0.383539
8,15,0.314497
8,16,0.718648
8,17,0.543296
8,18,0.589124
8,19,0.497453
8,20,0.546397
8,21,0.589262
8,22,0.518768
9,10,0.492856
9,11,0.509333
9,12,0.633791
9,13,0.631986
9,14,0.376111
9,15,0.468892
9,16,0.621863
9,17,0.336258
9,18,0.463376
9,19,0.621077
9,20,0.68213
9,21,0.987393
9,22,0.327862
10,11,0.71172
10,12,0.432622
10,13,0.569689
10,14,0.43979
10,15,0.210807
10,16,0.574478
10,17,0.520818
10,18,0.736502
10,19,0.373076
10,20,0.41858
10,21,0.494309
10,22,0.502955
11,12,0.373718
11,13,0.657482
11,14,0.405891
11,15,0.326926
11,16,0.67276
11,17,0.698035
11,18,0.62448
11,19,0.47897
11,20,0.482977
11,21,0.515788
11,22,0.674667
12,13,0.409783
12,14,0.441375
12,15,0.386054
12,16,0.404869
12,17,0.27491
12,18,0.416628
12,19,0.487817
12,20,0.456037
12,21,0.638984
12,22,0.267371
13,14,0.359689
13,15,0.418454
13,16,0.977046
13,17,0.523775
13,18,0.560786
13,19,0.61665
13,20,0.594388
13,21,0.647823
13,22,0.503089
14,15,0.151345
14,16,0.355242
14,17,0.262423
14,18,0.399078
14,19,0.323549
14,20,0.281449
14,21,0.392231
14,22,0.246951
15,16,0.428462
15,17,0.329773
15,18,0.263919
15,19,0.632375
15,20,0.570293
15,21,0.464769
15,22,0.326217
16,17,0.527081
16,18,0.564527
16,19,0.609603
16,20,0.570461
16,21,0.636172
16,22,0.504793
17,18,0.502427
17,19,0.405314
17,20,0.361524
17,21,0.339116
17,22,0.993438
18,19,0.399635
18,20,0.388481
18,21,0.462877
18,22,0.483183
19,20,0.664039
19,21,0.621186
19,22,0.404488
20,21,0.681664
20,22,0.347038
21,22,0.329807
