title_i,title_j,cosine_similarity
The coexistence of spin density wave ordering and spin glass ordering in chromium alloys containing iron,Electrical resistivity and the spin density wave gap in CrMO,0.560368
The coexistence of spin density wave ordering and spin glass ordering in chromium alloys containing iron,The behaviour of Fe in Cr and CrMo spin density wave hosts. I. Neel temperature and electrical resistivity,0.612058
The coexistence of spin density wave ordering and spin glass ordering in chromium alloys containing iron,Exchange interactions in dilute CrFe and CrCo alloys,0.700886
The coexistence of spin density wave ordering and spin glass ordering in chromium alloys containing iron,SPIN GLASS ORDERING IN (Cr<sub>98</sub>Mo<sub>2</sub>)<sub>90</sub>Fe<sub>10</sub>,0.716114
Electrical resistivity and the spin density wave gap in CrMO,The behaviour of Fe in Cr and CrMo spin density wave hosts. I. Neel temperature and electrical resistivity,0.83036
Electrical resistivity and the spin density wave gap in CrMO,Exchange interactions in dilute CrFe and CrCo alloys,0.670674
Electrical resistivity and the spin density wave gap in CrMO,SPIN GLASS ORDERING IN (Cr<sub>98</sub>Mo<sub>2</sub>)<sub>90</sub>Fe<sub>10</sub>,0.333585
The behaviour of Fe in Cr and CrMo spin density wave hosts. I. Neel temperature and electrical resistivity,Exchange interactions in dilute CrFe and CrCo alloys,0.730555
The behaviour of Fe in Cr and CrMo spin density wave hosts. I. Neel temperature and electrical resistivity,SPIN GLASS ORDERING IN (Cr<sub>98</sub>Mo<sub>2</sub>)<sub>90</sub>Fe<sub>10</sub>,0.500377
Exchange interactions in dilute CrFe and CrCo alloys,SPIN GLASS ORDERING IN (Cr<sub>98</sub>Mo<sub>2</sub>)<sub>90</sub>Fe<sub>10</sub>,0.522833
