title_i,title_j,cosine_similarity
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,A spectroscopic overview of the differences between the absorbing states and the emitting states in semiconductor perovskite nanocrystals,0.749989
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Exciton–polaron interactions in metal halide perovskite nanocrystals revealed via two-dimensional electronic spectroscopy,0.833956
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Excitonic Quantum Coherence in Light Emission from CsPbBr<sub>3</sub> Metal-Halide Perovskite Nanocrystals,0.688423
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Light Emission from CsPbBr<sub>3</sub> Metal Halide Perovskite Nanocrystals Arises from Dual Emitting States with Distinct Lattice Couplings,0.740696
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Hot Excitons Cool in Metal Halide Perovskite Nanocrystals as Fast as CdSe Nanocrystals,0.706595
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,"Polaronic quantum confinement in bulk <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>CsPb</mml:mi><mml:msub><mml:mi>Br</mml:mi><mml:mn>3</mml:mn></mml:msub></mml:mrow></mml:math> perovskite crystals revealed by state-resolved pump/probe spectroscopy",0.805035
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Photophysical Action Spectra of Emission from Semiconductor Nanocrystals Reveal Violations to the Vavilov Rule Behavior from Hot Carrier Effects,0.636865
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,The Temperature Dependence of the Photoluminescence of CsPbBr<sub>3</sub> Nanocrystals Reveals Phase Transitions and Homogeneous Linewidths,0.783405
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Breaking Phonon Bottlenecks through Efficient Auger Processes in Perovskite Nanocrystals,0.725624
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Emitting State of Bulk CsPbBr<sub>3</sub> Perovskite Nanocrystals Reveals a Quantum-Confined Excitonic Structure,0.757939
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Observing strongly confined multiexcitons in bulk-like CsPbBr3 nanocrystals,0.739617
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Direct Observation of Higher Multiexciton Formation and Annihilation in CdSe Quantum Dots,0.545226
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Watching Excitations in CsPbBr<sub>3</sub> Perovskite Nanocrystals Undergo Ultrafast Relaxation to Their Emitting State,0.749024
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Perturbed free induction decay obscures early time dynamics in two-dimensional electronic spectroscopy: The case of semiconductor nanocrystals,0.64255
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Enhancing Multiexcitonic Emission in Metal-Halide Perovskites by Quantum Confinement,0.750059
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Correlation between hysteresis dynamics and inductance in hybrid perovskite solar cells: studying the dependency on ETL/perovskite interfaces,0.51449
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Breaking the Condon Approximation for Light Emission from Metal Halide Perovskite Nanocrystals,0.764801
Two-dimensional electronic spectroscopy reveals liquid-like lineshape dynamics in CsPbI3 perovskite nanocrystals,Two-Dimensional Electronic Spectroscopy reveals liquid like structural dynamics in semiconductor perovskites,0.808609
A spectroscopic overview of the differences between the absorbing states and the emitting states in semiconductor perovskite nanocrystals,Exciton–polaron interactions in metal halide perovskite nanocrystals revealed via two-dimensional electronic spectroscopy,0.739904
A spectroscopic overview of the differences between the absorbing states and the emitting states in semiconductor perovskite nanocrystals,Excitonic Quantum Coherence in Light Emission from CsPbBr<sub>3</sub> Metal-Halide Perovskite Nanocrystals,0.716014
A spectroscopic overview of the differences between the absorbing states and the emitting states in semiconductor perovskite nanocrystals,Light Emission from CsPbBr<sub>3</sub> Metal Halide Perovskite Nanocrystals Arises from Dual Emitting States with Distinct Lattice Couplings,0.774717
