abstract_i,abstract_j,cosine_similarity
0,1,0.706589
0,2,0.369523
0,3,0.51746
0,4,0.605718
0,5,0.779166
0,6,0.709995
0,7,0.638937
0,8,0.397399
0,9,0.691371
0,10,0.65475
0,11,0.658184
0,12,0.417649
0,13,0.432168
0,14,0.590217
0,15,0.338965
0,16,0.701684
0,17,0.816856
0,18,0.323241
0,19,0.433254
0,20,0.38011
0,21,0.641301
0,22,0.196652
0,23,0.58788
0,24,0.622458
0,25,0.368395
0,26,0.704081
0,27,0.62614
0,28,0.584659
0,29,0.589752
0,30,0.537982
0,31,0.418549
0,32,0.759846
0,33,0.567638
0,34,0.736654
0,35,0.781197
0,36,0.184551
0,37,0.421073
0,38,0.727464
0,39,0.623021
0,40,0.763372
0,41,0.171136
0,42,0.574945
0,43,0.56229
0,44,0.597882
0,45,0.393754
0,46,0.428113
0,47,0.406101
0,48,0.671895
0,49,0.524019
0,50,0.597805
0,51,0.957177
0,52,0.554617
0,53,0.443372
0,54,0.56445
0,55,0.654894
1,2,0.312378
1,3,0.762841
1,4,0.650316
1,5,0.694698
1,6,0.722271
1,7,0.603983
1,8,0.374778
1,9,0.744468
1,10,0.663272
1,11,0.651775
1,12,0.420005
1,13,0.780143
1,14,0.518696
1,15,0.283069
1,16,0.987087
1,17,0.672255
1,18,0.229109
1,19,0.484522
1,20,0.321563
1,21,0.664041
1,22,0.230182
1,23,0.541788
1,24,0.618973
1,25,0.310506
1,26,0.735811
1,27,0.552988
1,28,0.513975
1,29,0.858624
1,30,0.742335
1,31,0.424281
1,32,0.805929
1,33,0.548956
1,34,0.69179
1,35,0.702774
1,36,0.217651
1,37,0.786472
1,38,0.690129
1,39,0.851074
1,40,0.804524
1,41,0.04754
1,42,0.516538
1,43,0.557311
1,44,0.581428
1,45,0.461873
1,46,0.460017
1,47,0.396363
1,48,0.736537
1,49,0.763849
1,50,0.583062
1,51,0.707718
1,52,0.658094
1,53,0.40641
1,54,0.789085
1,55,0.662641
2,3,0.270825
2,4,0.413246
2,5,0.304047
2,6,0.351299
2,7,0.290791
2,8,0.693471
2,9,0.291749
2,10,0.28588
2,11,0.299248
2,12,0.203302
2,13,0.243093
2,14,0.28664
2,15,0.481041
2,16,0.319122
2,17,0.312703
2,18,0.720122
2,19,0.50349
2,20,0.867175
2,21,0.328878
2,22,0.072163
2,23,0.26679
2,24,0.291121
2,25,0.989279
2,26,0.346741
2,27,0.30598
2,28,0.241802
2,29,0.303732
2,30,0.354953
2,31,0.209638
2,32,0.355982
2,33,0.400631
2,34,0.276511
2,35,0.307189
2,36,0.071141
2,37,0.211727
2,38,0.292802
2,39,0.338036
2,40,0.354699
2,41,0.222953
2,42,0.216878
2,43,0.380343
2,44,0.263212
2,45,0.159272
2,46,0.158807
2,47,0.803086
2,48,0.312419
2,49,0.270451
2,50,0.2667
2,51,0.333068
2,52,0.270371
2,53,0.73335
2,54,0.29488
2,55,0.285624
3,4,0.594979
3,5,0.400296
3,6,0.652655
3,7,0.524681
3,8,0.339777
3,9,0.688092
3,10,0.566816
3,11,0.569676
3,12,0.345282
3,13,0.719907
3,14,0.423883
3,15,0.264734
3,16,0.768041
3,17,0.536756
3,18,0.218319
3,19,0.490901
3,20,0.278463
3,21,0.554638
3,22,0.174601
3,23,0.476779
3,24,0.549003
3,25,0.262387
3,26,0.645171
3,27,0.458418
3,28,0.485785
3,29,0.64019
3,30,0.670146
3,31,0.354205
3,32,0.609188
3,33,0.446126
3,34,0.576565
3,35,0.420868
3,36,0.202321
3,37,0.732972
3,38,0.561516
3,39,0.619688
3,40,0.60069
3,41,0.02585
3,42,0.492114
3,43,0.442715
3,44,0.576032
3,45,0.345741
3,46,0.335883
3,47,0.347904
3,48,0.677207
3,49,0.990831
3,50,0.578419
3,51,0.510846
3,52,0.657832
3,53,0.374589
3,54,0.758895
3,55,0.565097
4,5,0.573743
4,6,0.703727
4,7,0.565468
4,8,0.417209
4,9,0.710507
4,10,0.596019
4,11,0.609373
4,12,0.412027
4,13,0.475429
4,14,0.530241
4,15,0.32107
4,16,0.648543
4,17,0.687578
4,18,0.352509
4,19,0.499156
4,20,0.373954
4,21,0.695859
4,22,0.24315
4,23,0.550196
4,24,0.626773
4,25,0.411561
4,26,0.707561
4,27,0.566513
4,28,0.45944
4,29,0.601802
4,30,0.58072
4,31,0.412848
4,32,0.623182
4,33,0.601307
4,34,0.64687
4,35,0.581129
4,36,0.210442
4,37,0.45802
4,38,0.65992
4,39,0.633387
4,40,0.623553
4,41,0.039694
4,42,0.439177
4,43,0.599058
4,44,0.553464
4,45,0.400383
4,46,0.419749
4,47,0.440118
4,48,0.71639
4,49,0.601995
4,50,0.555725
4,51,0.580625
4,52,0.52061
4,53,0.459794
4,54,0.516486
4,55,0.596171
5,6,0.621641
5,7,0.575761
5,8,0.38987
5,9,0.617238
5,10,0.610479
5,11,0.586688
5,12,0.467685
5,13,0.446023
5,14,0.56734
5,15,0.310129
5,16,0.695023
5,17,0.75396
5,18,0.259256
5,19,0.44486
5,20,0.311727
5,21,0.653735
5,22,0.213701
5,23,0.527484
5,24,0.611912
5,25,0.313633
5,26,0.642448
5,27,0.638576
5,28,0.605804
5,29,0.645874
5,30,0.503459
5,31,0.464253
5,32,0.751644
5,33,0.520373
5,34,0.776415
5,35,0.997366
5,36,0.181459
5,37,0.43408
5,38,0.77492
5,39,0.672605
5,40,0.760933
5,41,0.119891
5,42,0.602875
5,43,0.530903
5,44,0.512401
5,45,0.494459
5,46,0.541135
5,47,0.431428
5,48,0.612629
