title_i,title_j,cosine_similarity
Dynamics of explosively imploded pressurized tubes,DEVELOPMENT OF A SINGLE-STAGE IMPLOSION-DRIVEN HYPERVELOCITY LAUNCHER,0.261505
Dynamics of explosively imploded pressurized tubes,Implosion-driven technique to create fast shockwaves in high-density gas,0.834172
Dynamics of explosively imploded pressurized tubes,PHASE VELOCITY GENERATOR FOR A TWO-STAGE IMPLOSION DRIVEN HYPERVELOCITY LAUNCHER,0.686044
Dynamics of explosively imploded pressurized tubes,Development of a Single Stage Implosion-Driven Hypervelocity Launcher,0.786898
DEVELOPMENT OF A SINGLE-STAGE IMPLOSION-DRIVEN HYPERVELOCITY LAUNCHER,Implosion-driven technique to create fast shockwaves in high-density gas,0.257656
DEVELOPMENT OF A SINGLE-STAGE IMPLOSION-DRIVEN HYPERVELOCITY LAUNCHER,PHASE VELOCITY GENERATOR FOR A TWO-STAGE IMPLOSION DRIVEN HYPERVELOCITY LAUNCHER,0.380757
DEVELOPMENT OF A SINGLE-STAGE IMPLOSION-DRIVEN HYPERVELOCITY LAUNCHER,Development of a Single Stage Implosion-Driven Hypervelocity Launcher,0.420588
Implosion-driven technique to create fast shockwaves in high-density gas,PHASE VELOCITY GENERATOR FOR A TWO-STAGE IMPLOSION DRIVEN HYPERVELOCITY LAUNCHER,0.608667
Implosion-driven technique to create fast shockwaves in high-density gas,Development of a Single Stage Implosion-Driven Hypervelocity Launcher,0.662287
PHASE VELOCITY GENERATOR FOR A TWO-STAGE IMPLOSION DRIVEN HYPERVELOCITY LAUNCHER,Development of a Single Stage Implosion-Driven Hypervelocity Launcher,0.884965
