title_i,title_j,cosine_similarity
Failed reinnervation in aging skeletal muscle,Smoke‐induced neuromuscular junction degeneration precedes the fibre type shift and atrophy in chronic obstructive pulmonary disease,0.549899
Failed reinnervation in aging skeletal muscle,Oxidation alters myosin-actin interaction and force generation in skeletal muscle filaments,0.385527
Failed reinnervation in aging skeletal muscle,"Oxidation-induced structural changes in actin and myosin evaluated by computational simulation, machine learning modeling and high-speed AFM",0.27441
Failed reinnervation in aging skeletal muscle,Investigating the Inhibitory Effects of Blebbistatin on Actomyosin Interactions in Myofibrils and Isolated Myofilaments,0.314944
Smoke‐induced neuromuscular junction degeneration precedes the fibre type shift and atrophy in chronic obstructive pulmonary disease,Oxidation alters myosin-actin interaction and force generation in skeletal muscle filaments,0.481373
Smoke‐induced neuromuscular junction degeneration precedes the fibre type shift and atrophy in chronic obstructive pulmonary disease,"Oxidation-induced structural changes in actin and myosin evaluated by computational simulation, machine learning modeling and high-speed AFM",0.429635
Smoke‐induced neuromuscular junction degeneration precedes the fibre type shift and atrophy in chronic obstructive pulmonary disease,Investigating the Inhibitory Effects of Blebbistatin on Actomyosin Interactions in Myofibrils and Isolated Myofilaments,0.401304
Oxidation alters myosin-actin interaction and force generation in skeletal muscle filaments,"Oxidation-induced structural changes in actin and myosin evaluated by computational simulation, machine learning modeling and high-speed AFM",0.839631
Oxidation alters myosin-actin interaction and force generation in skeletal muscle filaments,Investigating the Inhibitory Effects of Blebbistatin on Actomyosin Interactions in Myofibrils and Isolated Myofilaments,0.834018
"Oxidation-induced structural changes in actin and myosin evaluated by computational simulation, machine learning modeling and high-speed AFM",Investigating the Inhibitory Effects of Blebbistatin on Actomyosin Interactions in Myofibrils and Isolated Myofilaments,0.774786
