abstract_i,abstract_j,cosine_similarity
0,1,0.458413
0,2,0.456018
0,3,0.504264
0,4,0.583614
0,5,0.456528
0,6,0.66767
0,7,0.702739
0,8,0.474421
0,9,0.484464
0,10,0.66468
0,11,0.741447
0,12,0.015321
0,13,0.755628
0,14,0.51144
0,15,0.735795
0,16,0.495101
0,17,0.68903
0,18,0.998806
0,19,0.468646
0,20,0.642727
0,21,0.691742
0,22,0.622142
0,23,0.625763
0,24,0.621592
0,25,0.674517
0,26,0.645875
1,2,0.333368
1,3,0.344551
1,4,0.419239
1,5,0.30399
1,6,0.378545
1,7,0.477264
1,8,0.338367
1,9,0.356442
1,10,0.380108
1,11,0.50204
1,12,0.017448
1,13,0.491841
1,14,0.310074
1,15,0.371322
1,16,0.284316
1,17,0.489194
1,18,0.456228
1,19,0.308525
1,20,0.340978
1,21,0.411539
1,22,0.385007
1,23,0.393807
1,24,0.427876
1,25,0.40444
1,26,0.404961
2,3,0.830053
2,4,0.671026
2,5,0.782988
2,6,0.51407
2,7,0.446754
2,8,0.990699
2,9,0.794466
2,10,0.518296
2,11,0.415343
2,12,-0.041253
2,13,0.523425
2,14,0.802799
2,15,0.544459
2,16,0.634567
2,17,0.451638
2,18,0.46168
2,19,0.772067
2,20,0.547539
2,21,0.526884
2,22,0.390221
2,23,0.530736
2,24,0.67683
2,25,0.433884
2,26,0.542851
3,4,0.76149
3,5,0.806183
3,6,0.567389
3,7,0.488013
3,8,0.831725
3,9,0.916424
3,10,0.569277
3,11,0.453143
3,12,-0.01823
3,13,0.607386
3,14,0.74206
3,15,0.618613
3,16,0.71194
3,17,0.485738
3,18,0.506667
3,19,0.798517
3,20,0.554439
3,21,0.581148
3,22,0.465003
3,23,0.56278
3,24,0.749524
3,25,0.498653
3,26,0.581401
4,5,0.695361
4,6,0.673118
4,7,0.543773
4,8,0.6889
4,9,0.77005
4,10,0.675008
4,11,0.569892
4,12,0.035603
4,13,0.693011
4,14,0.603334
4,15,0.676225
4,16,0.71072
4,17,0.528727
4,18,0.5804
4,19,0.707721
4,20,0.566291
4,21,0.577451
4,22,0.55307
4,23,0.610254
4,24,0.72874
4,25,0.580394
4,26,0.630336
5,6,0.515865
5,7,0.438496
5,8,0.78653
5,9,0.811526
5,10,0.526112
5,11,0.417432
5,12,0.009225
5,13,0.505361
5,14,0.775809
5,15,0.538552
5,16,0.749508
5,17,0.437974
5,18,0.460487
5,19,0.972312
5,20,0.580095
5,21,0.532118
5,22,0.408656
5,23,0.583134
5,24,0.606166
5,25,0.434278
5,26,0.599581
6,7,0.713555
6,8,0.53576
6,9,0.558795
6,10,0.99717
6,11,0.601096
6,12,0.114716
6,13,0.729552
6,14,0.576564
6,15,0.827782
6,16,0.553867
6,17,0.686376
6,18,0.66471
6,19,0.507014
6,20,0.642863
6,21,0.705353
6,22,0.632485
6,23,0.666382
6,24,0.763309
6,25,0.659526
6,26,0.677886
7,8,0.472606
7,9,0.477082
7,10,0.718459
7,11,0.706434
7,12,0.01497
7,13,0.719314
7,14,0.567985
7,15,0.718788
7,16,0.489097
7,17,0.97047
7,18,0.703117
7,19,0.447875
7,20,0.674596
7,21,0.654803
7,22,0.599371
7,23,0.660738
7,24,0.66151
7,25,0.646081
7,26,0.677016
8,9,0.793954
8,10,0.543447
8,11,0.444493
8,12,-0.046075
8,13,0.54688
8,14,0.809392
8,15,0.562945
8,16,0.649597
8,17,0.472323
8,18,0.479827
8,19,0.783357
8,20,0.563569
8,21,0.536776
8,22,0.411193
8,23,0.569382
8,24,0.676624
8,25,0.450834
8,26,0.582371
9,10,0.563082
9,11,0.464088
9,12,-0.007266
9,13,0.628051
9,14,0.704948
9,15,0.604145
9,16,0.711615
9,17,0.46684
9,18,0.484148
9,19,0.793006
9,20,0.521495
9,21,0.545781
9,22,0.461002
9,23,0.559528
9,24,0.720689
9,25,0.494974
9,26,0.579571
10,11,0.608695
10,12,0.107032
10,13,0.736468
10,14,0.585468
10,15,0.825571
10,16,0.559967
10,17,0.690368
10,18,0.661845
10,19,0.519538
10,20,0.657357
10,21,0.704199
10,22,0.637488
10,23,0.67753
10,24,0.75642
10,25,0.663292
10,26,0.690131
11,12,0.025719
11,13,0.7197
11,14,0.496128
11,15,0.615018
11,16,0.496114
11,17,0.704682
11,18,0.738983
11,19,0.429119
11,20,0.562816
11,21,0.567199
11,22,0.631696
11,23,0.614825
11,24,0.551581
11,25,0.648126
11,26,0.631329
12,13,0.052796
12,14,0.018005
12,15,0.057403
12,16,0.038443
12,17,0.010039
12,18,0.017695
12,19,-0.002364
12,20,-0.003492
12,21,0.043991
12,22,0.062081
12,23,0.010677
12,24,0.063058
12,25,0.068953
12,26,0.000436
13,14,0.571334
13,15,0.802577
13,16,0.56369
13,17,0.701997
13,18,0.754543
13,19,0.525965
13,20,0.645144
13,21,0.763168
13,22,0.638488
13,23,0.655008
13,24,0.724113
13,25,0.676542
13,26,0.677939
14,15,0.602058
14,16,0.65584
14,17,0.555559
14,18,0.517644
14,19,0.774338
14,20,0.579659
14,21,0.599566
14,22,0.446116
14,23,0.60239
14,24,0.65758
14,25,0.476067
14,26,0.612789
15,16,0.583516
15,17,0.699984
15,18,0.736044
15,19,0.556066
15,20,0.640882
15,21,0.715371
15,22,0.61082
15,23,0.660417
15,24,0.786059
15,25,0.651353
15,26,0.673817
16,17,0.485127
16,18,0.495752
16,19,0.748496
16,20,0.533145
16,21,0.535322
16,22,0.660489
16,23,0.580239
16,24,0.587774
16,25,0.657579
16,26,0.598358
17,18,0.691326
17,19,0.443129
17,20,0.677896
17,21,0.633745
17,22,0.575921
17,23,0.656722
17,24,0.639031
17,25,0.624325
17,26,0.669544
18,19,0.472416
18,20,0.644701
18,21,0.690512
18,22,0.621975
18,23,0.62658
18,24,0.620491
18,25,0.676318
18,26,0.645575
19,20,0.587314
19,21,0.526077
19,22,0.434376
19,23,0.588688
19,24,0.591768
19,25,0.449056
19,26,0.606749
20,21,0.661137
20,22,0.543689
20,23,0.711677
20,24,0.570976
20,25,0.599141
20,26,0.72095
21,22,0.491877
21,23,0.688371
21,24,0.65105
21,25,0.534272
21,26,0.700605
22,23,0.567375
22,24,0.573574
22,25,0.963447
22,26,0.595781
23,24,0.576297
23,25,0.609153
23,26,0.993463
24,25,0.626474
24,26,0.593967
25,26,0.632699
