abstract_i,abstract_j,cosine_similarity
0,1,0.491237
0,2,0.327339
0,3,0.439575
0,4,0.557167
0,5,0.303658
0,6,0.413748
0,7,0.289947
0,8,0.437003
0,9,0.385167
0,10,0.574206
0,11,0.136879
0,12,0.421849
0,13,0.599591
0,14,0.203976
0,15,0.476848
0,16,0.394626
0,17,0.312002
0,18,0.373678
0,19,0.320509
0,20,0.183295
0,21,0.422422
0,22,0.53935
0,23,0.401684
0,24,0.603947
0,25,0.152358
0,26,0.385743
0,27,0.571752
0,28,0.436546
0,29,0.274489
0,30,0.396557
0,31,0.397207
0,32,0.203834
0,33,0.453328
0,34,0.283692
0,35,-0.006352
0,36,0.482803
0,37,0.437077
0,38,0.442572
0,39,0.182386
0,40,0.439364
0,41,0.446651
0,42,0.584944
0,43,0.465648
0,44,0.530638
0,45,0.452226
0,46,0.39227
0,47,0.327614
0,48,0.435109
0,49,0.348691
0,50,0.229702
0,51,0.38108
0,52,0.480749
0,53,0.468111
0,54,0.376802
0,55,0.345933
0,56,0.425872
0,57,0.400417
0,58,0.403608
0,59,0.382998
0,60,0.25625
0,61,0.395071
0,62,0.331037
0,63,0.605836
0,64,0.66388
0,65,0.248403
0,66,0.434227
0,67,0.51648
0,68,0.443314
0,69,0.215815
0,70,0.562755
0,71,0.319901
0,72,0.003922
0,73,0.282266
0,74,0.317865
0,75,0.31844
0,76,0.505915
0,77,0.498825
0,78,0.409495
0,79,0.360366
0,80,0.547756
0,81,0.581736
0,82,0.140399
0,83,0.305316
0,84,0.594328
0,85,0.632094
0,86,0.364746
0,87,0.358487
0,88,0.542455
0,89,0.397061
0,90,0.365888
0,91,0.39264
0,92,0.366247
0,93,0.407
1,2,0.496678
1,3,0.442004
1,4,0.40315
1,5,0.475419
1,6,0.258038
1,7,0.329202
1,8,0.157797
1,9,0.257624
1,10,0.447036
1,11,0.22737
1,12,0.520792
1,13,0.413147
1,14,0.228757
1,15,0.539033
1,16,0.513152
1,17,0.537341
1,18,0.474243
1,19,0.370539
1,20,0.139022
1,21,0.293398
1,22,0.284631
1,23,0.453536
1,24,0.401557
1,25,0.131059
1,26,0.833465
1,27,0.310617
1,28,0.611475
1,29,0.315686
1,30,0.731929
1,31,0.501727
1,32,0.26207
1,33,0.346694
1,34,0.174122
1,35,-0.065174
1,36,0.32968
1,37,0.278275
1,38,0.341046
1,39,0.132993
1,40,0.391452
1,41,0.354841
1,42,0.325278
1,43,0.489953
1,44,0.445831
1,45,0.21864
1,46,0.290132
1,47,0.427294
1,48,0.283733
1,49,0.31909
1,50,0.272752
1,51,0.495167
1,52,0.172212
1,53,0.704885
1,54,0.74559
1,55,0.285236
1,56,0.708791
1,57,0.410525
1,58,0.34486
1,59,0.254633
1,60,0.312059
1,61,0.74967
1,62,0.421861
1,63,0.410574
1,64,0.697294
1,65,0.320281
1,66,0.278941
1,67,0.547483
1,68,0.585442
1,69,0.082461
1,70,0.577371
1,71,0.424653
1,72,-0.080381
1,73,0.108321
1,74,0.245974
1,75,0.40068
1,76,0.506019
1,77,0.621172
1,78,0.390605
1,79,0.275981
1,80,0.606611
1,81,0.360173
1,82,0.11436
1,83,0.182736
1,84,0.563291
1,85,0.465672
1,86,0.58802
1,87,0.322339
1,88,0.406176
1,89,0.696524
1,90,0.466167
1,91,0.435309
1,92,0.474594
1,93,0.516454
2,3,0.367238
2,4,0.353564
2,5,0.977605
2,6,0.239247
