abstract_i,abstract_j,cosine_similarity
0,1,0.237468
0,2,0.194291
0,3,0.355821
0,4,0.435956
0,5,0.026854
0,6,0.154154
0,7,0.095465
0,8,0.046359
0,9,0.009598
0,10,0.350176
0,11,0.29042
0,12,0.059359
0,13,0.075184
0,14,0.211004
0,15,0.157264
0,16,0.414443
0,17,0.270788
0,18,0.297818
0,19,0.123281
0,20,-0.000404
0,21,0.044121
0,22,0.177759
0,23,0.052582
0,24,0.094514
0,25,0.036182
0,26,0.171498
0,27,0.18928
0,28,0.293647
0,29,0.143921
0,30,0.181073
0,31,0.043178
0,32,0.083857
0,33,0.341659
0,34,0.371096
0,35,0.215744
0,36,0.11914
0,37,0.094236
0,38,0.156785
0,39,0.278381
0,40,0.167149
0,41,0.078254
0,42,0.435452
0,43,0.102212
0,44,0.535375
0,45,0.087724
0,46,0.06069
0,47,0.022426
0,48,0.043299
0,49,0.153818
0,50,0.051669
0,51,0.134
0,52,0.055836
0,53,0.059969
0,54,0.184416
0,55,0.091831
0,56,0.043876
0,57,0.521824
0,58,0.147611
0,59,0.100501
0,60,0.180188
0,61,0.133118
0,62,0.066303
0,63,0.279707
0,64,0.205566
0,65,0.111142
0,66,0.163794
0,67,0.229422
0,68,0.08199
0,69,0.23962
0,70,0.116529
0,71,0.226399
0,72,0.079071
0,73,0.419446
0,74,0.064801
0,75,0.186291
0,76,0.254402
0,77,-0.0349
0,78,0.327414
0,79,0.004235
0,80,0.031462
0,81,0.139095
0,82,0.227524
0,83,0.133267
0,84,0.333006
0,85,0.136151
0,86,0.140438
0,87,-0.044482
0,88,0.119485
0,89,0.29223
0,90,0.017934
0,91,0.282444
0,92,0.185709
0,93,0.328342
0,94,0.119923
0,95,0.088154
0,96,0.072736
0,97,0.075271
1,2,0.397845
1,3,0.393307
1,4,0.350629
1,5,-0.042707
1,6,0.609074
1,7,0.095027
1,8,0.283627
1,9,0.240871
1,10,0.34794
1,11,0.479633
1,12,0.354158
1,13,0.522756
1,14,0.481475
1,15,0.350807
1,16,0.514518
1,17,0.328136
1,18,0.259602
1,19,0.500227
1,20,0.180391
1,21,0.14335
1,22,0.470173
1,23,0.218589
1,24,0.031521
1,25,0.075429
1,26,0.549971
1,27,0.167821
1,28,0.477053
1,29,0.14011
1,30,0.472089
1,31,-0.002317
1,32,0.25568
1,33,0.45918
1,34,0.399699
1,35,0.52356
