title_i,title_j,cosine_similarity
Gold nanoparticles and their alternatives for radiation therapy enhancement,Targeting B16 tumors<i>in vivo</i>with peptide-conjugated gold nanoparticles,0.566888
Gold nanoparticles and their alternatives for radiation therapy enhancement,"Cellular Uptake, Cytotoxicity and Trafficking of Supported Lipid-Bilayer-Coated Lanthanide Upconverting Nanoparticles in Alveolar Lung Cancer Cells",0.556204
Gold nanoparticles and their alternatives for radiation therapy enhancement,Investigating longitudinal changes in the mechanical properties of MCF-7 cells exposed to paclitaxol using particle tracking microrheology,0.262873
Gold nanoparticles and their alternatives for radiation therapy enhancement,Evidence of energy transfer in nanoparticle-porphyrins conjugates for radiation therapy enhancement,0.82503
Gold nanoparticles and their alternatives for radiation therapy enhancement,Lanthanum fluoride nanoparticles for radiosensitization of tumors,0.756865
Gold nanoparticles and their alternatives for radiation therapy enhancement,Measurement of viscoelastic properties of treated and untreated cancer cells using passive microrheology,0.289518
Targeting B16 tumors<i>in vivo</i>with peptide-conjugated gold nanoparticles,"Cellular Uptake, Cytotoxicity and Trafficking of Supported Lipid-Bilayer-Coated Lanthanide Upconverting Nanoparticles in Alveolar Lung Cancer Cells",0.575179
Targeting B16 tumors<i>in vivo</i>with peptide-conjugated gold nanoparticles,Investigating longitudinal changes in the mechanical properties of MCF-7 cells exposed to paclitaxol using particle tracking microrheology,0.304357
Targeting B16 tumors<i>in vivo</i>with peptide-conjugated gold nanoparticles,Evidence of energy transfer in nanoparticle-porphyrins conjugates for radiation therapy enhancement,0.549339
Targeting B16 tumors<i>in vivo</i>with peptide-conjugated gold nanoparticles,Lanthanum fluoride nanoparticles for radiosensitization of tumors,0.485897
Targeting B16 tumors<i>in vivo</i>with peptide-conjugated gold nanoparticles,Measurement of viscoelastic properties of treated and untreated cancer cells using passive microrheology,0.329243
"Cellular Uptake, Cytotoxicity and Trafficking of Supported Lipid-Bilayer-Coated Lanthanide Upconverting Nanoparticles in Alveolar Lung Cancer Cells",Investigating longitudinal changes in the mechanical properties of MCF-7 cells exposed to paclitaxol using particle tracking microrheology,0.294162
"Cellular Uptake, Cytotoxicity and Trafficking of Supported Lipid-Bilayer-Coated Lanthanide Upconverting Nanoparticles in Alveolar Lung Cancer Cells",Evidence of energy transfer in nanoparticle-porphyrins conjugates for radiation therapy enhancement,0.616799
"Cellular Uptake, Cytotoxicity and Trafficking of Supported Lipid-Bilayer-Coated Lanthanide Upconverting Nanoparticles in Alveolar Lung Cancer Cells",Lanthanum fluoride nanoparticles for radiosensitization of tumors,0.618602
"Cellular Uptake, Cytotoxicity and Trafficking of Supported Lipid-Bilayer-Coated Lanthanide Upconverting Nanoparticles in Alveolar Lung Cancer Cells",Measurement of viscoelastic properties of treated and untreated cancer cells using passive microrheology,0.288038
Investigating longitudinal changes in the mechanical properties of MCF-7 cells exposed to paclitaxol using particle tracking microrheology,Evidence of energy transfer in nanoparticle-porphyrins conjugates for radiation therapy enhancement,0.26478
Investigating longitudinal changes in the mechanical properties of MCF-7 cells exposed to paclitaxol using particle tracking microrheology,Lanthanum fluoride nanoparticles for radiosensitization of tumors,0.175151
Investigating longitudinal changes in the mechanical properties of MCF-7 cells exposed to paclitaxol using particle tracking microrheology,Measurement of viscoelastic properties of treated and untreated cancer cells using passive microrheology,0.845392
Evidence of energy transfer in nanoparticle-porphyrins conjugates for radiation therapy enhancement,Lanthanum fluoride nanoparticles for radiosensitization of tumors,0.868955
Evidence of energy transfer in nanoparticle-porphyrins conjugates for radiation therapy enhancement,Measurement of viscoelastic properties of treated and untreated cancer cells using passive microrheology,0.287588
Lanthanum fluoride nanoparticles for radiosensitization of tumors,Measurement of viscoelastic properties of treated and untreated cancer cells using passive microrheology,0.204624
