abstract_i,abstract_j,cosine_similarity
0,1,0.534248
0,2,0.328725
0,3,0.645482
0,4,0.526866
0,5,0.61014
0,6,0.595468
0,7,0.466917
0,8,0.540615
0,9,0.553099
0,10,0.360961
0,11,0.451923
0,12,0.277802
0,13,0.317839
0,14,0.427195
0,15,0.425909
0,16,0.358568
0,17,0.452779
0,18,0.605948
0,19,0.400557
0,20,0.633404
0,21,0.442874
0,22,0.81111
0,23,0.43831
0,24,0.634767
0,25,0.604959
0,26,0.657764
0,27,0.720557
0,28,-0.133385
0,29,0.268386
0,30,0.28031
0,31,0.622722
0,32,0.542747
0,33,0.441453
0,34,0.339673
1,2,0.251424
1,3,0.642946
1,4,0.852014
1,5,0.34405
1,6,0.498297
1,7,0.302351
1,8,0.682904
1,9,0.644864
1,10,0.347447
1,11,0.531951
1,12,0.202299
1,13,0.31781
1,14,0.5031
1,15,0.336413
1,16,0.345726
1,17,0.37206
1,18,0.594778
1,19,0.278838
1,20,0.558109
1,21,0.39852
1,22,0.619059
1,23,0.348247
1,24,0.575778
1,25,0.500581
1,26,0.54477
1,27,0.615983
1,28,-0.085262
1,29,0.262334
1,30,0.267905
1,31,0.604327
1,32,0.791914
1,33,0.334092
1,34,0.281485
2,3,0.391889
2,4,0.260092
2,5,0.499163
2,6,0.45561
2,7,0.672989
2,8,0.325078
2,9,0.356366
2,10,0.845137
2,11,0.180866
2,12,0.731544
2,13,0.726531
2,14,0.228128
2,15,0.463832
2,16,0.841984
2,17,0.603943
2,18,0.295532
2,19,0.793694
2,20,0.406621
2,21,0.633709
2,22,0.368113
2,23,0.767369
2,24,0.374031
2,25,0.45671
2,26,0.315511
2,27,0.37546
2,28,-0.090987
2,29,0.850916
2,30,0.858603
2,31,0.411529
2,32,0.324248
2,33,0.724807
2,34,0.859791
3,4,0.605731
3,5,0.537218
3,6,0.678342
3,7,0.409572
3,8,0.678286
3,9,0.628518
3,10,0.445692
3,11,0.422196
3,12,0.267938
3,13,0.368008
3,14,0.511271
3,15,0.401182
3,16,0.444537
3,17,0.430087
3,18,0.557884
3,19,0.402454
3,20,0.573948
3,21,0.471549
3,22,0.74498
3,23,0.404982
3,24,0.578841
3,25,0.68282
3,26,0.714821
3,27,0.76488
3,28,-0.14324
3,29,0.353666
3,30,0.364722
3,31,0.640346
3,32,0.591422
3,33,0.426687
3,34,0.389378
4,5,0.431092
4,6,0.512959
4,7,0.38467
4,8,0.740486
4,9,0.630833
4,10,0.33283
4,11,0.613035
4,12,0.240613
4,13,0.361324
4,14,0.523535
4,15,0.347225
4,16,0.329305
4,17,0.378792
4,18,0.59304
4,19,0.30649
4,20,0.625899
4,21,0.415019
4,22,0.653942
4,23,0.373902
4,24,0.580608
4,25,0.519792
4,26,0.539462
4,27,0.547915
4,28,-0.056066
4,29,0.281065
4,30,0.285911
4,31,0.638364
4,32,0.826137
4,33,0.37085
4,34,0.305037
