abstract_i,abstract_j,cosine_similarity
0,1,0.285346
0,2,0.31333
0,3,0.672657
0,4,0.683529
0,5,0.038646
0,6,0.68685
0,7,0.086463
0,8,0.712263
0,9,0.327972
0,10,0.734961
0,11,0.0365
0,12,0.012105
0,13,0.23592
0,14,0.528867
0,15,0.084665
0,16,0.76416
0,17,0.395258
0,18,0.353245
0,19,0.283783
0,20,0.71753
0,21,0.304593
0,22,0.280439
0,23,0.382985
0,24,-0.044299
0,25,0.677156
0,26,0.093686
0,27,0.702625
0,28,0.417253
0,29,0.263925
0,30,0.677202
0,31,0.228976
0,32,0.046503
0,33,0.736482
0,34,0.577575
0,35,0.145639
0,36,0.332207
0,37,0.266056
0,38,0.257762
0,39,0.676212
0,40,0.031516
0,41,0.598506
0,42,0.09777
1,2,0.857096
1,3,0.332831
1,4,0.280616
1,5,0.054263
1,6,0.28115
1,7,0.17398
1,8,0.388841
1,9,0.733547
1,10,0.341643
1,11,0.144011
1,12,0.050959
1,13,0.587478
1,14,0.423409
1,15,0.17344
1,16,0.342909
1,17,0.527877
1,18,0.212981
1,19,0.482439
1,20,0.29886
1,21,0.435683
1,22,0.588275
1,23,0.12157
1,24,0.068468
1,25,0.250722
1,26,0.366834
1,27,0.315518
1,28,0.143077
1,29,0.444561
1,30,0.244701
1,31,0.366772
1,32,0.444844
1,33,0.314091
1,34,0.335287
1,35,0.341887
1,36,0.122297
1,37,0.605564
1,38,0.502962
1,39,0.187673
1,40,0.061032
1,41,0.358562
1,42,0.104195
2,3,0.351424
2,4,0.290426
2,5,0.050288
2,6,0.282668
2,7,0.117371
2,8,0.399355
2,9,0.833817
2,10,0.3754
2,11,0.132481
2,12,0.068216
2,13,0.559117
2,14,0.428469
2,15,0.140763
2,16,0.348735
2,17,0.510396
2,18,0.179472
2,19,0.504083
2,20,0.314647
2,21,0.445151
2,22,0.730478
2,23,0.175537
2,24,0.075755
2,25,0.25355
2,26,0.345012
2,27,0.316882
2,28,0.109679
2,29,0.420784
2,30,0.278196
2,31,0.391605
2,32,0.44698
2,33,0.313515
2,34,0.277969
2,35,0.405078
2,36,0.097327
2,37,0.733069
2,38,0.597347
2,39,0.213845
2,40,0.060741
2,41,0.371422
2,42,0.124037
3,4,0.788674
3,5,-0.044655
3,6,0.762424
3,7,0.07077
3,8,0.78146
3,9,0.379679
3,10,0.748412
3,11,0.036514
3,12,-0.063165
3,13,0.336605
3,14,0.712714
3,15,0.108093
3,16,0.767175
3,17,0.434602
3,18,0.405464
3,19,0.392742
3,20,0.823794
3,21,0.389695
3,22,0.339189
3,23,0.293345
3,24,0.042408
3,25,0.760093
3,26,0.173294
3,27,0.783702
3,28,0.422771
3,29,0.320749
3,30,0.778721
3,31,0.40627
3,32,0.124721
3,33,0.696168
3,34,0.765375
3,35,0.205337
3,36,0.298986
3,37,0.326093
3,38,0.268909
3,39,0.851623
3,40,-0.043623
3,41,0.74022
3,42,0.088212
4,5,-0.023076
4,6,0.660829
4,7,0.120884
4,8,0.82873
4,9,0.353688
4,10,0.844159
4,11,0.034661
4,12,-0.091949
4,13,0.321789
4,14,0.649183
4,15,0.141528
4,16,0.771495
4,17,0.447832
4,18,0.38616
4,19,0.363418
4,20,0.839768
4,21,0.39351
4,22,0.350607
4,23,0.277054
4,24,-0.022116
4,25,0.975553
4,26,0.198552
4,27,0.920403
4,28,0.440209
4,29,0.385117
4,30,0.720159
4,31,0.376768
4,32,0.12518
4,33,0.814097
4,34,0.754483
4,35,0.228858
4,36,0.270625
4,37,0.328471
4,38,0.285456
4,39,0.728958
4,40,-0.020208
4,41,0.834732
4,42,0.132215
5,6,-0.058734
5,7,-0.093078
5,8,0.004822
5,9,0.043452
5,10,0.029563
5,11,0.188625
5,12,0.051698
5,13,0.023113
5,14,-0.05574
5,15,-0.067798
5,16,-0.006808
5,17,0.069111
5,18,-0.015817
5,19,-0.011119
5,20,-0.003612
5,21,-0.05482
5,22,0.033668
5,23,0.142802
5,24,-0.053825
5,25,-0.021958
5,26,0.055134
