abstract_i,abstract_j,cosine_similarity
0,1,0.243962
0,2,-0.042336
0,3,0.227946
0,4,0.392478
0,5,0.087852
0,6,0.246799
0,7,0.406827
0,8,0.437302
0,9,0.36749
0,10,0.085573
0,11,0.458554
0,12,0.267827
0,13,0.428409
0,14,-0.011991
0,15,0.328705
0,16,0.433661
0,17,0.153213
0,18,0.388938
0,19,0.224016
0,20,0.316551
0,21,0.366114
0,22,0.358025
0,23,0.400146
0,24,0.495149
0,25,0.518648
0,26,0.55536
0,27,0.379055
0,28,0.306467
0,29,0.191644
0,30,-0.014635
0,31,0.413399
0,32,0.54917
0,33,0.105128
0,34,0.20946
0,35,0.322478
0,36,0.242052
0,37,0.327207
0,38,0.171562
0,39,0.347222
0,40,0.16845
0,41,0.731418
0,42,0.151979
0,43,0.409885
0,44,0.39375
0,45,0.15798
0,46,0.270122
0,47,0.374491
0,48,0.387186
0,49,0.167355
0,50,0.453165
0,51,0.377652
0,52,0.603653
0,53,0.329931
0,54,0.452987
0,55,0.379682
0,56,0.464163
0,57,0.158865
0,58,0.474689
0,59,0.351384
0,60,0.339139
0,61,0.337993
0,62,0.499543
0,63,0.35125
0,64,0.369254
0,65,0.398137
0,66,0.42767
0,67,0.002106
0,68,0.099552
0,69,0.5534
0,70,0.087454
0,71,0.473328
0,72,0.049585
0,73,0.292327
0,74,0.199458
0,75,0.526095
0,76,0.12218
0,77,0.135119
0,78,0.379284
1,2,0.173862
1,3,0.250525
1,4,0.326303
1,5,0.491121
1,6,0.587461
1,7,0.765474
1,8,0.309814
1,9,0.490663
1,10,0.244654
1,11,0.621588
1,12,0.859903
1,13,0.439941
1,14,0.165154
1,15,0.630583
1,16,0.555511
1,17,0.378571
1,18,0.293055
1,19,0.49959
1,20,0.447812
1,21,0.637689
1,22,0.641578
1,23,0.664292
1,24,0.522655
1,25,0.532243
1,26,0.391241
1,27,0.400302
1,28,0.627016
1,29,0.383083
1,30,0.206473
1,31,0.617981
1,32,0.257053
1,33,0.253574
1,34,0.597226
1,35,0.688183
1,36,0.418416
1,37,0.588348
1,38,0.560861
1,39,0.421949
1,40,0.562115
1,41,0.388417
1,42,0.328131
1,43,0.346887
1,44,0.447661
1,45,0.231036
1,46,0.351038
1,47,0.612869
1,48,0.584241
1,49,0.354078
1,50,0.598199
1,51,0.775123
1,52,0.330096
