abstract_i,abstract_j,cosine_similarity
0,1,0.649757
0,2,0.644775
0,3,0.654327
0,4,0.576473
0,5,0.659208
0,6,0.772149
0,7,0.4851
0,8,0.586386
0,9,0.724897
0,10,0.736172
0,11,0.509595
1,2,0.52374
1,3,0.550538
1,4,0.524529
1,5,0.577726
1,6,0.58648
1,7,0.560235
1,8,0.52604
1,9,0.641268
1,10,0.578385
1,11,0.530819
2,3,0.634007
2,4,0.698888
2,5,0.685589
2,6,0.735533
2,7,0.58766
2,8,0.619077
2,9,0.697778
2,10,0.838245
2,11,0.544103
3,4,0.744745
3,5,0.663427
3,6,0.764287
3,7,0.447688
3,8,0.671534
3,9,0.729247
3,10,0.712076
3,11,0.619806
4,5,0.744456
4,6,0.708618
4,7,0.636226
4,8,0.747001
4,9,0.734925
4,10,0.731007
4,11,0.64411
5,6,0.743212
5,7,0.605654
5,8,0.700746
5,9,0.801323
5,10,0.756363
5,11,0.554407
6,7,0.582178
6,8,0.71775
6,9,0.84032
6,10,0.838219
6,11,0.607033
7,8,0.643104
7,9,0.643742
7,10,0.645531
7,11,0.482878
8,9,0.77584
8,10,0.731368
8,11,0.693493
9,10,0.832303
9,11,0.607526
10,11,0.590441
