abstract_i,abstract_j,cosine_similarity
0,1,0.684574
0,2,0.593219
0,3,0.76538
0,4,0.633584
0,5,0.136087
0,6,0.791101
0,7,0.702598
0,8,0.396452
0,9,0.665428
0,10,0.15781
0,11,0.701124
0,12,0.569454
0,13,0.649934
0,14,0.695497
0,15,0.514399
0,16,0.550238
0,17,0.656803
0,18,0.663079
0,19,0.696287
0,20,0.655883
0,21,0.713751
0,22,0.751799
0,23,0.377713
0,24,0.832328
0,25,0.635753
0,26,0.941882
0,27,0.61979
0,28,0.40005
0,29,0.688903
0,30,0.671234
0,31,0.916957
0,32,0.91888
0,33,0.748102
0,34,0.832138
0,35,0.567131
0,36,0.899493
0,37,0.472269
0,38,0.935162
0,39,-0.025813
0,40,0.658652
0,41,0.587023
0,42,0.009972
0,43,0.65285
0,44,0.754138
0,45,0.658276
0,46,0.425806
0,47,0.648163
0,48,0.743106
0,49,0.731875
0,50,0.311006
0,51,0.835186
0,52,0.642666
1,2,0.631515
1,3,0.707837
1,4,0.633615
1,5,0.241015
1,6,0.632898
1,7,0.595414
1,8,0.276977
1,9,0.495299
1,10,0.168939
1,11,0.595278
1,12,0.597004
1,13,0.661592
1,14,0.505652
1,15,0.636998
1,16,0.52959
1,17,0.622227
1,18,0.716142
1,19,0.702923
1,20,0.731787
1,21,0.710671
1,22,0.539086
1,23,0.321265
1,24,0.618941
1,25,0.571514
1,26,0.681725
1,27,0.659773
1,28,0.39873
1,29,0.695703
1,30,0.667084
1,31,0.690003
1,32,0.687229
1,33,0.648369
1,34,0.638152
1,35,0.553564
1,36,0.686989
1,37,0.521795
1,38,0.704562
1,39,-0.044825
1,40,0.733205
1,41,0.585732
1,42,0.030905
1,43,0.719284
1,44,0.62064
1,45,0.690906
1,46,0.280949
1,47,0.618282
1,48,0.631455
1,49,0.704526
1,50,0.409924
1,51,0.685696
1,52,0.632914
2,3,0.665584
2,4,0.629707
2,5,0.172957
2,6,0.544008
2,7,0.629706
2,8,0.282453
2,9,0.466312
2,10,0.213426
2,11,0.41269
2,12,0.570224
2,13,0.557512
2,14,0.523982
2,15,0.591342
2,16,0.394393
2,17,0.537324
2,18,0.759517
2,19,0.621989
2,20,0.736934
2,21,0.715908
2,22,0.542728
2,23,0.184323
2,24,0.548337
2,25,0.403341
2,26,0.611627
2,27,0.735344
2,28,0.435054
2,29,0.5796
2,30,0.774369
2,31,0.624582
2,32,0.62916
2,33,0.545664
2,34,0.537407
2,35,0.48603
2,36,0.469526
2,37,0.437758
2,38,0.659755
2,39,-0.008158
2,40,0.715944
2,41,0.495667
2,42,0.161393
2,43,0.794068
2,44,0.390592
2,45,0.567838
2,46,0.222628
2,47,0.471085
2,48,0.641295
2,49,0.636393
2,50,0.259478
2,51,0.55823
2,52,0.643605
3,4,0.691854
3,5,0.234253
3,6,0.679542
3,7,0.650388
3,8,0.352166
3,9,0.560298
3,10,0.111301
3,11,0.593792
3,12,0.704922
3,13,0.656266
3,14,0.602729
3,15,0.567328
3,16,0.649239
3,17,0.803631
3,18,0.674949
3,19,0.846944
3,20,0.702596
3,21,0.725011
3,22,0.620368
3,23,0.432166
3,24,0.682205
3,25,0.548782
3,26,0.794103
3,27,0.703128
3,28,0.42296
3,29,0.620936
3,30,0.751187
3,31,0.782783
3,32,0.77499
3,33,0.657762
3,34,0.656634
3,35,0.623704
3,36,0.684028
3,37,0.610756
3,38,0.79891
3,39,-0.004077
3,40,0.698386
3,41,0.706125
3,42,0.066888
3,43,0.704952
3,44,0.605377
3,45,0.673105
3,46,0.297794
3,47,0.661409
3,48,0.684196
3,49,0.849021
3,50,0.367463
3,51,0.736686
3,52,0.70505
4,5,0.292407
4,6,0.701762
4,7,0.746978
4,8,0.309989
4,9,0.548927
4,10,0.236789
4,11,0.50994
4,12,0.558534
