abstract_i,abstract_j,cosine_similarity
0,1,0.249121
0,2,0.525548
0,3,0.665146
0,4,0.389986
0,5,0.521504
0,6,0.384725
0,7,0.189286
0,8,0.405268
0,9,0.339036
0,10,0.831883
0,11,0.500773
0,12,0.624758
0,13,0.423642
0,14,0.385593
0,15,0.318905
0,16,0.315594
0,17,0.180801
0,18,0.475141
0,19,0.187268
0,20,0.72837
0,21,0.483351
0,22,0.451397
0,23,0.705761
0,24,-0.0506
0,25,-0.088599
0,26,0.447319
0,27,0.306128
0,28,0.436524
1,2,0.415349
1,3,0.284584
1,4,0.32402
1,5,0.402166
1,6,0.379453
1,7,0.151241
1,8,0.207688
1,9,0.262189
1,10,0.260521
1,11,0.354349
1,12,0.226325
1,13,0.424393
1,14,0.390758
1,15,0.383396
1,16,0.450992
1,17,0.143018
1,18,0.345882
1,19,0.157378
1,20,0.255591
1,21,0.382791
1,22,0.350592
1,23,0.268958
1,24,-0.085045
1,25,-0.041703
1,26,0.451365
1,27,0.377104
1,28,0.44801
2,3,0.63606
2,4,0.56416
2,5,0.673342
2,6,0.527431
2,7,0.190325
2,8,0.512825
2,9,0.535943
2,10,0.553838
2,11,0.780181
2,12,0.451414
2,13,0.623752
2,14,0.649269
2,15,0.345218
2,16,0.443776
2,17,0.226747
2,18,0.57919
2,19,0.229991
2,20,0.415103
2,21,0.77859
2,22,0.517709
2,23,0.580757
2,24,-0.046298
2,25,-0.034181
2,26,0.769376
2,27,0.344883
2,28,0.787004
3,4,0.517973
3,5,0.56417
3,6,0.460788
3,7,0.193304
3,8,0.536739
3,9,0.406478
3,10,0.678801
3,11,0.622343
3,12,0.613299
3,13,0.490955
3,14,0.582893
3,15,0.419475
3,16,0.429583
3,17,0.212915
3,18,0.551118
3,19,0.215663
3,20,0.567349
3,21,0.614973
3,22,0.528479
3,23,0.948316
3,24,-0.021547
3,25,-0.011311
3,26,0.542166
3,27,0.410937
3,28,0.56743
4,5,0.549473
4,6,0.495711
4,7,0.178527
4,8,0.738933
4,9,0.456402
4,10,0.45152
4,11,0.658903
4,12,0.555412
4,13,0.491528
4,14,0.545628
4,15,0.363128
4,16,0.497307
4,17,0.269553
4,18,0.48423
4,19,0.27106
4,20,0.333496
4,21,0.676062
4,22,0.548858
4,23,0.527586
4,24,-0.055885
4,25,-0.056991
4,26,0.578358
4,27,0.353623
4,28,0.610866
5,6,0.667508
5,7,0.131289
5,8,0.479629
5,9,0.615808
5,10,0.617689
5,11,0.687012
5,12,0.51475
5,13,0.646677
5,14,0.665097
5,15,0.346866
5,16,0.383266
5,17,0.208573
5,18,0.648702
5,19,0.211353
5,20,0.393419
5,21,0.711983
5,22,0.429024
5,23,0.549695
5,24,-0.125742
5,25,-0.165496
5,26,0.587851
5,27,0.351425
5,28,0.632022
6,7,0.288038
6,8,0.402105
6,9,0.56583
6,10,0.422577
6,11,0.550604
6,12,0.456329
6,13,0.551185
6,14,0.561589
6,15,0.41995
6,16,0.408321
6,17,0.339335
6,18,0.515224
6,19,0.349091
6,20,0.264888
6,21,0.576982
6,22,0.478658
6,23,0.442096
6,24,-0.085072
6,25,-0.100166
6,26,0.50262
6,27,0.41147
6,28,0.60335
7,8,0.169873
7,9,0.137487
7,10,0.144689
7,11,0.120854
7,12,0.195484
7,13,0.127441
7,14,0.177157
7,15,0.170807
7,16,0.213687
7,17,0.855178
7,18,0.201117
7,19,0.858726
7,20,0.155453
7,21,0.14914
7,22,0.37922
7,23,0.151208
7,24,0.024308
7,25,0.048884
7,26,0.230722
7,27,0.165444
7,28,0.254044
8,9,0.324371
8,10,0.4293
8,11,0.645006
8,12,0.502126
8,13,0.408579
8,14,0.542358
8,15,0.26922
8,16,0.361413
8,17,0.253313
8,18,0.487148
8,19,0.25042
8,20,0.364802
8,21,0.662436
8,22,0.55068
8,23,0.506006
8,24,-0.027788
8,25,-0.02053
8,26,0.494484
8,27,0.272443
8,28,0.520522
9,10,0.344934
9,11,0.522878
9,12,0.452326
9,13,0.482084
9,14,0.621765
9,15,0.421099
9,16,0.428486
9,17,0.213801
9,18,0.551175
9,19,0.220353
9,20,0.240184
9,21,0.53788
9,22,0.366842
9,23,0.35322
9,24,-0.065157
9,25,-0.077485
9,26,0.53502
9,27,0.424725
9,28,0.62063
10,11,0.536606
10,12,0.658043
10,13,0.494975
10,14,0.414252
10,15,0.290062
10,16,0.309192
10,17,0.148836
10,18,0.477932
10,19,0.152768
10,20,0.673604
10,21,0.535407
10,22,0.445645
10,23,0.735742
10,24,-0.081783
10,25,-0.142281
10,26,0.470289
10,27,0.290224
10,28,0.417283
11,12,0.593465
11,13,0.657641
11,14,0.644829
11,15,0.426835
11,16,0.464364
11,17,0.188521
11,18,0.609367
11,19,0.185503
11,20,0.435739
11,21,0.97392
11,22,0.471631
11,23,0.58935
11,24,-0.042492
11,25,-0.085817
11,26,0.688904
11,27,0.433659
11,28,0.657439
12,13,0.477848
12,14,0.417437
12,15,0.356921
12,16,0.381087
12,17,0.251283
12,18,0.480679
12,19,0.249554
12,20,0.614795
12,21,0.5917
12,22,0.493508
12,23,0.601345
12,24,-0.025369
12,25,-0.083835
12,26,0.449643
12,27,0.365069
12,28,0.454808
13,14,0.611347
13,15,0.400713
13,16,0.408628
13,17,0.202841
13,18,0.570534
13,19,0.2029
13,20,0.317636
13,21,0.659335
13,22,0.419242
13,23,0.467311
13,24,-0.122973
13,25,-0.128897
13,26,0.549019
13,27,0.409433
13,28,0.524137
14,15,0.400097
14,16,0.458196
14,17,0.264846
14,18,0.605715
14,19,0.272808
14,20,0.268609
14,21,0.661904
14,22,0.543573
14,23,0.510255
14,24,-0.03153
14,25,-0.031561
14,26,0.597116
14,27,0.399229
14,28,0.670637
15,16,0.50855
15,17,0.166925
15,18,0.35528
15,19,0.168755
15,20,0.270314
15,21,0.412427
15,22,0.391059
15,23,0.433876
15,24,-0.050182
15,25,-0.07023
15,26,0.407394
15,27,0.979314
15,28,0.344448
16,17,0.274753
16,18,0.375481
16,19,0.27896
16,20,0.235109
16,21,0.464801
16,22,0.447161
16,23,0.407748
16,24,0.089484
16,25,0.046441
16,26,0.495449
16,27,0.535065
16,28,0.47515
17,18,0.259364
17,19,0.997911
17,20,0.132562
17,21,0.223741
17,22,0.4369
17,23,0.169555
17,24,0.031577
17,25,0.042141
17,26,0.272411
17,27,0.168994
17,28,0.300644
18,19,0.26595
18,20,0.410534
18,21,0.626061
18,22,0.448637
18,23,0.483544
18,24,-0.084033
18,25,-0.09889
18,26,0.496966
18,27,0.349707
18,28,0.547133
19,20,0.133513
19,21,0.222086
19,22,0.449279
19,23,0.173042
19,24,0.032203
19,25,0.043313
