abstract_i,abstract_j,cosine_similarity
0,1,0.837869
0,2,0.758838
0,3,0.562337
0,4,0.668671
0,5,0.4744
0,6,0.455168
0,7,0.707951
0,8,0.766893
0,9,0.706246
0,10,0.535296
0,11,0.442384
0,12,0.725619
0,13,0.697787
0,14,0.342233
0,15,0.772571
0,16,0.372285
1,2,0.601561
1,3,0.596897
1,4,0.560304
1,5,0.476608
1,6,0.370713
1,7,0.735383
1,8,0.684369
1,9,0.6237
1,10,0.537376
1,11,0.444274
1,12,0.578867
1,13,0.70172
1,14,0.268434
1,15,0.941629
1,16,0.314043
2,3,0.492922
2,4,0.602734
2,5,0.408948
2,6,0.502523
2,7,0.518603
2,8,0.750251
2,9,0.708506
2,10,0.534806
2,11,0.474306
2,12,0.88796
2,13,0.506443
2,14,0.458528
2,15,0.522708
2,16,0.404523
3,4,0.525225
3,5,0.486376
3,6,0.371855
3,7,0.652896
3,8,0.525316
3,9,0.536194
3,10,0.725657
3,11,0.620441
3,12,0.489113
3,13,0.623595
3,14,0.362761
3,15,0.598949
3,16,0.416853
4,5,0.546934
4,6,0.353962
4,7,0.602942
4,8,0.753351
4,9,0.755942
4,10,0.600595
4,11,0.438656
4,12,0.521765
4,13,0.612991
4,14,0.227279
4,15,0.559726
4,16,0.432169
5,6,0.277278
5,7,0.484497
5,8,0.396468
5,9,0.416364
5,10,0.526088
5,11,0.396658
5,12,0.382644
5,13,0.532039
5,14,0.160196
5,15,0.485803
5,16,0.400045
6,7,0.426738
6,8,0.541441
6,9,0.343923
6,10,0.242067
6,11,0.242239
6,12,0.486555
6,13,0.335647
6,14,0.560475
6,15,0.36756
6,16,0.291508
7,8,0.639519
7,9,0.664347
7,10,0.533766
7,11,0.443575
7,12,0.513329
7,13,0.899404
7,14,0.308015
7,15,0.727051
7,16,0.34969
8,9,0.7316
8,10,0.514543
8,11,0.467032
8,12,0.70487
8,13,0.595276
8,14,0.367323
8,15,0.657798
8,16,0.372008
9,10,0.551861
9,11,0.528664
9,12,0.668061
9,13,0.64385
9,14,0.340741
9,15,0.623134
9,16,0.311727
10,11,0.594944
10,12,0.50922
10,13,0.566827
10,14,0.170463
10,15,0.546044
10,16,0.409378
11,12,0.48833
11,13,0.4849
11,14,0.174762
11,15,0.475949
11,16,0.363666
12,13,0.49724
12,14,0.418674
12,15,0.530796
12,16,0.385641
13,14,0.215296
13,15,0.691239
13,16,0.364409
14,15,0.244415
14,16,0.267588
15,16,0.336467
