title_i,title_j,cosine_similarity
Design of a Fully Integrated Array of High-Voltage Digital-to-Analog Converters,Reprogrammable optical phase array,0.275647
Design of a Fully Integrated Array of High-Voltage Digital-to-Analog Converters,1/spl times/2 and 1/spl times/4 electrooptic switches,0.268707
Design of a Fully Integrated Array of High-Voltage Digital-to-Analog Converters,A 1×2 fast fiber-optic switch based on electro-optic beam scanning,0.202182
Design of a Fully Integrated Array of High-Voltage Digital-to-Analog Converters,Reprogrammable Optical Phase Array (ROPA) for use in an Agile All-Photonic Network,0.389637
Design of a Fully Integrated Array of High-Voltage Digital-to-Analog Converters,Electro-optic beam deflection using multiple total-internal-reflection interfaces,0.203858
Design of a Fully Integrated Array of High-Voltage Digital-to-Analog Converters,Reprogrammable Optical Phase Array (ROPA) used as a 1×6 space switch,0.422156
Design of a Fully Integrated Array of High-Voltage Digital-to-Analog Converters,A 1/spl times/2 fast fiber-optic switch based on electro-optic beam scanning,0.197706
Reprogrammable optical phase array,1/spl times/2 and 1/spl times/4 electrooptic switches,0.521604
Reprogrammable optical phase array,A 1×2 fast fiber-optic switch based on electro-optic beam scanning,0.51329
Reprogrammable optical phase array,Reprogrammable Optical Phase Array (ROPA) for use in an Agile All-Photonic Network,0.653308
Reprogrammable optical phase array,Electro-optic beam deflection using multiple total-internal-reflection interfaces,0.55329
Reprogrammable optical phase array,Reprogrammable Optical Phase Array (ROPA) used as a 1×6 space switch,0.682613
Reprogrammable optical phase array,A 1/spl times/2 fast fiber-optic switch based on electro-optic beam scanning,0.495209
1/spl times/2 and 1/spl times/4 electrooptic switches,A 1×2 fast fiber-optic switch based on electro-optic beam scanning,0.594452
1/spl times/2 and 1/spl times/4 electrooptic switches,Reprogrammable Optical Phase Array (ROPA) for use in an Agile All-Photonic Network,0.531916
1/spl times/2 and 1/spl times/4 electrooptic switches,Electro-optic beam deflection using multiple total-internal-reflection interfaces,0.517496
1/spl times/2 and 1/spl times/4 electrooptic switches,Reprogrammable Optical Phase Array (ROPA) used as a 1×6 space switch,0.529533
1/spl times/2 and 1/spl times/4 electrooptic switches,A 1/spl times/2 fast fiber-optic switch based on electro-optic beam scanning,0.58716
A 1×2 fast fiber-optic switch based on electro-optic beam scanning,Reprogrammable Optical Phase Array (ROPA) for use in an Agile All-Photonic Network,0.580906
A 1×2 fast fiber-optic switch based on electro-optic beam scanning,Electro-optic beam deflection using multiple total-internal-reflection interfaces,0.664287
A 1×2 fast fiber-optic switch based on electro-optic beam scanning,Reprogrammable Optical Phase Array (ROPA) used as a 1×6 space switch,0.644903
A 1×2 fast fiber-optic switch based on electro-optic beam scanning,A 1/spl times/2 fast fiber-optic switch based on electro-optic beam scanning,0.976426
Reprogrammable Optical Phase Array (ROPA) for use in an Agile All-Photonic Network,Electro-optic beam deflection using multiple total-internal-reflection interfaces,0.510726
Reprogrammable Optical Phase Array (ROPA) for use in an Agile All-Photonic Network,Reprogrammable Optical Phase Array (ROPA) used as a 1×6 space switch,0.86669
Reprogrammable Optical Phase Array (ROPA) for use in an Agile All-Photonic Network,A 1/spl times/2 fast fiber-optic switch based on electro-optic beam scanning,0.579237
Electro-optic beam deflection using multiple total-internal-reflection interfaces,Reprogrammable Optical Phase Array (ROPA) used as a 1×6 space switch,0.537479
Electro-optic beam deflection using multiple total-internal-reflection interfaces,A 1/spl times/2 fast fiber-optic switch based on electro-optic beam scanning,0.656531
Reprogrammable Optical Phase Array (ROPA) used as a 1×6 space switch,A 1/spl times/2 fast fiber-optic switch based on electro-optic beam scanning,0.663216
