title_i,title_j,cosine_similarity
High-power quantum-limited 35 MHz photodiode and classical laser noise suppression,Characterization of external cross-talk from silicon photomultipliers in a liquid xenon detector,0.413718
High-power quantum-limited 35 MHz photodiode and classical laser noise suppression,Drone-Based Antenna Beam Calibration in the High Arctic,0.154374
High-power quantum-limited 35 MHz photodiode and classical laser noise suppression,Simulation Study of Photon-to-Digital Converter (PDC) Timing Specifications for LoLX Experiment,0.357687
High-power quantum-limited 35 MHz photodiode and classical laser noise suppression,First use of GPS satellites for beam calibration of radio dish telescopes,0.190812
High-power quantum-limited 35 MHz photodiode and classical laser noise suppression,Measuring Dark Currents in Multiple Cryogenic SiPMs With Sub-pA Sensitivity Using an Automated <i>I–V</i> Multiplexer,0.375002
High-power quantum-limited 35 MHz photodiode and classical laser noise suppression,Comment on egusphere-2026-428,0.211317
Characterization of external cross-talk from silicon photomultipliers in a liquid xenon detector,Drone-Based Antenna Beam Calibration in the High Arctic,0.093545
Characterization of external cross-talk from silicon photomultipliers in a liquid xenon detector,Simulation Study of Photon-to-Digital Converter (PDC) Timing Specifications for LoLX Experiment,0.677652
Characterization of external cross-talk from silicon photomultipliers in a liquid xenon detector,First use of GPS satellites for beam calibration of radio dish telescopes,0.1333
Characterization of external cross-talk from silicon photomultipliers in a liquid xenon detector,Measuring Dark Currents in Multiple Cryogenic SiPMs With Sub-pA Sensitivity Using an Automated <i>I–V</i> Multiplexer,0.602517
Characterization of external cross-talk from silicon photomultipliers in a liquid xenon detector,Comment on egusphere-2026-428,0.088679
Drone-Based Antenna Beam Calibration in the High Arctic,Simulation Study of Photon-to-Digital Converter (PDC) Timing Specifications for LoLX Experiment,0.18757
Drone-Based Antenna Beam Calibration in the High Arctic,First use of GPS satellites for beam calibration of radio dish telescopes,0.605735
Drone-Based Antenna Beam Calibration in the High Arctic,Measuring Dark Currents in Multiple Cryogenic SiPMs With Sub-pA Sensitivity Using an Automated <i>I–V</i> Multiplexer,0.203575
Drone-Based Antenna Beam Calibration in the High Arctic,Comment on egusphere-2026-428,0.379973
Simulation Study of Photon-to-Digital Converter (PDC) Timing Specifications for LoLX Experiment,First use of GPS satellites for beam calibration of radio dish telescopes,0.181665
Simulation Study of Photon-to-Digital Converter (PDC) Timing Specifications for LoLX Experiment,Measuring Dark Currents in Multiple Cryogenic SiPMs With Sub-pA Sensitivity Using an Automated <i>I–V</i> Multiplexer,0.490957
Simulation Study of Photon-to-Digital Converter (PDC) Timing Specifications for LoLX Experiment,Comment on egusphere-2026-428,0.084566
First use of GPS satellites for beam calibration of radio dish telescopes,Measuring Dark Currents in Multiple Cryogenic SiPMs With Sub-pA Sensitivity Using an Automated <i>I–V</i> Multiplexer,0.121551
First use of GPS satellites for beam calibration of radio dish telescopes,Comment on egusphere-2026-428,0.271699
Measuring Dark Currents in Multiple Cryogenic SiPMs With Sub-pA Sensitivity Using an Automated <i>I–V</i> Multiplexer,Comment on egusphere-2026-428,0.234963
