title_i,title_j,cosine_similarity
The SCUBA Legacy Catalogues: Submillimeter‐Continuum Objects Detected by SCUBA,Theory of the suspended graphene varactor,-0.06837
The SCUBA Legacy Catalogues: Submillimeter‐Continuum Objects Detected by SCUBA,Bolometric response of free-standing reduced graphene oxide films,-0.091302
The SCUBA Legacy Catalogues: Submillimeter‐Continuum Objects Detected by SCUBA,Organic-free suspension of large-area graphene,-0.027911
The SCUBA Legacy Catalogues: Submillimeter‐Continuum Objects Detected by SCUBA,Application of graphene membrane in micro-Golay cell array,-0.01476
The SCUBA Legacy Catalogues: Submillimeter‐Continuum Objects Detected by SCUBA,Fabrication and characterization of suspended graphene membranes for miniature Golay cells,-0.018245
The SCUBA Legacy Catalogues: Submillimeter‐Continuum Objects Detected by SCUBA,A floating gate double quantum well far-infrared photoconductor,0.025704
The SCUBA Legacy Catalogues: Submillimeter‐Continuum Objects Detected by SCUBA,Optical frequency conductance model of terahertz/infrared emission and detection in semiconductors,-0.035283
The SCUBA Legacy Catalogues: Submillimeter‐Continuum Objects Detected by SCUBA,Photodetection mechanisms in floating gate photoconductors with far-infrared quantum well intersubband transitions,0.018145
Theory of the suspended graphene varactor,Bolometric response of free-standing reduced graphene oxide films,0.54197
Theory of the suspended graphene varactor,Organic-free suspension of large-area graphene,0.561807
Theory of the suspended graphene varactor,Application of graphene membrane in micro-Golay cell array,0.536219
Theory of the suspended graphene varactor,Fabrication and characterization of suspended graphene membranes for miniature Golay cells,0.527239
Theory of the suspended graphene varactor,A floating gate double quantum well far-infrared photoconductor,0.206607
Theory of the suspended graphene varactor,Optical frequency conductance model of terahertz/infrared emission and detection in semiconductors,0.21159
Theory of the suspended graphene varactor,Photodetection mechanisms in floating gate photoconductors with far-infrared quantum well intersubband transitions,0.211924
Bolometric response of free-standing reduced graphene oxide films,Organic-free suspension of large-area graphene,0.58133
Bolometric response of free-standing reduced graphene oxide films,Application of graphene membrane in micro-Golay cell array,0.433184
Bolometric response of free-standing reduced graphene oxide films,Fabrication and characterization of suspended graphene membranes for miniature Golay cells,0.450699
Bolometric response of free-standing reduced graphene oxide films,A floating gate double quantum well far-infrared photoconductor,0.205853
Bolometric response of free-standing reduced graphene oxide films,Optical frequency conductance model of terahertz/infrared emission and detection in semiconductors,0.268028
Bolometric response of free-standing reduced graphene oxide films,Photodetection mechanisms in floating gate photoconductors with far-infrared quantum well intersubband transitions,0.209541
Organic-free suspension of large-area graphene,Application of graphene membrane in micro-Golay cell array,0.481967
Organic-free suspension of large-area graphene,Fabrication and characterization of suspended graphene membranes for miniature Golay cells,0.557131
Organic-free suspension of large-area graphene,A floating gate double quantum well far-infrared photoconductor,0.200472
Organic-free suspension of large-area graphene,Optical frequency conductance model of terahertz/infrared emission and detection in semiconductors,0.218896
Organic-free suspension of large-area graphene,Photodetection mechanisms in floating gate photoconductors with far-infrared quantum well intersubband transitions,0.244779
Application of graphene membrane in micro-Golay cell array,Fabrication and characterization of suspended graphene membranes for miniature Golay cells,0.872962
Application of graphene membrane in micro-Golay cell array,A floating gate double quantum well far-infrared photoconductor,0.259397
Application of graphene membrane in micro-Golay cell array,Optical frequency conductance model of terahertz/infrared emission and detection in semiconductors,0.297471
Application of graphene membrane in micro-Golay cell array,Photodetection mechanisms in floating gate photoconductors with far-infrared quantum well intersubband transitions,0.308076
Fabrication and characterization of suspended graphene membranes for miniature Golay cells,A floating gate double quantum well far-infrared photoconductor,0.14721
Fabrication and characterization of suspended graphene membranes for miniature Golay cells,Optical frequency conductance model of terahertz/infrared emission and detection in semiconductors,0.151353
Fabrication and characterization of suspended graphene membranes for miniature Golay cells,Photodetection mechanisms in floating gate photoconductors with far-infrared quantum well intersubband transitions,0.208552
A floating gate double quantum well far-infrared photoconductor,Optical frequency conductance model of terahertz/infrared emission and detection in semiconductors,0.608377
A floating gate double quantum well far-infrared photoconductor,Photodetection mechanisms in floating gate photoconductors with far-infrared quantum well intersubband transitions,0.863828
Optical frequency conductance model of terahertz/infrared emission and detection in semiconductors,Photodetection mechanisms in floating gate photoconductors with far-infrared quantum well intersubband transitions,0.54689
