abstract_i,abstract_j,cosine_similarity
0,1,0.769283
0,2,0.626088
0,3,0.645026
0,4,0.639476
0,5,0.193955
0,6,0.553972
0,7,0.672278
0,8,0.58415
0,9,0.501046
0,10,0.652406
0,11,0.664455
0,12,0.581964
0,13,-0.016342
0,14,0.758236
0,15,0.78507
0,16,0.743512
0,17,0.650217
0,18,0.754673
0,19,0.728532
0,20,0.760704
0,21,0.605076
0,22,0.727189
0,23,0.613158
0,24,0.692031
0,25,0.562556
0,26,0.999848
0,27,0.574232
0,28,0.641679
0,29,0.644948
0,30,0.588946
0,31,0.657153
0,32,0.713951
0,33,0.626723
0,34,0.595665
0,35,0.529214
0,36,0.502351
0,37,0.629113
0,38,0.610954
0,39,0.655463
0,40,0.626869
0,41,0.632627
0,42,0.641198
0,43,0.674162
0,44,0.406553
0,45,0.641618
0,46,0.563629
0,47,0.569782
0,48,0.780658
0,49,0.679474
0,50,0.761429
0,51,0.663654
0,52,0.780933
0,53,0.410796
0,54,0.617281
0,55,0.739159
0,56,0.646107
0,57,0.738794
0,58,0.769668
0,59,0.77788
0,60,0.684102
0,61,0.774533
0,62,0.582304
0,63,0.73305
0,64,0.577751
0,65,0.70726
0,66,0.446423
0,67,0.702898
0,68,0.732493
0,69,0.43972
0,70,0.719202
0,71,0.607127
0,72,0.545355
0,73,0.628011
0,74,0.630039
0,75,0.746244
0,76,0.551625
0,77,0.672754
0,78,0.524814
0,79,0.70896
0,80,0.634148
0,81,0.657917
0,82,0.613327
0,83,0.713325
0,84,0.7273
0,85,0.473146
0,86,0.68503
0,87,0.618894
0,88,0.545568
0,89,0.732954
0,90,0.686675
0,91,0.459752
0,92,0.614977
0,93,0.649318
0,94,0.702
0,95,0.530209
0,96,0.672997
1,2,0.76335
1,3,0.745953
1,4,0.74763
1,5,0.15518
1,6,0.610211
1,7,0.729555
1,8,0.618011
1,9,0.579656
1,10,0.729507
1,11,0.734913
1,12,0.618766
1,13,0.049501
1,14,0.821271
1,15,0.786523
1,16,0.81905
1,17,0.723116
1,18,0.822627
1,19,0.679218
1,20,0.828025
1,21,0.701098
1,22,0.799519
1,23,0.648297
1,24,0.737114
1,25,0.690743
1,26,0.769889
1,27,0.64877
1,28,0.744684
1,29,0.703405
1,30,0.665446
1,31,0.732579
1,32,0.802916
1,33,0.734228
1,34,0.707245
1,35,0.545361
1,36,0.582704
1,37,0.640969
1,38,0.714596
1,39,0.727767
1,40,0.740436
1,41,0.730548
1,42,0.715205
1,43,0.73954
1,44,0.473229
1,45,0.710281
1,46,0.610081
1,47,0.69103
1,48,0.808443
1,49,0.721222
1,50,0.751309
1,51,0.724181
1,52,0.769649
1,53,0.444472
1,54,0.742051
1,55,0.841123
1,56,0.714397
1,57,0.780638
1,58,0.999573
1,59,0.78378
1,60,0.736399
1,61,0.869387
1,62,0.625664
1,63,0.752347
1,64,0.608003
1,65,0.782284
1,66,0.492305
1,67,0.752536
1,68,0.822288
1,69,0.374022
1,70,0.819797
1,71,0.712902
1,72,0.597386
1,73,0.658133
1,74,0.696193
1,75,0.835704
1,76,0.591597
1,77,0.717031
1,78,0.580324
1,79,0.709228
1,80,0.733149
1,81,0.734365
1,82,0.715748
1,83,0.762568
1,84,0.748363
1,85,0.596441
1,86,0.768175
1,87,0.667963
1,88,0.594513
1,89,0.809431
1,90,0.746233
1,91,0.43493
1,92,0.715227
1,93,0.727349
1,94,0.794766
1,95,0.66639
1,96,0.682828
2,3,0.678205
2,4,0.643225
