title_i,title_j,cosine_similarity
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Free-space optical link with spatial redundancy for misalignment tolerance,0.252694
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,"DBR, Sub-wavelength grating, and Photonic crystal slab Fabry-Perot cavity design using phase analysis by FDTD",0.644221
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,A shallow-etched multilayer grating-based wavelength demultiplexer in SOI,0.436605
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,A Shallow-Etched Distributed-Grating Wavelength Demultiplexer in SOI,0.466521
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Distributed-grating Wavelength Demultiplexer in SOI,0.451211
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Reprogrammable optical phase array,0.339156
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Distributed subwavelength grating demultiplexer in SOI,0.490646
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Resonant Grating Based Fabry-Perot Cavity in AlGaAs/GaAs,0.586942
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,&lt;title&gt;Optical link for an adaptive redundant free-space interconnect&lt;/title&gt;,0.295027
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,&lt;title&gt;1.25-Gb/s transmitter for an adaptive redundant free-space optical interconnect&lt;/title&gt;,0.323603
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,&lt;title&gt;1-Gb/s 9 X 1 optical receiver array for an adaptive redundant interconnect system using NT25 technology&lt;/title&gt;,0.253368
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,&lt;title&gt;5-Gb/s 2-channel bidirectional adaptive redundant FSOI demonstrator system&lt;/title&gt;,0.338207
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Integration strategies for micro-optical systems,0.400094
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Reprogrammable Optical Phase Array (ROPA) for use in an Agile All-Photonic Network,0.310988
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Modeling techniques for anisotropic diffraction gratings,0.449785
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Finite-Size Resonant Sub-Wavelength Grating High Reflectivity Mirror,0.641118
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,Reprogrammable Optical Phase Array (ROPA) used as a 1×6 space switch,0.284237
High reflectivity air-bridge subwavelength grating reflector and Fabry-Perot cavity in AlGaAs/GaAs,A Novel Method for Fabrication of Free Standing Subwavelength Gratings in Gaas/Algaas,0.637979
Free-space optical link with spatial redundancy for misalignment tolerance,"DBR, Sub-wavelength grating, and Photonic crystal slab Fabry-Perot cavity design using phase analysis by FDTD",0.230548
Free-space optical link with spatial redundancy for misalignment tolerance,A shallow-etched multilayer grating-based wavelength demultiplexer in SOI,0.274106
Free-space optical link with spatial redundancy for misalignment tolerance,A Shallow-Etched Distributed-Grating Wavelength Demultiplexer in SOI,0.350556
Free-space optical link with spatial redundancy for misalignment tolerance,Distributed-grating Wavelength Demultiplexer in SOI,0.379972
Free-space optical link with spatial redundancy for misalignment tolerance,Reprogrammable optical phase array,0.282031
Free-space optical link with spatial redundancy for misalignment tolerance,Distributed subwavelength grating demultiplexer in SOI,0.374346
Free-space optical link with spatial redundancy for misalignment tolerance,Resonant Grating Based Fabry-Perot Cavity in AlGaAs/GaAs,0.264622
Free-space optical link with spatial redundancy for misalignment tolerance,&lt;title&gt;Optical link for an adaptive redundant free-space interconnect&lt;/title&gt;,0.946909
Free-space optical link with spatial redundancy for misalignment tolerance,&lt;title&gt;1.25-Gb/s transmitter for an adaptive redundant free-space optical interconnect&lt;/title&gt;,0.75297
Free-space optical link with spatial redundancy for misalignment tolerance,&lt;title&gt;1-Gb/s 9 X 1 optical receiver array for an adaptive redundant interconnect system using NT25 technology&lt;/title&gt;,0.765425
