abstract_i,abstract_j,cosine_similarity
0,1,0.459236
0,2,0.292133
0,3,0.23056
0,4,0.112131
0,5,0.374647
0,6,0.174532
0,7,0.470825
0,8,0.292935
0,9,0.059932
0,10,0.009157
0,11,0.161551
0,12,0.040054
0,13,-0.046288
0,14,0.157929
0,15,0.144371
0,16,0.54182
0,17,0.395225
0,18,0.218221
0,19,0.21888
0,20,0.23187
0,21,0.394268
0,22,0.515769
0,23,0.152348
0,24,0.177274
0,25,0.147148
0,26,0.18902
0,27,0.169569
0,28,0.202559
0,29,0.145448
0,30,0.562304
0,31,0.052159
0,32,0.251446
0,33,0.419343
0,34,0.196458
0,35,0.131171
0,36,0.472119
0,37,0.19806
0,38,0.155682
0,39,0.160624
0,40,0.169452
0,41,0.086404
0,42,0.05353
0,43,0.553528
0,44,0.299915
0,45,0.09778
0,46,0.400878
0,47,0.203207
0,48,0.067591
0,49,0.149327
0,50,0.298533
0,51,0.306099
0,52,0.187514
0,53,-0.039641
0,54,0.054744
0,55,0.08015
0,56,0.192975
0,57,0.083772
0,58,0.009746
0,59,0.301496
0,60,0.177144
0,61,0.50751
0,62,0.065404
0,63,0.13139
0,64,0.192985
0,65,0.022081
0,66,0.121653
0,67,0.243464
0,68,0.194978
0,69,0.204683
0,70,0.057629
0,71,0.20337
0,72,0.206706
0,73,0.088313
0,74,0.184526
0,75,0.089995
0,76,0.179415
0,77,0.143737
0,78,0.134024
0,79,0.450554
0,80,0.19781
0,81,0.159101
0,82,0.216924
0,83,0.15613
0,84,-0.005104
0,85,0.492013
0,86,0.059708
0,87,0.089959
0,88,0.222135
0,89,0.159782
0,90,0.445572
0,91,0.153749
0,92,0.069261
0,93,0.265283
0,94,0.138026
0,95,0.418661
0,96,0.092545
0,97,0.510238
0,98,0.162058
0,99,0.138236
0,100,0.229909
0,101,0.478901
0,102,0.097985
0,103,0.231292
0,104,0.451458
0,105,0.18624
0,106,0.069816
0,107,0.055
0,108,0.222996
0,109,0.187867
