title_i,title_j,cosine_similarity
AN EXPERIMENTAL COMPARISON OF FORMAL MEASURES OF RHYTHMIC SYNCOPATION,Rhythm Complexity Measures: A Comparison Of Mathematical Models Of Human Perception And Performance.,0.142516
AN EXPERIMENTAL COMPARISON OF FORMAL MEASURES OF RHYTHMIC SYNCOPATION,Analysis of musical rhythm complexity measures in a cultural context,0.784401
AN EXPERIMENTAL COMPARISON OF FORMAL MEASURES OF RHYTHMIC SYNCOPATION,Measuring the Complexity of Musical Rhythm,0.798838
AN EXPERIMENTAL COMPARISON OF FORMAL MEASURES OF RHYTHMIC SYNCOPATION,On the relation between rhythm complexity measures and human rhythmic performance,0.827259
Rhythm Complexity Measures: A Comparison Of Mathematical Models Of Human Perception And Performance.,Analysis of musical rhythm complexity measures in a cultural context,0.147397
Rhythm Complexity Measures: A Comparison Of Mathematical Models Of Human Perception And Performance.,Measuring the Complexity of Musical Rhythm,0.165747
Rhythm Complexity Measures: A Comparison Of Mathematical Models Of Human Perception And Performance.,On the relation between rhythm complexity measures and human rhythmic performance,0.139982
Analysis of musical rhythm complexity measures in a cultural context,Measuring the Complexity of Musical Rhythm,0.905258
Analysis of musical rhythm complexity measures in a cultural context,On the relation between rhythm complexity measures and human rhythmic performance,0.813876
Measuring the Complexity of Musical Rhythm,On the relation between rhythm complexity measures and human rhythmic performance,0.85967
