abstract_i,abstract_j,cosine_similarity
0,1,0.194335
0,2,0.102139
0,3,0.049766
0,4,0.522672
0,5,0.192774
0,6,0.571889
0,7,0.63943
0,8,0.13149
0,9,0.241747
0,10,0.663322
0,11,0.237488
0,12,0.389796
0,13,0.479968
0,14,0.142631
0,15,0.329078
0,16,0.622506
0,17,0.182822
0,18,0.132861
0,19,0.060926
0,20,-0.097893
0,21,0.511084
0,22,0.547854
0,23,0.416252
1,2,0.539622
1,3,0.12441
1,4,0.118759
1,5,0.105469
1,6,0.132629
1,7,0.161755
1,8,0.253142
1,9,0.231427
1,10,0.171979
1,11,0.147577
1,12,0.016856
1,13,0.05749
1,14,0.216744
1,15,0.197677
1,16,0.10935
1,17,0.853927
1,18,0.113502
1,19,0.36409
1,20,-0.023803
1,21,0.135869
1,22,0.121924
1,23,0.181256
2,3,0.083103
2,4,0.052861
2,5,0.179417
2,6,0.082044
2,7,0.062952
2,8,0.064739
2,9,0.123173
2,10,0.097583
2,11,0.083917
2,12,0.055599
2,13,0.016725
2,14,0.075791
2,15,0.098409
2,16,0.02581
2,17,0.54634
2,18,0.065524
2,19,0.473332
2,20,-0.036975
2,21,0.022583
2,22,-0.016442
2,23,0.05662
3,4,0.096575
3,5,0.089801
3,6,0.084417
3,7,0.03801
3,8,0.1295
3,9,-0.001895
3,10,0.070673
3,11,0.260966
3,12,-0.032069
3,13,0.061601
3,14,0.17817
3,15,0.145113
3,16,0.071189
3,17,0.18245
3,18,0.276446
3,19,0.190836
3,20,-0.038181
3,21,0.10632
3,22,0.104913
3,23,0.095666
4,5,0.270895
4,6,0.636332
4,7,0.658249
4,8,0.039995
4,9,0.023464
4,10,0.579862
4,11,0.17591
4,12,0.026832
4,13,0.650171
4,14,0.07446
4,15,0.255878
4,16,0.455683
4,17,0.100108
4,18,0.119785
4,19,0.035419
4,20,-0.169678
4,21,0.856723
4,22,0.794902
4,23,0.50266
5,6,0.301699
5,7,0.302147
5,8,0.07622
5,9,0.074601
5,10,0.280179
5,11,-0.032409
5,12,-0.015424
5,13,0.179501
5,14,-0.011419
5,15,0.088572
5,16,0.309427
5,17,0.084152
5,18,0.099847
5,19,0.210232
5,20,-0.041956
5,21,0.242158
5,22,0.24086
5,23,0.145391
6,7,0.704342
6,8,0.133182
6,9,0.187024
6,10,0.747161
6,11,0.230361
6,12,0.226792
6,13,0.409467
6,14,0.176497
6,15,0.267905
6,16,0.603096
6,17,0.109886
6,18,0.210407
6,19,0.049516
6,20,-0.099943
6,21,0.702829
6,22,0.659826
6,23,0.407504
7,8,0.269611
7,9,0.252202
7,10,0.743222
7,11,0.254978
7,12,0.204461
7,13,0.466785
7,14,0.22837
7,15,0.337064
7,16,0.639743
7,17,0.156428
7,18,0.199524
7,19,0.068393
7,20,-0.109837
7,21,0.654064
7,22,0.628951
7,23,0.432292
8,9,0.387928
8,10,0.144515
8,11,0.367571
8,12,0.074847
8,13,0.00029
8,14,0.475785
8,15,0.306816
8,16,0.191878
8,17,0.201523
8,18,0.2903
8,19,0.132553
8,20,-0.07514
8,21,0.097156
8,22,0.078265
8,23,0.022603
9,10,0.209802
9,11,0.405627
9,12,0.194306
9,13,0.060021
9,14,0.36282
9,15,0.207077
9,16,0.215652
9,17,0.162298
9,18,0.302442
9,19,0.038631
9,20,-0.015902
9,21,0.09488
9,22,0.119137
9,23,0.006813
10,11,0.244647
10,12,0.320342
10,13,0.483265
10,14,0.240782
10,15,0.362943
10,16,0.755302
10,17,0.163866
10,18,0.304198
10,19,0.084318
10,20,-0.114891
10,21,0.555534
10,22,0.574502
10,23,0.363436
11,12,0.201862
11,13,0.130036
11,14,0.590956
11,15,0.367048
11,16,0.247979
11,17,0.1188
11,18,0.520189
11,19,0.050485
11,20,-0.090349
11,21,0.210865
11,22,0.161265
11,23,0.111814
12,13,0.119286
12,14,0.133126
12,15,0.082636
12,16,0.333223
12,17,0.098254
12,18,0.068078
12,19,0.017932
12,20,-0.017097
12,21,0.069499
12,22,0.026785
12,23,0.143574
13,14,0.034573
13,15,0.346976
13,16,0.394658
13,17,0.077763
13,18,0.084136
13,19,0.037771
13,20,-0.094574
13,21,0.601356
13,22,0.520692
13,23,0.360579
14,15,0.403071
14,16,0.283916
14,17,0.170986
14,18,0.689639
14,19,0.090479
14,20,-0.066185
14,21,0.150876
14,22,0.114014
14,23,-0.012204
15,16,0.386482
15,17,0.164021
15,18,0.461491
15,19,0.022664
15,20,-0.096417
15,21,0.357236
15,22,0.270324
15,23,0.151966
16,17,0.069079
16,18,0.335133
16,19,0.032495
16,20,-0.112535
16,21,0.490724
16,22,0.457454
16,23,0.259047
17,18,0.049815
17,19,0.371969
17,20,-0.012698
17,21,0.083581
17,22,0.066017
17,23,0.208364
18,19,0.081601
18,20,-0.067837
18,21,0.154939
18,22,0.129443
18,23,-0.039612
19,20,-0.008188
19,21,0.01149
19,22,0.007236
19,23,0.081203
20,21,-0.1409
20,22,-0.138098
20,23,-0.07205
21,22,0.862308
21,23,0.475471
22,23,0.45112
