abstract_i,abstract_j,cosine_similarity
0,1,0.022342
0,2,0.011335
0,3,0.355064
0,4,0.038306
0,5,-0.021557
0,6,0.013701
0,7,-0.006021
0,8,0.161758
0,9,0.058408
0,10,0.006823
0,11,0.165934
0,12,0.05251
0,13,0.063913
0,14,0.082633
0,15,0.066552
0,16,0.058289
0,17,0.096387
0,18,0.055528
0,19,0.152305
0,20,-0.01412
0,21,0.205251
0,22,0.217272
0,23,0.063575
0,24,0.152861
0,25,0.089474
0,26,0.011073
0,27,0.102547
0,28,-0.011383
0,29,0.010928
0,30,0.151567
0,31,0.065834
0,32,0.105989
0,33,0.039991
0,34,0.174244
0,35,0.85993
0,36,0.024969
0,37,0.020783
0,38,0.081809
0,39,0.051916
0,40,0.096454
0,41,0.026629
0,42,0.039342
0,43,0.035551
0,44,-0.004429
0,45,-0.00317
1,2,0.465719
1,3,0.047169
1,4,0.395743
1,5,0.533864
1,6,0.649542
1,7,0.577078
1,8,0.340142
1,9,0.385064
1,10,0.616306
1,11,0.345425
1,12,0.550825
1,13,0.47661
1,14,0.523274
1,15,0.366885
1,16,0.572526
1,17,0.535129
1,18,0.608206
1,19,0.429644
1,20,0.50553
1,21,0.335084
1,22,0.007901
1,23,0.439579
1,24,0.426981
1,25,0.520623
1,26,0.461163
1,27,0.374278
1,28,0.615899
1,29,0.538585
1,30,0.461991
1,31,0.516598
1,32,0.377752
1,33,0.63726
1,34,0.382716
1,35,0.033388
1,36,0.655792
1,37,0.47998
1,38,0.280502
1,39,0.489184
1,40,0.556815
1,41,0.52341
1,42,-0.151226
1,43,0.424455
1,44,0.351219
1,45,0.647074
2,3,0.173736
2,4,0.688816
2,5,0.638644
2,6,0.609764
2,7,0.504969
2,8,0.567884
2,9,0.311017
2,10,0.591168
2,11,0.203617
2,12,0.584646
2,13,0.519754
2,14,0.502778
2,15,0.652327
2,16,0.489757
2,17,0.525367
2,18,0.546996
2,19,0.489736
2,20,0.637241
2,21,0.339932
2,22,0.098426
2,23,0.579633
2,24,0.601362
2,25,0.533948
2,26,0.598079
2,27,0.450219
2,28,0.572894
2,29,0.557007
2,30,0.379847
2,31,0.536705
2,32,0.69574
2,33,0.547992
2,34,0.479752
2,35,0.048205
2,36,0.548423
2,37,0.558657
2,38,0.248946
2,39,0.519635
2,40,0.640087
2,41,0.561828
2,42,-0.139372
2,43,0.618974
2,44,0.502245
2,45,0.564583
3,4,0.147326
3,5,0.178733
3,6,0.086095
3,7,0.124837
