title_i,title_j,cosine_similarity
FRB 20250316A: A Brilliant and Nearby One-off Fast Radio Burst Localized to 13 pc Precision,Forecasting the Fast Radio Burst Population Observed through Galaxy Cluster Lenses,0.71689
FRB 20250316A: A Brilliant and Nearby One-off Fast Radio Burst Localized to 13 pc Precision,FRB 20250316A: A Brilliant and Nearby One-Off Fast Radio Burst Localized to 13 parsec Precision,0.981699
FRB 20250316A: A Brilliant and Nearby One-off Fast Radio Burst Localized to 13 pc Precision,Forecasting the FRB Population Observed Through Galaxy Cluster Lenses,0.716548
FRB 20250316A: A Brilliant and Nearby One-off Fast Radio Burst Localized to 13 pc Precision,Detection of Partial Coherence due to Multipath Propagation for FRB 20220413B with CHIME/FRB,0.69229
Forecasting the Fast Radio Burst Population Observed through Galaxy Cluster Lenses,FRB 20250316A: A Brilliant and Nearby One-Off Fast Radio Burst Localized to 13 parsec Precision,0.704235
Forecasting the Fast Radio Burst Population Observed through Galaxy Cluster Lenses,Forecasting the FRB Population Observed Through Galaxy Cluster Lenses,0.966457
Forecasting the Fast Radio Burst Population Observed through Galaxy Cluster Lenses,Detection of Partial Coherence due to Multipath Propagation for FRB 20220413B with CHIME/FRB,0.652122
FRB 20250316A: A Brilliant and Nearby One-Off Fast Radio Burst Localized to 13 parsec Precision,Forecasting the FRB Population Observed Through Galaxy Cluster Lenses,0.703208
FRB 20250316A: A Brilliant and Nearby One-Off Fast Radio Burst Localized to 13 parsec Precision,Detection of Partial Coherence due to Multipath Propagation for FRB 20220413B with CHIME/FRB,0.683315
Forecasting the FRB Population Observed Through Galaxy Cluster Lenses,Detection of Partial Coherence due to Multipath Propagation for FRB 20220413B with CHIME/FRB,0.666935
