title_i,title_j,cosine_similarity
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,PHYSICAL PROPERTIES OF MOLECULAR CLOUDS FOR THE ENTIRE MILKY WAY DISK,0.507752
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,Variations in the Galactic star formation rate and density thresholds for star formation,0.602467
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,TO COOL IS TO ACCRETE: ANALYTIC SCALINGS FOR NEBULAR ACCRETION OF PLANETARY ATMOSPHERES,0.625826
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,An Excess of Jupiter Analogs in Super-Earth Systems,0.764992
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,OBSERVATIONAL EVIDENCE OF DYNAMIC STAR FORMATION RATE IN MILKY WAY GIANT MOLECULAR CLOUDS,0.627679
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,A metallicity recipe for rocky planets,0.657269
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,WASP-107b’s Density Is Even Lower: A Case Study for the Physics of Planetary Gas Envelope Accretion and Orbital Migration,0.63054
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,Diffuser-assisted Infrared Transit Photometry for Four Dynamically Interacting Kepler Systems,0.620488
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,ENZO: An Adaptive Mesh Refinement Code for Astrophysics (Version 2.6),0.406172
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,Creating the Radius Gap without Mass Loss,0.670581
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,Friends Not Foes: Strong Correlation between Inner Super-Earths and Outer Gas Giants,0.669533
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,Small Planets around Cool Dwarfs: Enhanced Formation Efficiency of Super-Earths around M Dwarfs,0.779712
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,Removal of Hot Saturns in Mass–Radius Plane by Runaway Mass Loss,0.573994
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,Establishing Dust Rings and Forming Planets within Them,0.561636
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,On the Formation of Planets in the Milky Way’s Thick Disk,0.697011
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,RADIATION-HYDRODYNAMIC SIMULATIONS OF PROTOSTELLAR OUTFLOWS: SYNTHETIC OBSERVATIONS AND DATA COMPARISONS,0.476354
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,On the nature of variations in the measured star formation efficiency of molecular clouds,0.580321
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,A balanced budget view on forming giant planets by pebble accretion,0.534451
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,New Insights on Planet Formation in WASP-47 from a Simultaneous Analysis of Radial Velocities and Transit Timing Variations,0.725143
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,TWO TRANSITING LOW DENSITY SUB-SATURNS FROM K2,0.632864
The Gemini Planet Imager Exoplanet Survey: Giant Planet and Brown Dwarf Demographics from 10 to 100 au,"Inner Super-Earths, Outer Gas Giants: How Pebble Isolation and Migration Feedback Keep Jupiters Cold",0.659536
